     density     pressure         error
  0.8000E+00   0.1678E+01    0.8038E-05
  0.8444E+00   0.2490E+01    0.1715E-04
  0.8889E+00   0.3777E+01    0.1181E-04
  0.9333E+00   0.2588E+01    0.2077E-04
  0.9778E+00   0.3821E+01    0.1535E-04
  0.1022E+01   0.5751E+01    0.1824E-04
  0.1067E+01   0.8287E+01    0.1538E-04
  0.1111E+01   0.1168E+02    0.1845E-04
  0.1156E+01   0.1603E+02    0.1858E-04
  0.1200E+01   0.2146E+02    0.1845E-04
