     density     S(k)_med         error
  0.8000E+00   0.8639E-02    0.1215E-07
  0.8444E+00   0.5035E-02    0.1906E-08
  0.8889E+00   0.1049E-01    0.1066E-07
  0.9333E+00   0.6280E+00    0.1530E-06
  0.9778E+00   0.6860E+00    0.1132E-06
  0.1022E+01   0.7579E+00    0.9312E-07
  0.1067E+01   0.7937E+00    0.9067E-07
  0.1111E+01   0.8372E+00    0.4606E-07
  0.1156E+01   0.8547E+00    0.2934E-07
  0.1200E+01   0.8915E+00    0.1322E-07
