      rx_fcc       ry_fcc       rz_fcc
 -0.3021E+01  -0.3420E+01  -0.3420E+01
 -0.1483E+01  -0.2565E+01  -0.3420E+01
 -0.2324E+01  -0.3420E+01  -0.2565E+01
 -0.2160E+01  -0.2565E+01  -0.2565E+01
 -0.3018E+01  -0.3420E+01  -0.1710E+01
 -0.1480E+01  -0.2565E+01  -0.1710E+01
 -0.2334E+01  -0.3420E+01  -0.8550E+00
 -0.2172E+01  -0.2565E+01  -0.8550E+00
 -0.3030E+01  -0.3420E+01   0.0000E+00
 -0.1502E+01  -0.2565E+01   0.0000E+00
 -0.2344E+01  -0.3420E+01   0.8550E+00
 -0.2186E+01  -0.2565E+01   0.8550E+00
 -0.3032E+01  -0.3420E+01   0.1710E+01
 -0.1506E+01  -0.2565E+01   0.1710E+01
 -0.2337E+01  -0.3420E+01   0.2565E+01
 -0.2176E+01  -0.2565E+01   0.2565E+01
 -0.3064E+01  -0.1710E+01  -0.3420E+01
 -0.1549E+01  -0.8550E+00  -0.3420E+01
 -0.2363E+01  -0.1710E+01  -0.2565E+01
 -0.2224E+01  -0.8550E+00  -0.2565E+01
 -0.3061E+01  -0.1710E+01  -0.1710E+01
 -0.1553E+01  -0.8550E+00  -0.1710E+01
 -0.2374E+01  -0.1710E+01  -0.8550E+00
 -0.2230E+01  -0.8550E+00  -0.8550E+00
 -0.3073E+01  -0.1710E+01   0.0000E+00
 -0.1557E+01  -0.8550E+00   0.0000E+00
 -0.2385E+01  -0.1710E+01   0.8550E+00
 -0.2224E+01  -0.8550E+00   0.8550E+00
 -0.3074E+01  -0.1710E+01   0.1710E+01
 -0.1544E+01  -0.8550E+00   0.1710E+01
 -0.2379E+01  -0.1710E+01   0.2565E+01
 -0.2218E+01  -0.8550E+00   0.2565E+01
 -0.3102E+01   0.0000E+00  -0.3420E+01
 -0.1559E+01   0.8550E+00  -0.3420E+01
 -0.2426E+01   0.0000E+00  -0.2565E+01
 -0.2222E+01   0.8550E+00  -0.2565E+01
 -0.3102E+01   0.0000E+00  -0.1710E+01
 -0.1558E+01   0.8550E+00  -0.1710E+01
 -0.2429E+01   0.0000E+00  -0.8550E+00
 -0.2223E+01   0.8550E+00  -0.8550E+00
 -0.3104E+01   0.0000E+00   0.0000E+00
 -0.1560E+01   0.8550E+00   0.0000E+00
 -0.2431E+01   0.0000E+00   0.8550E+00
 -0.2224E+01   0.8550E+00   0.8550E+00
 -0.3103E+01   0.0000E+00   0.1710E+01
 -0.1560E+01   0.8550E+00   0.1710E+01
 -0.2429E+01   0.0000E+00   0.2565E+01
 -0.2224E+01   0.8550E+00   0.2565E+01
 -0.3096E+01   0.1710E+01  -0.3420E+01
 -0.1598E+01   0.2565E+01  -0.3420E+01
 -0.2430E+01   0.1710E+01  -0.2565E+01
 -0.2251E+01   0.2565E+01  -0.2565E+01
 -0.3096E+01   0.1710E+01  -0.1710E+01
 -0.1602E+01   0.2565E+01  -0.1710E+01
