      rx_fcc       ry_fcc       rz_fcc
  0.1953E+01   0.3124E+01   0.3088E+01
  0.2523E+01   0.3721E+01   0.2103E+01
  0.2945E+01   0.3174E+01   0.2744E+01
  0.1811E+01   0.3985E+01   0.3577E+01
  0.2335E+01   0.3134E+01  -0.2881E+01
  0.3446E+01   0.3004E+01   0.4034E+01
  0.3077E+01   0.2723E+01  -0.3624E+01
  0.2562E+01  -0.4198E+01  -0.2970E+01
  0.2367E+01   0.2623E+01  -0.1938E+01
  0.3047E+01   0.3830E+01  -0.2147E+01
  0.3023E+01   0.2607E+01  -0.1072E+01
  0.2021E+01   0.3573E+01  -0.1781E+01
  0.3086E+01   0.2762E+01  -0.2070E-01
  0.2839E+01   0.3558E+01  -0.1167E+01
  0.3137E+01   0.2585E+01   0.1075E+01
  0.1979E+01   0.3761E+01  -0.6002E+00
  0.3434E+01   0.3397E+01   0.1792E+01
  0.2769E+01   0.3720E+01   0.3849E-01
  0.3313E+01   0.2347E+01   0.2137E+01
  0.2387E+01   0.3741E+01   0.1112E+01
  0.2684E+01  -0.4236E+01   0.4021E+01
  0.2710E+01  -0.3614E+01   0.2307E+01
  0.3384E+01   0.3922E+01  -0.3894E+01
  0.2208E+01  -0.3357E+01   0.3977E+01
  0.2322E+01   0.3631E+01  -0.3765E+01
  0.3137E+01  -0.2748E+01   0.3922E+01
  0.3509E+01   0.3468E+01  -0.2974E+01
  0.2819E+01  -0.3203E+01  -0.3726E+01
  0.2221E+01  -0.3747E+01  -0.1529E+01
  0.2347E+01  -0.3053E+01  -0.2727E+01
  0.3281E+01  -0.4038E+01  -0.1298E+01
  0.2083E+01  -0.2671E+01  -0.1657E+01
  0.2638E+01  -0.3819E+01  -0.4631E+00
  0.3194E+01  -0.3092E+01  -0.9621E+00
  0.2837E+01  -0.3907E+01   0.5799E+00
  0.3044E+01  -0.2947E+01   0.2014E+00
  0.3190E+01  -0.4124E+01   0.1532E+01
  0.2608E+01  -0.3076E+01   0.1224E+01
  0.3671E+01   0.4087E+01   0.2548E+01
  0.1937E+01  -0.2776E+01   0.2126E+01
  0.2630E+01  -0.2531E+01   0.2899E+01
  0.2709E+01  -0.1462E+01   0.2504E+01
  0.3319E+01  -0.3399E+01   0.3118E+01
  0.2293E+01  -0.8339E+00   0.3298E+01
  0.2699E+01  -0.2048E+01  -0.3906E+01
  0.2966E+01  -0.1726E+01   0.3567E+01
  0.3103E+01  -0.2294E+01  -0.2974E+01
  0.2597E+01  -0.1019E+01  -0.4236E+01
  0.3023E+01  -0.2299E+01  -0.1833E+01
  0.2197E+01  -0.1005E+01  -0.2612E+01
  0.3920E+01  -0.2425E+01  -0.1295E+01
  0.2408E+01  -0.1239E+01  -0.1548E+01
  0.3034E+01  -0.1936E+01   0.7339E+00
  0.3405E+01  -0.1407E+01  -0.1168E+01
  0.3951E+01  -0.2392E+01   0.1085E+01
  0.3243E+01  -0.1044E+01   0.1744E+00
  0.2843E+01  -0.2237E+01   0.1785E+01
  0.3125E+01  -0.1112E+01   0.1361E+01
  0.3570E+01  -0.3064E+01   0.1993E+01
  0.2037E+01  -0.9416E+00   0.1569E+01
  0.3432E+01  -0.7940E+00   0.3364E+01
  0.3385E+01   0.1426E+00   0.2803E+01
  0.3656E+01  -0.1232E+01  -0.4223E+01
  0.2237E+01   0.2945E+00   0.3172E+01
  0.2978E+01  -0.1172E+00  -0.3875E+01
  0.3080E+01   0.6412E+00   0.4015E+01
  0.3164E+01  -0.9877E+00  -0.3230E+01
  0.2048E+01   0.7717E+00  -0.3285E+01
  0.2145E+01  -0.2314E+00  -0.3493E+00
  0.2534E+01  -0.1005E+00  -0.2895E+01
  0.3048E+01  -0.6073E+00  -0.2196E+01
  0.2330E+01   0.5775E+00  -0.1110E+01
  0.3238E+01   0.1093E+00  -0.2378E+00
  0.2963E+01  -0.4643E+00  -0.1066E+01
  0.4114E+01  -0.6560E+00  -0.2923E+00
  0.2694E+01   0.6179E+00   0.4829E+00
  0.2421E+01  -0.3163E+00   0.2257E+01
  0.2686E+01  -0.3870E+00   0.7918E+00
  0.3458E+01  -0.8194E+00   0.2228E+01
  0.2413E+01   0.5604E+00   0.1819E+01
  0.2857E+01   0.1176E+01   0.2849E+01
  0.2468E+01   0.2093E+01   0.2737E+01
  0.3964E+01   0.1094E+01   0.3662E+01
  0.2324E+01   0.2586E+01   0.4217E+01
  0.1857E+01   0.1788E+01  -0.3860E+01
  0.3022E+01   0.1850E+01   0.3738E+01
  0.2857E+01   0.1309E+01  -0.3758E+01
  0.2566E+01   0.1640E+01  -0.2724E+01
  0.2806E+01   0.4074E+00  -0.2059E+01
  0.3707E+01   0.1558E+01  -0.2884E+01
  0.3025E+01   0.1376E+01  -0.1688E+01
  0.1897E+01   0.1383E+01  -0.1887E+01
  0.2714E+01   0.1466E+01  -0.6450E+00
  0.3794E+01   0.1758E+01  -0.9094E+00
  0.3569E+01   0.1107E+01  -0.9541E-01
  0.2808E+01   0.1722E+01   0.4714E+00
  0.3778E+01   0.9639E+00   0.9215E+00
  0.3998E+01   0.1790E+01   0.1512E+01
  0.2986E+01   0.1409E+01   0.1487E+01
  0.2360E+01   0.2694E+01   0.1806E+01
  0.3971E+01   0.2884E+01   0.2691E+01
 -0.3908E+01   0.3634E+01   0.2160E+01
 -0.3734E+01   0.2246E+01   0.2577E+01
 -0.4165E+01   0.3266E+01   0.3592E+01
  0.4059E+01   0.2244E+01   0.3636E+01
 -0.3338E+01   0.3176E+01   0.2948E+01
  0.4165E+01   0.3046E+01  -0.3824E+01
 -0.4209E+01   0.4110E+01  -0.3225E+01
 -0.4225E+01   0.2465E+01  -0.2787E+01
 -0.3622E+01   0.3295E+01  -0.3109E+01
 -0.4243E+01   0.3102E+01  -0.1994E+01
  0.4154E+01   0.3959E+01  -0.1467E+01
 -0.4210E+01   0.2752E+01  -0.9127E+00
 -0.3850E+01   0.3730E+01  -0.5252E+00
 -0.3611E+01   0.2323E+01  -0.1161E+00
  0.3649E+01   0.3492E+01  -0.6148E+00
  0.3346E+01   0.3526E+01   0.7859E+00
  0.4191E+01   0.3049E+01   0.1746E+00
 -0.4159E+01   0.2732E+01   0.1738E+01
  0.2678E+01   0.4175E+01   0.3001E+01
  0.4106E+01  -0.4181E+01   0.3410E+01
 -0.3225E+01  -0.3968E+01   0.1569E+01
 -0.3561E+01  -0.4256E+01   0.2857E+01
  0.4133E+01  -0.3022E+01   0.3639E+01
  0.3668E+01  -0.3750E+01   0.4232E+01
 -0.3582E+01  -0.3676E+01   0.3765E+01
 -0.3989E+01   0.3959E+01  -0.4218E+01
  0.3471E+01  -0.3796E+01  -0.3244E+01
  0.3061E+01  -0.3552E+01  -0.2186E+01
  0.4016E+01  -0.3960E+01  -0.2340E+01
 -0.3457E+01   0.3860E+01  -0.2195E+01
  0.4193E+01  -0.3449E+01  -0.1437E+01
  0.3896E+01  -0.3553E+01  -0.3246E+00
 -0.3451E+01  -0.4044E+01  -0.1304E+01
 -0.3551E+01  -0.3815E+01  -0.2494E+00
  0.3815E+01  -0.3374E+01   0.7831E+00
  0.3927E+01   0.4114E+01   0.1999E+00
 -0.3875E+01  -0.3968E+01   0.7363E+00
 -0.4210E+01   0.3623E+01   0.1158E+01
  0.4218E+01  -0.3953E+01   0.1710E+01
 -0.4090E+01  -0.3353E+01   0.2714E+01
 -0.3655E+01  -0.2237E+01   0.2216E+01
 -0.2993E+01  -0.3317E+01   0.2482E+01
  0.3656E+01  -0.2337E+01   0.2968E+01
  0.3901E+01  -0.2611E+01  -0.3867E+01
 -0.3467E+01  -0.2550E+01   0.3221E+01
 -0.4092E+01  -0.3306E+01  -0.3314E+01
  0.4004E+01  -0.1739E+01  -0.3289E+01
  0.3970E+01  -0.2856E+01  -0.2367E+01
 -0.3614E+01  -0.1849E+01  -0.2774E+01
 -0.3544E+01  -0.2972E+01  -0.2066E+01
  0.3527E+01  -0.1544E+01  -0.2345E+01
 -0.3921E+01  -0.2776E+01  -0.4055E+00
 -0.4075E+01  -0.1742E+01  -0.1829E+01
 -0.3622E+01  -0.2930E+01   0.6156E+00
  0.3129E+01  -0.2136E+01  -0.5229E+00
 -0.3760E+01  -0.3077E+01   0.1662E+01
  0.3952E+01  -0.1839E+01   0.1792E+00
 -0.2840E+01  -0.2524E+01   0.1404E+01
  0.3859E+01  -0.1878E+01   0.2065E+01
 -0.3861E+01  -0.1214E+01   0.2065E+01
 -0.4250E+01  -0.2221E+00   0.1792E+01
 -0.4177E+01  -0.1535E+01   0.3087E+01
 -0.4252E+01  -0.3570E+00   0.2816E+01
 -0.3918E+01  -0.1961E+01   0.4066E+01
 -0.3770E+01  -0.6454E+00   0.3723E+01
 -0.3663E+01  -0.1072E+01  -0.3565E+01
  0.3389E+01   0.6469E+00  -0.2990E+01
 -0.4133E+01  -0.8992E+00  -0.2445E+01
  0.4077E+01  -0.8281E-01  -0.3428E+01
 -0.2463E+01  -0.2466E+01  -0.1864E+01
  0.3879E+01   0.1472E+00  -0.2134E+01
 -0.4041E+01  -0.1649E+01  -0.6788E+00
  0.4094E+01  -0.5499E+00  -0.1380E+01
 -0.3352E+01  -0.1906E+01   0.1147E+00
  0.3781E+01   0.5426E+00  -0.1073E+01
  0.4217E+01  -0.1063E+01   0.1102E+01
 -0.3467E+01  -0.8145E+00   0.4539E+00
 -0.3568E+01  -0.1798E+01   0.1145E+01
  0.3354E+01   0.1595E+00   0.1588E+01
  0.4091E+01   0.7925E+00   0.2161E+01
 -0.3627E+01   0.1471E+01   0.1987E+01
 -0.3161E+01  -0.4119E+00   0.2796E+01
  0.4027E+01   0.1655E+01   0.2819E+01
  0.3984E+01   0.8500E-02   0.4062E+01
 -0.3490E+01   0.1409E+01   0.3243E+01
 -0.3502E+01   0.1998E+00  -0.3895E+01
 -0.4150E+01   0.2059E+01  -0.3666E+01
 -0.4037E+01   0.6445E+00  -0.2743E+01
 -0.4268E+01   0.1029E+01  -0.3684E+01
 -0.3348E+01  -0.2987E+00  -0.2793E+01
  0.3725E+01   0.2333E+01  -0.1845E+01
  0.4208E+01   0.1221E+01  -0.1821E+01
 -0.3723E+01   0.2121E+01  -0.1512E+01
 -0.3452E+01  -0.7023E+00  -0.7719E+00
  0.4141E+01   0.2120E+01   0.5534E+00
  0.4149E+01   0.2787E-01   0.8280E+00
 -0.3694E+01   0.1447E+01  -0.6222E+00
 -0.3199E+01  -0.4821E+00   0.1538E+01
 -0.3421E+01   0.1828E+01   0.9543E+00
 -0.2607E+01   0.1468E+01   0.1805E+01
 -0.2409E+01   0.2302E+01   0.7117E+00
 -0.2652E+01   0.1882E+01   0.2816E+01
 -0.2695E+01   0.2803E+01   0.2258E+01
 -0.3408E+01   0.1917E+01   0.4165E+01
 -0.2692E+01   0.2557E+01   0.3615E+01
 -0.2455E+01   0.1012E+01  -0.3875E+01
 -0.3218E+01   0.3085E+01  -0.4077E+01
 -0.3116E+01   0.1623E+01  -0.3397E+01
 -0.2896E+01   0.2571E+01  -0.3084E+01
 -0.2110E+01   0.1484E+01  -0.2588E+01
 -0.2677E+01   0.2980E+01  -0.2143E+01
 -0.2821E+01   0.1338E+01  -0.1356E+01
 -0.2159E+01   0.2140E+01  -0.1744E+01
 -0.1957E+01   0.1487E+01  -0.6621E+00
 -0.2851E+01   0.2313E+01  -0.8861E+00
 -0.2811E+01   0.1583E+01  -0.7623E-01
 -0.1899E+01   0.2652E+01  -0.1605E+00
 -0.2471E+01   0.1268E+01   0.8140E+00
 -0.3173E+01   0.2742E+01   0.1308E+01
 -0.2945E+01   0.3658E+01   0.1634E+01
 -0.2082E+01  -0.4268E+01   0.1504E+01
 -0.1983E+01   0.3119E+01   0.1499E+01
 -0.2611E+01   0.4043E+01   0.2515E+01
 -0.2544E+01  -0.4232E+01   0.3965E+01
 -0.1919E+01   0.2899E+01   0.2885E+01
 -0.2092E+01   0.3187E+01  -0.4125E+01
 -0.3062E+01  -0.3547E+01  -0.3191E+01
 -0.2899E+01   0.3984E+01  -0.3559E+01
 -0.1895E+01   0.4174E+01  -0.3801E+01
 -0.2231E+01   0.3401E+01  -0.3024E+01
 -0.2433E+01  -0.4208E+01  -0.2581E+01
 -0.3248E+01   0.3228E+01  -0.1323E+01
 -0.1697E+01   0.3336E+01  -0.2083E+01
 -0.2136E+01   0.3009E+01  -0.1170E+01
 -0.2517E+01   0.3979E+01  -0.1535E+01
 -0.2898E+01   0.3220E+01  -0.3369E+00
 -0.2090E+01   0.3870E+01  -0.5366E+00
 -0.2658E+01   0.3398E+01   0.6434E+00
 -0.2768E+01  -0.4120E+01   0.6896E+00
 -0.1684E+01  -0.3439E+01   0.1913E+01
 -0.1272E+01  -0.2563E+01   0.1596E+01
 -0.1998E+01  -0.2849E+01   0.2663E+01
 -0.2308E+01  -0.2025E+01   0.3095E+01
 -0.2372E+01  -0.3133E+01   0.3666E+01
 -0.1292E+01  -0.2785E+01   0.3525E+01
 -0.1926E+01  -0.3874E+01   0.2895E+01
 -0.3263E+01  -0.2657E+01  -0.3901E+01
 -0.2727E+01  -0.2624E+01  -0.2869E+01
 -0.2191E+01  -0.3227E+01  -0.3708E+01
 -0.1759E+01  -0.3332E+01  -0.2494E+01
 -0.1263E+01  -0.2900E+01  -0.1611E+01
 -0.2661E+01  -0.3497E+01  -0.1807E+01
 -0.2003E+01  -0.2451E+01  -0.9302E+00
 -0.1942E+01  -0.3483E+01  -0.1065E+01
 -0.3062E+01  -0.2708E+01  -0.1014E+01
 -0.2356E+01  -0.3693E+01  -0.1471E+00
 -0.1571E+01  -0.2953E+01  -0.1125E+00
 -0.2257E+01  -0.3248E+01   0.1028E+01
 -0.1917E+01  -0.2273E+01   0.8731E+00
 -0.2220E+01  -0.1451E+01   0.2076E+01
 -0.1426E+01  -0.1405E+01   0.1304E+01
 -0.1183E+01  -0.9165E+00   0.2258E+01
 -0.2188E+01  -0.9067E+00   0.3088E+01
 -0.2970E+01  -0.1409E+01   0.3660E+01
 -0.1591E+01  -0.1500E+01   0.3660E+01
 -0.2380E+01  -0.2210E+01   0.4169E+01
 -0.2232E+01  -0.1239E+01  -0.4068E+01
 -0.2891E+01  -0.1746E+01  -0.3514E+01
 -0.1524E+01  -0.1179E+01  -0.3328E+01
 -0.1940E+01  -0.2162E+01  -0.3403E+01
 -0.2388E+01  -0.1568E+01  -0.2570E+01
 -0.3034E+01  -0.1359E+01  -0.1652E+01
 -0.1928E+01  -0.1592E+01  -0.1596E+01
 -0.2676E+01  -0.1622E+01  -0.6573E+00
 -0.2539E+01  -0.6942E+00  -0.1432E+00
 -0.2664E+01  -0.2703E+01   0.1387E+00
 -0.1601E+01  -0.9371E+00   0.3567E+00
 -0.1720E+01  -0.1853E+01  -0.1061E+00
 -0.2574E+01  -0.1481E+01   0.7441E+00
 -0.2229E+01  -0.5589E+00   0.1131E+01
 -0.2631E+01   0.4167E+00   0.1415E+01
 -0.2079E+01  -0.3818E+00   0.2124E+01
 -0.3403E+01   0.4493E+00   0.2077E+01
 -0.2522E+01  -0.1899E+00   0.4229E+01
 -0.2709E+01   0.7201E+00   0.2849E+01
 -0.1470E+01  -0.6160E+00   0.4201E+01
 -0.3749E+01   0.3993E+00   0.3360E+01
 -0.2492E+01  -0.6439E+00  -0.3240E+01
 -0.3018E+01   0.6650E+00  -0.2942E+01
 -0.2223E+01  -0.6091E+00  -0.2184E+01
 -0.3638E+01   0.1623E+01  -0.2520E+01
 -0.3328E+01  -0.1354E+00  -0.1759E+01
 -0.2413E+01   0.5548E+00  -0.2083E+01
 -0.2516E+01  -0.4715E+00  -0.1201E+01
 -0.3452E+01   0.4885E+00  -0.9422E+00
 -0.3829E+01   0.3443E+00   0.4420E-01
 -0.2397E+01   0.5084E+00  -0.7479E+00
 -0.2896E+01   0.7157E-01   0.4763E+00
 -0.3620E+01   0.8172E+00   0.1038E+01
 -0.1728E+01   0.6108E+00   0.2241E+01
 -0.2893E+00   0.2190E+01   0.1628E+01
 -0.1505E+01   0.1702E+01   0.1371E+01
 -0.1731E+01   0.1768E+01   0.2374E+01
 -0.1912E+01   0.1290E+01   0.3788E+01
 -0.1352E+01   0.2080E+01   0.3263E+01
 -0.8835E+00   0.8692E+00   0.3732E+01
 -0.2406E+01   0.2198E+01  -0.3942E+01
 -0.1374E+01   0.1415E+01  -0.3365E+01
 -0.9263E+00   0.1795E+01   0.4132E+01
 -0.1057E+01   0.8482E+00  -0.2566E+01
 -0.1767E+01   0.2487E+01  -0.2762E+01
 -0.1488E+01   0.1208E+01  -0.1609E+01
 -0.1078E+01   0.2078E+01  -0.2086E+01
 -0.1548E+00   0.2428E+01  -0.1041E+01
 -0.1307E+01   0.2182E+01  -0.1041E+01
 -0.1493E+01   0.1503E+01   0.3001E+00
 -0.8033E+00   0.2396E+01  -0.1140E+00
 -0.6000E+00   0.1549E+01   0.8415E+00
 -0.1313E+01   0.2550E+01   0.8418E+00
 -0.1185E+01   0.2610E+01   0.2071E+01
 -0.9498E+00   0.3428E+01   0.1368E+01
 -0.6773E+00   0.2945E+01   0.2938E+01
 -0.1598E+01   0.3700E+01   0.2336E+01
 -0.1754E+01   0.3690E+01   0.3528E+01
 -0.8767E+00   0.4009E+01   0.3068E+01
 -0.1048E+01   0.2940E+01   0.3920E+01
 -0.1486E+01  -0.3831E+01   0.3965E+01
 -0.1315E+01   0.2455E+01  -0.3715E+01
 -0.8427E+00   0.3904E+01   0.4231E+01
 -0.5357E+00   0.2164E+01  -0.3047E+01
 -0.1151E+01   0.3389E+01  -0.3301E+01
 -0.5657E+00   0.3041E+01  -0.2111E+01
 -0.1255E+01   0.4198E+01  -0.2520E+01
 -0.9852E+00   0.3261E+01  -0.1032E+01
 -0.1415E+01   0.4221E+01  -0.1469E+01
 -0.1644E+01   0.3650E+01   0.3617E+00
 -0.1112E+01  -0.4190E+01  -0.4012E+00
 -0.5321E+00   0.3296E+01   0.3848E+00
 -0.1479E+01  -0.3958E+01   0.6927E+00
 -0.9939E+00  -0.4136E+01   0.1768E+01
 -0.2180E+00  -0.2454E+01   0.1904E+01
 -0.9113E+00  -0.3449E+01   0.2596E+01
 -0.1277E+01  -0.2063E+01   0.2558E+01
 -0.5259E+00  -0.3504E+01   0.4001E+01
 -0.4256E+00  -0.2599E+01   0.2941E+01
 -0.1296E+00  -0.3355E+01  -0.3467E+01
 -0.1248E+01  -0.2163E+01  -0.4174E+01
 -0.9252E+00  -0.4028E+01  -0.3519E+01
