        time     pot_ergy        press
  0.1220E+00  -0.4750E+01   0.1148E+01
  0.1230E+00  -0.4752E+01   0.1138E+01
  0.1240E+00  -0.4754E+01   0.1127E+01
  0.1250E+00  -0.4756E+01   0.1119E+01
  0.1260E+00  -0.4758E+01   0.1107E+01
  0.1270E+00  -0.4758E+01   0.1105E+01
  0.1280E+00  -0.4757E+01   0.1107E+01
  0.1290E+00  -0.4757E+01   0.1105E+01
  0.1300E+00  -0.4758E+01   0.1098E+01
  0.1310E+00  -0.4758E+01   0.1098E+01
  0.1320E+00  -0.4759E+01   0.1092E+01
  0.1330E+00  -0.4760E+01   0.1084E+01
  0.1340E+00  -0.4761E+01   0.1080E+01
  0.1350E+00  -0.4762E+01   0.1073E+01
  0.1360E+00  -0.4765E+01   0.1059E+01
  0.1370E+00  -0.4767E+01   0.1046E+01
  0.1380E+00  -0.4770E+01   0.1030E+01
  0.1390E+00  -0.4773E+01   0.1016E+01
  0.1400E+00  -0.4775E+01   0.1000E+01
  0.1410E+00  -0.4778E+01   0.9844E+00
  0.1420E+00  -0.4781E+01   0.9700E+00
  0.1430E+00  -0.4784E+01   0.9542E+00
  0.1440E+00  -0.4787E+01   0.9389E+00
  0.1450E+00  -0.4789E+01   0.9253E+00
  0.1460E+00  -0.4792E+01   0.9129E+00
  0.1470E+00  -0.4793E+01   0.9036E+00
  0.1480E+00  -0.4795E+01   0.8945E+00
  0.1490E+00  -0.4798E+01   0.8827E+00
  0.1500E+00  -0.4799E+01   0.8761E+00
  0.1510E+00  -0.4800E+01   0.8682E+00
  0.1520E+00  -0.4802E+01   0.8590E+00
  0.1530E+00  -0.4803E+01   0.8535E+00
  0.1540E+00  -0.4803E+01   0.8503E+00
  0.1550E+00  -0.4805E+01   0.8423E+00
  0.1560E+00  -0.4806E+01   0.8340E+00
  0.1570E+00  -0.4807E+01   0.8306E+00
  0.1580E+00  -0.4808E+01   0.8242E+00
  0.1590E+00  -0.4809E+01   0.8173E+00
  0.1600E+00  -0.4809E+01   0.8147E+00
  0.1610E+00  -0.4811E+01   0.8057E+00
  0.1620E+00  -0.4812E+01   0.8009E+00
  0.1630E+00  -0.4813E+01   0.7945E+00
  0.1640E+00  -0.4814E+01   0.7891E+00
  0.1650E+00  -0.4815E+01   0.7825E+00
  0.1660E+00  -0.4816E+01   0.7746E+00
  0.1670E+00  -0.4818E+01   0.7664E+00
  0.1680E+00  -0.4819E+01   0.7578E+00
  0.1690E+00  -0.4820E+01   0.7516E+00
  0.1700E+00  -0.4821E+01   0.7441E+00
  0.1710E+00  -0.4822E+01   0.7397E+00
  0.1720E+00  -0.4822E+01   0.7375E+00
  0.1730E+00  -0.4823E+01   0.7325E+00
  0.1740E+00  -0.4824E+01   0.7252E+00
  0.1750E+00  -0.4826E+01   0.7174E+00
  0.1760E+00  -0.4827E+01   0.7108E+00
  0.1770E+00  -0.4827E+01   0.7064E+00
  0.1780E+00  -0.4829E+01   0.6991E+00
  0.1790E+00  -0.4829E+01   0.6947E+00
  0.1800E+00  -0.4830E+01   0.6892E+00
  0.1810E+00  -0.4831E+01   0.6832E+00
  0.1820E+00  -0.4832E+01   0.6785E+00
  0.1830E+00  -0.4832E+01   0.6755E+00
  0.1840E+00  -0.4832E+01   0.6762E+00
  0.1850E+00  -0.4832E+01   0.6753E+00
  0.1860E+00  -0.4831E+01   0.6742E+00
  0.1870E+00  -0.4831E+01   0.6750E+00
  0.1880E+00  -0.4832E+01   0.6718E+00
  0.1890E+00  -0.4832E+01   0.6668E+00
  0.1900E+00  -0.4832E+01   0.6660E+00
  0.1910E+00  -0.4832E+01   0.6656E+00
  0.1920E+00  -0.4832E+01   0.6676E+00
  0.1930E+00  -0.4831E+01   0.6725E+00
  0.1940E+00  -0.4830E+01   0.6751E+00
  0.1950E+00  -0.4830E+01   0.6755E+00
  0.1960E+00  -0.4830E+01   0.6754E+00
  0.1970E+00  -0.4830E+01   0.6733E+00
  0.1980E+00  -0.4831E+01   0.6677E+00
  0.1990E+00  -0.4832E+01   0.6617E+00
  0.2000E+00  -0.4833E+01   0.6564E+00
  0.2010E+00  -0.4833E+01   0.6537E+00
  0.2020E+00  -0.4834E+01   0.6482E+00
  0.2030E+00  -0.4835E+01   0.6424E+00
  0.2040E+00  -0.4836E+01   0.6386E+00
  0.2050E+00  -0.4837E+01   0.6335E+00
  0.2060E+00  -0.4838E+01   0.6290E+00
  0.2070E+00  -0.4838E+01   0.6267E+00
  0.2080E+00  -0.4838E+01   0.6246E+00
  0.2090E+00  -0.4838E+01   0.6261E+00
  0.2100E+00  -0.4838E+01   0.6239E+00
