      rx_fcc       ry_fcc       rz_fcc
  0.1661E+01   0.3610E+01   0.2914E+01
  0.2503E+01   0.3982E+01   0.2170E+01
  0.2904E+01   0.3435E+01   0.2937E+01
  0.2233E+01   0.3841E+01   0.3820E+01
  0.2321E+01   0.3267E+01  -0.2725E+01
  0.3439E+01   0.3278E+01   0.4014E+01
  0.3176E+01   0.3077E+01  -0.3419E+01
  0.2817E+01  -0.4192E+01  -0.2546E+01
  0.2634E+01   0.2912E+01  -0.1755E+01
  0.3377E+01   0.3674E+01  -0.1925E+01
  0.3152E+01   0.2729E+01  -0.8368E+00
  0.2281E+01   0.3840E+01  -0.1707E+01
  0.3084E+01   0.2873E+01   0.2372E+00
  0.2892E+01   0.3657E+01  -0.9031E+00
  0.3364E+01   0.2796E+01   0.1336E+01
  0.1902E+01   0.3859E+01  -0.6915E+00
  0.3543E+01   0.3672E+01   0.1974E+01
  0.2706E+01   0.3837E+01   0.1396E+00
  0.3351E+01   0.2503E+01   0.2324E+01
  0.2470E+01   0.3568E+01   0.1169E+01
  0.2512E+01  -0.3763E+01   0.4261E+01
  0.2554E+01  -0.3605E+01   0.2591E+01
  0.3262E+01   0.4154E+01  -0.3900E+01
  0.1998E+01  -0.2939E+01  -0.4250E+01
  0.2157E+01   0.3816E+01  -0.3696E+01
  0.3265E+01  -0.2977E+01  -0.4184E+01
  0.3697E+01   0.4080E+01  -0.2973E+01
  0.2673E+01  -0.3307E+01  -0.3329E+01
  0.1894E+01  -0.3664E+01  -0.1550E+01
  0.2321E+01  -0.3292E+01  -0.2333E+01
  0.2955E+01  -0.3953E+01  -0.1434E+01
  0.2427E+01  -0.2819E+01  -0.1270E+01
  0.2417E+01  -0.3708E+01  -0.5811E+00
  0.3387E+01  -0.3265E+01  -0.6413E+00
  0.2396E+01  -0.3699E+01   0.5389E+00
  0.3113E+01  -0.3008E+01   0.3012E+00
  0.3091E+01  -0.3941E+01   0.1428E+01
  0.2540E+01  -0.3096E+01   0.1441E+01
  0.3470E+01  -0.3936E+01   0.2475E+01
  0.1686E+01  -0.3177E+01   0.2200E+01
  0.2378E+01  -0.2352E+01   0.2362E+01
  0.2857E+01  -0.1637E+01   0.3101E+01
  0.3111E+01  -0.3008E+01   0.3124E+01
  0.2660E+01  -0.7310E+00   0.3691E+01
  0.2304E+01  -0.1916E+01   0.4149E+01
  0.3498E+01  -0.1924E+01   0.3973E+01
  0.2839E+01  -0.1927E+01  -0.3390E+01
  0.2710E+01  -0.1103E+01  -0.3900E+01
  0.2538E+01  -0.2263E+01  -0.2408E+01
  0.2273E+01  -0.1329E+01  -0.2505E+01
  0.3337E+01  -0.2210E+01  -0.1599E+01
  0.2606E+01  -0.1629E+01  -0.1527E+01
  0.2251E+01  -0.2024E+01   0.2349E+00
  0.3620E+01  -0.1452E+01  -0.9494E+00
  0.3250E+01  -0.2189E+01   0.8308E+00
  0.3147E+01  -0.1291E+01   0.2679E+00
  0.2031E+01  -0.1916E+01   0.1270E+01
  0.3092E+01  -0.1369E+01   0.1353E+01
  0.3329E+01  -0.2806E+01   0.1915E+01
  0.2207E+01  -0.1102E+01   0.1903E+01
  0.3543E+01  -0.8438E+00   0.3284E+01
  0.3408E+01   0.1096E+00   0.3047E+01
  0.3671E+01  -0.8728E+00  -0.4198E+01
  0.2452E+01   0.3008E+00   0.3546E+01
  0.2882E+01   0.2692E+00  -0.3797E+01
  0.3272E+01   0.8294E+00   0.3996E+01
  0.3211E+01  -0.6271E+00  -0.3179E+01
  0.2364E+01   0.8718E+00  -0.2839E+01
  0.2252E+01  -0.2528E+00  -0.2034E+00
  0.2424E+01  -0.2015E+00  -0.2709E+01
  0.3069E+01  -0.5184E+00  -0.1979E+01
  0.2467E+01   0.5208E+00  -0.8859E+00
  0.3130E+01   0.5354E+00  -0.1486E+00
  0.3151E+01  -0.4115E+00  -0.8071E+00
  0.3965E+01  -0.7263E+00  -0.2408E+00
  0.2894E+01   0.5788E+00   0.9209E+00
  0.2149E+01  -0.1176E+00   0.2409E+01
  0.2762E+01  -0.4920E+00   0.9147E+00
  0.3107E+01  -0.8031E+00   0.2274E+01
  0.2362E+01   0.7951E+00   0.2008E+01
  0.2926E+01   0.1308E+01   0.2767E+01
  0.2450E+01   0.2221E+01   0.2877E+01
  0.4193E+01   0.1309E+01   0.3882E+01
  0.2142E+01   0.2658E+01   0.3913E+01
  0.2034E+01   0.1871E+01  -0.3614E+01
  0.3051E+01   0.1928E+01   0.3764E+01
  0.3065E+01   0.1418E+01  -0.3679E+01
  0.2729E+01   0.1900E+01  -0.2615E+01
  0.2725E+01   0.4872E+00  -0.1954E+01
  0.3811E+01   0.1690E+01  -0.2763E+01
  0.3088E+01   0.1474E+01  -0.1681E+01
  0.1975E+01   0.1232E+01  -0.1864E+01
  0.2895E+01   0.1520E+01  -0.6049E+00
  0.3920E+01   0.1948E+01  -0.9578E+00
  0.3860E+01   0.1402E+01  -0.6173E-01
  0.2998E+01   0.1677E+01   0.5300E+00
  0.3803E+01   0.1068E+01   0.9681E+00
  0.4032E+01   0.1778E+01   0.1720E+01
  0.2915E+01   0.1644E+01   0.1563E+01
  0.2342E+01   0.2680E+01   0.1798E+01
  0.3925E+01   0.3112E+01   0.2849E+01
 -0.3820E+01   0.3644E+01   0.2397E+01
 -0.3774E+01   0.2415E+01   0.2766E+01
 -0.4171E+01   0.3584E+01   0.3693E+01
  0.4140E+01   0.2435E+01   0.3723E+01
 -0.3307E+01   0.3242E+01   0.3291E+01
  0.4154E+01   0.3183E+01  -0.3858E+01
 -0.3958E+01  -0.3963E+01  -0.2921E+01
 -0.4209E+01   0.2654E+01  -0.2710E+01
