      rx_fcc       ry_fcc       rz_fcc
  0.2099E+01   0.2694E+01   0.3283E+01
  0.2391E+01   0.3601E+01   0.1950E+01
  0.2965E+01   0.3101E+01   0.2674E+01
  0.1356E+01   0.3716E+01   0.3456E+01
  0.2452E+01   0.2866E+01  -0.3405E+01
  0.3250E+01   0.3127E+01   0.3765E+01
  0.3350E+01   0.2399E+01  -0.3195E+01
  0.2286E+01   0.4192E+01  -0.3445E+01
  0.2369E+01   0.2476E+01  -0.2438E+01
  0.2889E+01   0.3632E+01  -0.2783E+01
  0.2745E+01   0.2242E+01  -0.1494E+01
  0.1915E+01   0.3272E+01  -0.2032E+01
  0.2642E+01   0.2148E+01  -0.4212E+00
  0.2682E+01   0.3229E+01  -0.1196E+01
  0.3242E+01   0.2770E+01   0.3127E+00
  0.1704E+01   0.3476E+01  -0.8426E+00
  0.2982E+01   0.2792E+01   0.1341E+01
  0.2453E+01   0.3374E+01  -0.6639E-01
  0.3645E+01   0.2493E+01   0.2102E+01
  0.1911E+01   0.3453E+01   0.8817E+00
  0.2412E+01   0.3936E+01   0.3184E+01
  0.2657E+01  -0.3762E+01   0.1993E+01
  0.3265E+01   0.4266E+01   0.3822E+01
  0.2346E+01  -0.3493E+01   0.3389E+01
  0.2447E+01   0.3598E+01  -0.4261E+01
  0.3379E+01  -0.3163E+01   0.3955E+01
  0.3421E+01   0.3634E+01  -0.3727E+01
  0.2637E+01  -0.3619E+01  -0.4072E+01
  0.2154E+01  -0.4173E+01  -0.2339E+01
  0.2328E+01  -0.3337E+01  -0.3096E+01
  0.3199E+01   0.4137E+01  -0.1731E+01
  0.2210E+01  -0.3266E+01  -0.2026E+01
  0.2596E+01  -0.4206E+01  -0.8159E+00
  0.2911E+01  -0.3274E+01  -0.1202E+01
  0.3100E+01   0.4264E+01   0.1066E+00
  0.2136E+01  -0.2886E+01  -0.2777E+00
  0.2938E+01   0.3948E+01   0.1106E+01
  0.2671E+01  -0.3241E+01   0.6494E+00
  0.3542E+01   0.3590E+01   0.1891E+01
  0.1907E+01  -0.3116E+01   0.1413E+01
  0.2465E+01  -0.2679E+01   0.2397E+01
  0.2831E+01  -0.1694E+01   0.2225E+01
  0.3215E+01  -0.3297E+01   0.2790E+01
  0.2224E+01  -0.1360E+01   0.3115E+01
  0.2411E+01  -0.2511E+01   0.4097E+01
  0.2973E+01  -0.2193E+01   0.3255E+01
  0.3015E+01  -0.2638E+01  -0.3494E+01
  0.2573E+01  -0.1549E+01   0.4090E+01
  0.2772E+01  -0.2404E+01  -0.2266E+01
  0.2450E+01  -0.1470E+01  -0.2936E+01
  0.3670E+01  -0.2572E+01  -0.1316E+01
  0.2179E+01  -0.1466E+01  -0.1868E+01
  0.2601E+01  -0.2128E+01   0.2295E+00
  0.3087E+01  -0.1803E+01  -0.1393E+01
  0.3475E+01  -0.2313E+01   0.8202E+00
  0.3023E+01  -0.1067E+01   0.3076E-01
  0.2507E+01  -0.2299E+01   0.1314E+01
  0.3030E+01  -0.1473E+01   0.1087E+01
  0.3346E+01  -0.2911E+01   0.1749E+01
  0.2062E+01  -0.1361E+01   0.1492E+01
  0.3261E+01  -0.1026E+01   0.3223E+01
  0.3562E+01   0.6538E-01   0.2866E+01
  0.3551E+01  -0.9722E+00  -0.4245E+01
  0.2560E+01  -0.8211E-01   0.3198E+01
  0.2630E+01  -0.6585E+00  -0.3881E+01
  0.2943E+01   0.3298E+00   0.4210E+01
  0.3293E+01  -0.8882E+00  -0.3154E+01
  0.2130E+01   0.6378E+00  -0.3366E+01
  0.2403E+01  -0.7384E+00  -0.1162E+01
  0.2588E+01  -0.2122E+00  -0.2919E+01
  0.2972E+01  -0.7791E+00  -0.2160E+01
  0.2427E+01   0.6170E+00  -0.1107E+01
  0.2865E+01   0.3447E-01  -0.4979E+00
  0.3640E+01  -0.1112E+01  -0.8560E+00
  0.3928E+01  -0.1196E+00  -0.4854E+00
  0.3021E+01   0.4226E+00   0.6789E+00
  0.2445E+01  -0.5555E+00   0.1963E+01
  0.3424E+01  -0.5607E+00   0.8211E+00
  0.3437E+01  -0.7624E+00   0.2116E+01
  0.2653E+01   0.3570E+00   0.2237E+01
  0.2773E+01   0.9969E+00   0.3062E+01
