      rx_fcc       ry_fcc       rz_fcc
  0.2261E+01   0.3336E+01   0.3342E+01
  0.2563E+01   0.4116E+01   0.2268E+01
  0.3296E+01   0.3357E+01   0.3175E+01
  0.2055E+01   0.4241E+01   0.3928E+01
  0.2559E+01   0.3407E+01  -0.2513E+01
  0.3501E+01   0.3280E+01   0.4189E+01
  0.3361E+01   0.2816E+01  -0.3213E+01
  0.2621E+01  -0.4012E+01  -0.2640E+01
  0.2784E+01   0.2844E+01  -0.1649E+01
  0.3296E+01   0.4042E+01  -0.1841E+01
  0.3314E+01   0.2772E+01  -0.7489E+00
  0.2166E+01   0.3844E+01  -0.1582E+01
  0.3224E+01   0.2971E+01   0.2889E+00
  0.2909E+01   0.3822E+01  -0.8516E+00
  0.3390E+01   0.2693E+01   0.1341E+01
  0.1987E+01   0.3944E+01  -0.4560E+00
  0.3732E+01   0.3556E+01   0.2110E+01
  0.3012E+01   0.4030E+01   0.1885E+00
  0.3418E+01   0.2552E+01   0.2369E+01
  0.2471E+01   0.3976E+01   0.1230E+01
  0.2982E+01  -0.3870E+01  -0.4076E+01
  0.2795E+01  -0.3247E+01   0.2442E+01
  0.3670E+01   0.3985E+01  -0.3591E+01
  0.2238E+01  -0.2929E+01   0.4129E+01
  0.2626E+01   0.3723E+01  -0.3581E+01
  0.3247E+01  -0.2569E+01   0.4036E+01
  0.3884E+01   0.3573E+01  -0.2617E+01
  0.2865E+01  -0.2871E+01  -0.3536E+01
  0.2418E+01  -0.3685E+01  -0.1188E+01
  0.2390E+01  -0.2775E+01  -0.2497E+01
  0.3553E+01  -0.3920E+01  -0.9062E+00
  0.2115E+01  -0.2294E+01  -0.1561E+01
  0.2837E+01  -0.3542E+01  -0.1196E+00
  0.3206E+01  -0.2934E+01  -0.9352E+00
  0.3082E+01  -0.3743E+01   0.9318E+00
  0.3204E+01  -0.2631E+01   0.3208E+00
  0.3429E+01  -0.3959E+01   0.1902E+01
  0.2841E+01  -0.2775E+01   0.1384E+01
  0.3943E+01  -0.4241E+01   0.2824E+01
  0.1980E+01  -0.2479E+01   0.2235E+01
  0.2771E+01  -0.2362E+01   0.3100E+01
  0.2675E+01  -0.1263E+01   0.2790E+01
  0.3558E+01  -0.3326E+01   0.3362E+01
  0.2540E+01  -0.4509E+00   0.3461E+01
  0.2962E+01  -0.1803E+01  -0.3728E+01
  0.3197E+01  -0.1514E+01   0.3711E+01
  0.3229E+01  -0.2197E+01  -0.2783E+01
  0.2746E+01  -0.7839E+00  -0.4161E+01
  0.3235E+01  -0.2268E+01  -0.1650E+01
  0.2266E+01  -0.9183E+00  -0.2499E+01
  0.4044E+01  -0.2309E+01  -0.1015E+01
  0.2512E+01  -0.1135E+01  -0.1463E+01
  0.3252E+01  -0.1834E+01   0.1047E+01
  0.3526E+01  -0.1222E+01  -0.9867E+00
  0.4222E+01  -0.2236E+01   0.1242E+01
  0.3355E+01  -0.9084E+00   0.2396E+00
  0.2909E+01  -0.2014E+01   0.2087E+01
  0.3198E+01  -0.8394E+00   0.1428E+01
  0.3836E+01  -0.2971E+01   0.2159E+01
  0.2089E+01  -0.7148E+00   0.1609E+01
  0.3666E+01  -0.6370E+00   0.3551E+01
  0.3427E+01   0.3038E+00   0.2851E+01
  0.3914E+01  -0.1115E+01  -0.4084E+01
  0.2185E+01   0.5101E+00   0.3157E+01
  0.3138E+01   0.1802E-01  -0.3783E+01
  0.3069E+01   0.7218E+00   0.3782E+01
  0.3216E+01  -0.9390E+00  -0.3090E+01
  0.2067E+01   0.9523E+00  -0.3179E+01
  0.2349E+01  -0.2745E+00  -0.2150E+00
  0.2496E+01   0.1009E-01  -0.2915E+01
  0.3161E+01  -0.5197E+00  -0.2042E+01
  0.2466E+01   0.6357E+00  -0.1035E+01
  0.3346E+01   0.1006E+00  -0.8106E-01
  0.3017E+01  -0.2936E+00  -0.1074E+01
  0.4139E+01  -0.6164E+00  -0.3612E+00
  0.2769E+01   0.7934E+00   0.6223E+00
  0.2566E+01  -0.2249E+00   0.2423E+01
  0.2764E+01  -0.2332E+00   0.7264E+00
  0.3501E+01  -0.7919E+00   0.2440E+01
  0.2283E+01   0.7434E+00   0.1803E+01
  0.2972E+01   0.1190E+01   0.2783E+01
  0.2463E+01   0.2202E+01   0.2674E+01
  0.4061E+01   0.1142E+01   0.3679E+01
