     density     S(k)_med         error
  0.8300E+00   0.7023E-02    0.1378E-07
  0.8600E+00   0.7720E-02    0.1193E-07
  0.8900E+00   0.8327E-02    0.2450E-07
  0.9200E+00   0.7924E-02    0.2054E-07
  0.9500E+00   0.1083E-01    0.1927E-07
  0.9800E+00   0.8577E-02    0.2258E-07
  0.1010E+01   0.6485E+00    0.3458E-06
  0.1040E+01   0.6904E+00    0.2044E-06
  0.1070E+01   0.7380E+00    0.1372E-06
  0.1100E+01   0.7717E+00    0.7818E-07
