     density            D        error          msd         error
  0.8300E+00   0.1729E+00   0.1373E-08   0.2609E+02    0.5742E-02
  0.8600E+00   0.2752E+00   0.3487E-08   0.4165E+02    0.1454E-01
  0.8900E+00   0.3657E+00   0.6096E-08   0.5550E+02    0.2617E-01
  0.9200E+00   0.4408E+00   0.7708E-08   0.6679E+02    0.3785E-01
  0.9500E+00   0.5062E+00   0.8588E-08   0.7643E+02    0.4892E-01
  0.9800E+00   0.5595E+00   0.9061E-08   0.8427E+02    0.5907E-01
  0.1010E+01   0.6109E+00   0.9877E-08   0.9199E+02    0.7048E-01
  0.1040E+01   0.6572E+00   0.1061E-07   0.9897E+02    0.8162E-01
  0.1070E+01   0.6954E+00   0.1082E-07   0.1046E+03    0.9124E-01
  0.1100E+01   0.7130E+00   0.1001E-07   0.1070E+03    0.9464E-01
