     density     S(k)_med         error
  0.8300E+00   0.6278E-02    0.5359E-07
  0.8600E+00   0.1069E-01    0.6768E-07
  0.8900E+00   0.5859E+00    0.1445E-05
  0.9200E+00   0.6797E+00    0.1087E-05
  0.9500E+00   0.7415E+00    0.7347E-06
  0.9800E+00   0.5125E+00   -0.1746E-17
  0.1010E+01   0.8135E+00    0.3227E-06
  0.1040E+01   0.8337E+00    0.4563E-06
  0.1070E+01   0.8641E+00    0.1808E-06
  0.1100E+01   0.8805E+00    0.1589E-06
