     density     pressure         error
  0.1000E+00   0.4632E+18    0.3938E+16
  0.2222E+00   0.3545E+26    0.1464E+18
  0.3444E+00   0.9267E+25    0.3242E+24
  0.4667E+00   0.1567E+24    0.6545E+20
  0.5889E+00   0.1106E+27    0.3373E+21
  0.7111E+00   0.3126E+24    0.5650E+21
  0.8333E+00   0.1711E+27    0.2045E+25
  0.9556E+00   0.2748E+25    0.3090E+23
  0.1078E+01   0.9479E+25    0.8862E+22
  0.1200E+01   0.5871E+29    0.3531E+25
