     density            D        error          msd         error
  0.8300E+00   0.7271E-02   0.1692E-03   0.9923E-01    0.4616E-02
  0.8600E+00   0.1138E-01   0.2770E-03   0.1544E+00    0.7122E-02
  0.8900E+00   0.1464E-01   0.3720E-03   0.1972E+00    0.8980E-02
  0.9200E+00   0.1750E-01   0.4548E-03   0.2349E+00    0.1061E-01
  0.9500E+00   0.1976E-01   0.5758E-03   0.2599E+00    0.1123E-01
  0.9800E+00   0.2176E-01   0.6807E-03   0.2823E+00    0.1184E-01
  0.1010E+01   0.2343E-01   0.7715E-03   0.3009E+00    0.1234E-01
  0.1040E+01   0.2480E-01   0.8470E-03   0.3160E+00    0.1274E-01
  0.1070E+01   0.2601E-01   0.9138E-03   0.3293E+00    0.1309E-01
  0.1100E+01   0.2709E-01   0.9709E-03   0.3415E+00    0.1343E-01
