     density     S(k)_med         error
  0.8300E+00   0.5697E-02    0.6303E-08
  0.8600E+00   0.8953E-02    0.2435E-07
  0.8900E+00   0.8894E-02    0.1020E-07
  0.9200E+00   0.6504E-02    0.8203E-08
  0.9500E+00   0.7708E-02    0.6837E-08
  0.9800E+00   0.8109E-02    0.1348E-07
  0.1010E+01   0.8166E-02    0.2502E-07
  0.1040E+01   0.1168E-01    0.3330E-07
  0.1070E+01   0.8433E-02    0.1568E-07
  0.1100E+01   0.8214E-02    0.1268E-07
