     density     pressure         error
  0.8300E+00   0.2172E+01    0.2302E-04
  0.8600E+00   0.2834E+01    0.3362E-04
  0.8900E+00   0.3710E+01    0.3204E-04
  0.9200E+00   0.4831E+01    0.4197E-04
  0.9500E+00   0.3105E+01    0.4812E-04
  0.9800E+00   0.3955E+01    0.4260E-04
  0.1010E+01   0.5192E+01    0.3286E-04
  0.1040E+01   0.6703E+01    0.3750E-04
  0.1070E+01   0.8538E+01    0.4509E-04
  0.1100E+01   0.1080E+02    0.5111E-04
