     density     S(k)_med         error
  0.8300E+00   0.6482E-02    0.4246E-07
  0.8600E+00   0.6049E-02    0.4013E-07
  0.8900E+00   0.4597E-02    0.2040E-07
  0.9200E+00   0.6128E-02    0.2709E-07
  0.9500E+00   0.1038E-01    0.7516E-07
  0.9800E+00   0.1460E-01    0.5115E-09
  0.1010E+01   0.1388E-01    0.1630E-06
  0.1040E+01   0.7417E-02    0.4585E-07
  0.1070E+01   0.3778E-02    0.1002E-07
  0.1100E+01   0.7775E-02    0.5117E-07
