     density            D        error          msd         error
  0.8300E+00   0.6391E-01   0.1064E-09   0.9620E+01    0.7778E-03
  0.8600E+00   0.9573E-01   0.2274E-09   0.1435E+02    0.1716E-02
  0.8900E+00   0.1226E+00   0.3931E-09   0.1832E+02    0.2776E-02
  0.9200E+00   0.1457E+00   0.5725E-09   0.2174E+02    0.3898E-02
  0.9500E+00   0.1600E+00   0.9447E-09   0.2374E+02    0.4570E-02
  0.9800E+00   0.1522E+00   0.1476E-08   0.2250E+02    0.4109E-02
  0.1010E+01   0.1528E+00   0.2120E-08   0.2253E+02    0.4109E-02
  0.1040E+01   0.1532E+00   0.2824E-08   0.2255E+02    0.4109E-02
  0.1070E+01   0.1537E+00   0.3568E-08   0.2257E+02    0.4109E-02
  0.1100E+01   0.1540E+00   0.4329E-08   0.2259E+02    0.4109E-02
