#       density               pressure
-0.010752688172043012   0.004914004914004955
0.010752688172043012    0.01375921375921385
0.05161290322580645     0.025552825552825564
0.09462365591397849     0.025552825552825564
0.1913978494623656      -0.039312039312039304
0.28817204301075267     -0.16904176904176904
0.3956989247311828      -0.36363636363636365
0.4967741935483871      -0.6319410319410319
0.6537634408602151      -0.9061425061425062
0.7053763440860215      -0.8914004914004915
0.8043010752688172      -0.3135135135135135
0.8387096774193549      0.2407862407862409
0.8473118279569892      0.4442260442260444
