     density     S(k)_med         error
  0.1000E+00   0.3799E-02    0.1229E-08
  0.2222E+00   0.1446E-02    0.1062E-09
  0.3444E+00   0.1656E-02    0.3510E-09
  0.4667E+00   0.1763E-02    0.2831E-09
  0.5889E+00   0.2736E-02    0.6796E-09
  0.7111E+00   0.4410E-02    0.2049E-08
  0.8333E+00   0.4642E+00    0.5016E-06
  0.9556E+00   0.7899E+00    0.7111E-07
  0.1078E+01   0.8787E+00    0.1987E-07
  0.1200E+01   0.9284E+00    0.4247E-08
