     density     pressure         error
  0.8300E+00   0.4682E+01    0.6787E-01
  0.8600E+00   0.4159E+01    0.8043E-01
  0.8900E+00   0.3488E+01    0.4778E-01
  0.9200E+00   0.9002E+01    0.8571E-01
  0.9500E+00   0.1260E+02    0.2232E+00
  0.9800E+00   0.8299E+01    0.5828E-01
  0.1010E+01   0.1204E+02    0.6187E-01
  0.1040E+01   0.1633E+02    0.1841E+00
#  0.1070E+01   0.1370E+02    0.7790E-01
  0.1100E+01   0.2047E+02    0.1216E+00
