     density            D        error          msd         error
  0.8300E+00   0.1662E+03   0.4601E+00   0.2830E+03    0.1877E+01
  0.8600E+00   0.1180E+03   0.3292E+00   0.2016E+03    0.1353E+01
  0.8900E+00   0.1181E+03   0.3276E+00   0.2016E+03    0.1352E+01
  0.9200E+00   0.1196E+03   0.3310E+00   0.2042E+03    0.1370E+01
  0.9500E+00   0.1952E+03   0.5235E+00   0.3307E+03    0.2175E+01
  0.9800E+00   0.1971E+03   0.5189E+00   0.3320E+03    0.2143E+01
  0.1010E+01   0.1921E+03   0.5080E+00   0.3243E+03    0.2109E+01
  0.1040E+01   0.1924E+03   0.5062E+00   0.3246E+03    0.2109E+01
  0.1070E+01   0.2833E+03   0.7493E+00   0.4783E+03    0.3112E+01
  0.1100E+01   0.2637E+03   0.6972E+00   0.4454E+03    0.2903E+01
