     density     S(k)_med         error
  0.8300E+00   0.7189E-02    0.2835E-07
  0.8600E+00   0.1023E-01    0.5968E-07
  0.8900E+00   0.1223E-01    0.3292E-07
  0.9200E+00   0.1390E-01    0.6639E-07
  0.9500E+00   0.1232E-01    0.2735E-07
  0.9800E+00   0.1455E-02    0.3315E-08
  0.1010E+01   0.3887E-02    0.5461E-08
  0.1040E+01   0.4056E-01    0.9860E-07
  0.1070E+01   0.9927E-02    0.5156E-07
  0.1100E+01   0.1829E-01    0.1619E-06
