     density     pressure         error
  0.8300E+00   0.1980E+01    0.1949E-01
  0.8600E+00   0.2556E+01    0.1060E-01
  0.8900E+00   0.3524E+01    0.1155E-01
  0.9200E+00   0.4748E+01    0.1935E-01
  0.9500E+00   0.2713E+01    0.1370E-01
  0.9800E+00   0.3505E+01    0.1407E-01
  0.1010E+01   0.4688E+01    0.1381E-01
  0.1040E+01   0.6115E+01    0.1171E-01
  0.1070E+01   0.7829E+01    0.1383E-01
  0.1100E+01   0.1040E+02    0.4074E-01
