     density     pressure         error
  0.8300E+00   0.3044E+01    0.1825E+00
  0.8600E+00   0.2695E+01    0.4248E-01
  0.8900E+00   0.2552E+01    0.4502E-01
  0.9200E+00   0.7922E+01    0.8332E-01
  0.9500E+00   0.6009E+01    0.5780E-01
  0.9800E+00   0.6062E+01    0.5965E-01
  0.1010E+01   0.7914E+01    0.5747E-01
  0.1040E+01   0.1033E+02    0.6697E-01
#  0.1070E+01   0.2268E+02    0.5731E+00
  0.1100E+01   0.2590E+02    0.4913E+00
