     density     S(k)_med         error
  0.8300E+00   0.9977E-02    0.1432E-07
  0.8600E+00   0.8493E-02    0.1401E-07
  0.8900E+00   0.3954E-02    0.3808E-08
  0.9200E+00   0.8810E-02    0.2356E-07
  0.9500E+00   0.5732E+00    0.6788E-06
  0.9800E+00   0.6628E+00    0.4058E-06
  0.1010E+01   0.6963E+00    0.1845E-06
  0.1040E+01   0.7541E+00    0.1375E-06
  0.1070E+01   0.7756E+00    0.1610E-06
  0.1100E+01   0.7958E+00    0.1191E-06
