     density            D        error          msd         error
  0.8300E+00   0.7666E-01   0.1778E-09   0.1146E+02    0.1065E-02
  0.8600E+00   0.1176E+00   0.3666E-09   0.1759E+02    0.2516E-02
  0.8900E+00   0.1560E+00   0.5682E-09   0.2338E+02    0.4506E-02
  0.9200E+00   0.1847E+00   0.7198E-09   0.2773E+02    0.6427E-02
  0.9500E+00   0.2091E+00   0.9020E-09   0.3134E+02    0.8171E-02
  0.9800E+00   0.2267E+00   0.1121E-08   0.3390E+02    0.9527E-02
  0.1010E+01   0.2175E+00   0.1492E-08   0.3243E+02    0.8697E-02
  0.1040E+01   0.2181E+00   0.2042E-08   0.3246E+02    0.8697E-02
  0.1070E+01   0.2186E+00   0.2693E-08   0.3248E+02    0.8697E-02
  0.1100E+01   0.2191E+00   0.3391E-08   0.3250E+02    0.8697E-02
