     density     pressure         error
  0.8300E+00   0.2569E+01    0.1135E-01
  0.8600E+00   0.3507E+01    0.2015E-01
  0.8900E+00   0.4196E+01    0.1179E-01
  0.9200E+00   0.5757E+01    0.2970E-01
  0.9500E+00   0.7183E+01    0.2638E-01
  0.9800E+00   0.4707E+01    0.1674E-01
  0.1010E+01   0.6012E+01    0.1319E-01
  0.1040E+01   0.7476E+01    0.1459E-01
  0.1070E+01   0.1058E+02    0.1384E+00
  0.1100E+01   0.1803E+02    0.3460E-01
