     density     pressure         error
  0.8300E+00   0.2970E+01    0.4506E-04
  0.8600E+00   0.3768E+01    0.3808E-04
  0.8900E+00   0.4824E+01    0.4035E-04
  0.9200E+00   0.6049E+01    0.3249E-04
  0.9500E+00   0.7332E+01    0.5138E-04
  0.9800E+00   0.8967E+01    0.4727E-04
  0.1010E+01   0.6484E+01    0.5197E-04
  0.1040E+01   0.8056E+01    0.6434E-04
  0.1070E+01   0.9908E+01    0.6229E-04
  0.1100E+01   0.1217E+02    0.4054E-04
