     density     pressure         error
  0.8300E+00  -0.1377E+00    0.2455E-01
  0.8600E+00   0.1723E+01    0.3080E-01
  0.8900E+00   0.1626E+01    0.3054E-01
  0.9200E+00   0.2802E+01    0.3075E-01
  0.9500E+00   0.3713E+01    0.3937E-01
  0.9800E+00   0.4034E+01    0.3132E-01
  0.1010E+01   0.6117E+01    0.4174E-01
  0.1040E+01   0.3190E+01    0.5607E-01
  0.1070E+01   0.4584E+01    0.4089E-01
  0.1100E+01   0.7306E+01    0.6175E-01
