     density            D        error          msd         error
  0.8300E+00   0.1360E-01   0.2444E-03   0.1925E+00    0.9664E-02
  0.8600E+00   0.2173E-01   0.4054E-03   0.3063E+00    0.1528E-01
  0.8900E+00   0.2824E-01   0.5267E-03   0.3981E+00    0.1989E-01
  0.9200E+00   0.3422E-01   0.6783E-03   0.4785E+00    0.2353E-01
  0.9500E+00   0.3943E-01   0.7850E-03   0.5511E+00    0.2707E-01
  0.9800E+00   0.3700E-01   0.7343E-03   0.5175E+00    0.2551E-01
  0.1010E+01   0.4276E-01   0.8728E-03   0.5956E+00    0.2911E-01
  0.1040E+01   0.4611E-01   0.9724E-03   0.6394E+00    0.3098E-01
  0.1070E+01   0.4876E-01   0.1051E-02   0.6742E+00    0.3248E-01
  0.1100E+01   0.5114E-01   0.1122E-02   0.7053E+00    0.3380E-01
