     density     S(k)_med         error
  0.8300E+00   0.7823E-02    0.5285E-07
  0.8600E+00   0.6875E-02    0.4458E-07
  0.8900E+00   0.1402E-01    0.2056E-06
  0.9200E+00   0.8051E-02    0.4666E-07
  0.9500E+00   0.8854E-02    0.2648E-07
  0.9800E+00   0.6263E+00    0.2086E-05
  0.1010E+01   0.6739E+00    0.1394E-05
  0.1040E+01   0.7158E+00    0.7820E-06
  0.1070E+01   0.7236E+00    0.1416E-04
  0.1100E+01   0.8879E-02    0.3789E-07
