     density     S(k)_med         error
  0.8300E+00   0.5173E-02    0.2441E-08
  0.8600E+00   0.6708E-02    0.7211E-08
  0.8900E+00   0.6207E+00    0.2267E-06
  0.9200E+00   0.6704E+00    0.2501E-06
  0.9500E+00   0.7295E+00    0.1801E-06
  0.9800E+00   0.7689E+00    0.1998E-06
  0.1010E+01   0.7919E+00    0.1089E-06
  0.1040E+01   0.8293E+00    0.7910E-07
  0.1070E+01   0.8448E+00    0.7691E-07
  0.1100E+01   0.8642E+00    0.4822E-07
