#     density	          press
0.002652519893899	1.05652173913043
0.111405835543767	1.13478260869565
0.244031830238727	1.10869565217391
0.392572944297082	0.860869565217391
0.557029177718833	0.743478260869565
0.702917771883289	1.21304347826087
0.79840848806366	2.25652173913043
0.761273209549072	1.69565217391304
0.891246684350132	3.01304347826087
0.96551724137931	4.53913043478261
1.0132625994695     6.11739130434783
0.320954907161804	1.00434782608696
0.482758620689655	0.743478260869565
0.644562334217507	0.926086956521739
0.737400530503979	1.43478260869565
0.854111405835544	2.62173913043478
0.936339522546419	3.80869565217391
0.994694960212202	5.45217391304348
0.177718832891247	1.13478260869565
0.053050397877984	1.10869565217391
