     density     S(k)_med         error
  0.1000E+00   0.6785E-02    0.1401E-07
  0.2222E+00   0.1120E-02    0.2027E-09
  0.3444E+00   0.2202E-02    0.1088E-08
  0.4667E+00   0.2443E-02    0.1040E-08
  0.5889E+00   0.3387E-02    0.2512E-08
  0.7111E+00   0.6343E-02    0.7141E-08
  0.8333E+00   0.6538E-02    0.6955E-08
  0.9556E+00   0.1044E+00    0.4907E-05
  0.1078E+01   0.8348E+00    0.1283E-05
  0.1200E+01   0.9107E+00    0.5358E-06
