     density     S(k)_med         error
  0.8300E+00   0.1482E-01    0.1827E-06
  0.8600E+00   0.6856E-02    0.4250E-07
  0.8900E+00   0.1520E-01    0.2044E-07
  0.9200E+00   0.7254E-02    0.1823E-07
  0.9500E+00   0.9056E-02    0.2787E-07
  0.9800E+00   0.5419E-02    0.9133E-08
  0.1010E+01   0.4288E-02    0.6764E-08
  0.1040E+01   0.9861E-02    0.4236E-07
  0.1070E+01   0.2192E-02    0.3210E-08
  0.1100E+01   0.4646E-02    0.1345E-07
