     density     pressure         error
  0.8300E+00   0.7441E+01    0.3074E-01
  0.8600E+00   0.8678E+01    0.2067E-01
  0.8900E+00   0.1049E+02    0.4579E-01
  0.9200E+00   0.1170E+02    0.2352E-01
  0.9500E+00   0.1384E+02    0.4034E-01
#  0.9800E+00   0.4026E+02    0.1425E-01
  0.1010E+01   0.1874E+02    0.5000E-01
  0.1040E+01   0.2163E+02    0.2686E-01
  0.1070E+01   0.2456E+02    0.2672E-01
  0.1100E+01   0.2881E+02    0.6451E-01
