     density            D        error          msd         error
  0.8300E+00   0.8335E-02   0.1835E-03   0.1148E+00    0.5487E-02
  0.8600E+00   0.1275E-01   0.3036E-03   0.1736E+00    0.8083E-02
  0.8900E+00   0.1637E-01   0.4173E-03   0.2205E+00    0.1004E-01
  0.9200E+00   0.1947E-01   0.5047E-03   0.2614E+00    0.1181E-01
  0.9500E+00   0.2228E-01   0.5926E-03   0.2978E+00    0.1334E-01
  0.9800E+00   0.2446E-01   0.7209E-03   0.3210E+00    0.1381E-01
  0.1010E+01   0.2638E-01   0.8144E-03   0.3432E+00    0.1448E-01
  0.1040E+01   0.2800E-01   0.9022E-03   0.3612E+00    0.1496E-01
  0.1070E+01   0.2939E-01   0.9640E-03   0.3777E+00    0.1554E-01
  0.1100E+01   0.3074E-01   0.1008E-02   0.3950E+00    0.1625E-01
