     density     pressure         error
  0.8300E+00   0.7727E+01    0.9034E-04
  0.8600E+00   0.9187E+01    0.1088E-03
  0.8900E+00   0.1063E+02    0.1286E-03
  0.9200E+00   0.1243E+02    0.1502E-03
  0.9500E+00   0.1432E+02    0.1885E-03
  0.9800E+00   0.1667E+02    0.1694E-03
  0.1010E+01   0.1937E+02    0.1722E-03
  0.1040E+01   0.2232E+02    0.2327E-03
  0.1070E+01   0.2557E+02    0.2011E-03
  0.1100E+01   0.2881E+02    0.2914E-03
