     density     pressure         error
  0.8300E+00   0.1885E+00    0.1642E-04
  0.8600E+00   0.7126E+00    0.1827E-04
  0.8900E+00  -0.6822E+00    0.1451E-04
  0.9200E+00  -0.2478E+00    0.1953E-04
  0.9500E+00   0.4059E+00    0.1906E-04
  0.9800E+00   0.1316E+01    0.2336E-04
  0.1010E+01   0.2442E+01    0.1665E-04
  0.1040E+01   0.3894E+01    0.1916E-04
  0.1070E+01   0.5662E+01    0.1797E-04
  0.1100E+01   0.7801E+01    0.2271E-04
