 0.000000E+00  0.553607E-04  0.703272E-01
 0.500000E-01  0.546788E-04  0.703205E-01
 0.100000E+00  0.526498E-04  0.702996E-01
 0.150000E+00  0.493237E-04  0.702615E-01
 0.200000E+00  0.447824E-04  0.702005E-01
 0.250000E+00  0.391378E-04  0.701048E-01
 0.300000E+00  0.325288E-04  0.699507E-01
 0.350000E+00  0.251181E-04  0.696816E-01
 0.400000E+00  0.170882E-04  0.691268E-01
 0.450000E+00  0.863690E-05  0.674323E-01
 0.500000E+00 -0.277703E-07  0.122819E+05
 0.550000E+00 -0.869244E-05  0.742959E-01
 0.600000E+00 -0.171437E-04  0.726014E-01
 0.650000E+00 -0.251736E-04  0.720466E-01
 0.700000E+00 -0.325843E-04  0.717775E-01
 0.750000E+00 -0.391933E-04  0.716233E-01
 0.800000E+00 -0.448380E-04  0.715277E-01
 0.850000E+00 -0.493793E-04  0.714667E-01
 0.900000E+00 -0.527053E-04  0.714286E-01
 0.950000E+00 -0.547343E-04  0.714077E-01
 0.100000E+01 -0.554162E-04  0.714010E-01
