           n       Iaprox        E_rel
          10   0.2529E+00   0.2412E+00
          20   0.3682E+00   0.1045E+00
          30   0.3798E+00   0.1395E+00
          40   0.3308E+00   0.7689E-02
          50   0.3115E+00   0.6551E-01
          60   0.2835E+00   0.1496E+00
          70   0.3274E+00   0.1789E-01
          80   0.3830E+00   0.1491E+00
          90   0.3655E+00   0.9661E-01
         100   0.3156E+00   0.5333E-01
         110   0.3736E+00   0.1208E+00
         120   0.3365E+00   0.9408E-02
         130   0.3196E+00   0.4116E-01
         140   0.3277E+00   0.1678E-01
         150   0.3976E+00   0.1929E+00
         160   0.3712E+00   0.1136E+00
         170   0.3242E+00   0.2753E-01
         180   0.3612E+00   0.8357E-01
         190   0.3190E+00   0.4314E-01
         200   0.3330E+00   0.9923E-03
         210   0.3486E+00   0.4570E-01
         220   0.3539E+00   0.6165E-01
         230   0.3543E+00   0.6290E-01
         240   0.3582E+00   0.7471E-01
         250   0.3433E+00   0.2990E-01
         260   0.3534E+00   0.6009E-01
         270   0.3208E+00   0.3762E-01
         280   0.3476E+00   0.4288E-01
         290   0.3281E+00   0.1559E-01
         300   0.3349E+00   0.4651E-02
         310   0.3429E+00   0.2874E-01
         320   0.3313E+00   0.6088E-02
         330   0.3573E+00   0.7201E-01
         340   0.3403E+00   0.2101E-01
         350   0.3322E+00   0.3369E-02
         360   0.3421E+00   0.2616E-01
         370   0.3259E+00   0.2222E-01
         380   0.3461E+00   0.3832E-01
         390   0.3421E+00   0.2630E-01
         400   0.3361E+00   0.8160E-02
         410   0.3193E+00   0.4210E-01
         420   0.3198E+00   0.4048E-01
         430   0.3123E+00   0.6308E-01
         440   0.3233E+00   0.3007E-01
         450   0.3292E+00   0.1225E-01
         460   0.3501E+00   0.5039E-01
         470   0.3281E+00   0.1571E-01
         480   0.3107E+00   0.6786E-01
         490   0.3478E+00   0.4349E-01
         500   0.3294E+00   0.1177E-01
         510   0.3438E+00   0.3130E-01
         520   0.3056E+00   0.8325E-01
         530   0.3371E+00   0.1131E-01
         540   0.3498E+00   0.4936E-01
         550   0.3469E+00   0.4085E-01
