           n       Iaprox        E_rel
          10   0.2421E+00   0.3161E-01
          20   0.2566E+00   0.2629E-01
          30   0.2501E+00   0.5056E-03
          40   0.2561E+00   0.2453E-01
          50   0.2683E+00   0.7321E-01
          60   0.2550E+00   0.2011E-01
          70   0.2556E+00   0.2230E-01
          80   0.2396E+00   0.4173E-01
          90   0.2476E+00   0.9778E-02
         100   0.2485E+00   0.5829E-02
         110   0.2624E+00   0.4966E-01
         120   0.2533E+00   0.1324E-01
         130   0.2595E+00   0.3811E-01
         140   0.2617E+00   0.4693E-01
         150   0.2574E+00   0.2976E-01
         160   0.2530E+00   0.1190E-01
         170   0.2530E+00   0.1186E-01
         180   0.2505E+00   0.1973E-02
         190   0.2489E+00   0.4400E-02
         200   0.2500E+00   0.6737E-04
         210   0.2419E+00   0.3248E-01
         220   0.2416E+00   0.3340E-01
         230   0.2454E+00   0.1845E-01
         240   0.2517E+00   0.6686E-02
         250   0.2498E+00   0.8201E-03
         260   0.2471E+00   0.1161E-01
         270   0.2489E+00   0.4461E-02
         280   0.2471E+00   0.1169E-01
         290   0.2497E+00   0.1126E-02
         300   0.2505E+00   0.2104E-02
         310   0.2487E+00   0.5358E-02
         320   0.2501E+00   0.5543E-03
         330   0.2566E+00   0.2645E-01
         340   0.2499E+00   0.3616E-03
         350   0.2560E+00   0.2402E-01
         360   0.2575E+00   0.3009E-01
         370   0.2481E+00   0.7499E-02
         380   0.2519E+00   0.7430E-02
         390   0.2518E+00   0.7377E-02
         400   0.2494E+00   0.2452E-02
         410   0.2494E+00   0.2596E-02
         420   0.2531E+00   0.1241E-01
         430   0.2579E+00   0.3179E-01
         440   0.2487E+00   0.5324E-02
         450   0.2582E+00   0.3265E-01
         460   0.2486E+00   0.5572E-02
         470   0.2521E+00   0.8510E-02
         480   0.2543E+00   0.1713E-01
         490   0.2491E+00   0.3451E-02
         500   0.2473E+00   0.1065E-01
         510   0.2515E+00   0.6015E-02
         520   0.2503E+00   0.1189E-02
         530   0.2491E+00   0.3689E-02
         540   0.2570E+00   0.2793E-01
         550   0.2500E+00   0.9551E-04
         560   0.2455E+00   0.1818E-01
         570   0.2449E+00   0.2029E-01
         580   0.2494E+00   0.2582E-02
         590   0.2527E+00   0.1093E-01
         600   0.2504E+00   0.1772E-02
         610   0.2531E+00   0.1221E-01
         620   0.2540E+00   0.1586E-01
         630   0.2507E+00   0.2723E-02
         640   0.2502E+00   0.8097E-03
         650   0.2518E+00   0.7033E-02
         660   0.2487E+00   0.5116E-02
         670   0.2512E+00   0.4902E-02
         680   0.2554E+00   0.2165E-01
         690   0.2484E+00   0.6307E-02
         700   0.2466E+00   0.1375E-01
         710   0.2530E+00   0.1194E-01
         720   0.2515E+00   0.6122E-02
         730   0.2546E+00   0.1829E-01
         740   0.2485E+00   0.5952E-02
         750   0.2489E+00   0.4509E-02
         760   0.2540E+00   0.1591E-01
         770   0.2524E+00   0.9554E-02
         780   0.2529E+00   0.1144E-01
         790   0.2497E+00   0.1345E-02
         800   0.2482E+00   0.7092E-02
         810   0.2485E+00   0.5886E-02
         820   0.2490E+00   0.3844E-02
         830   0.2497E+00   0.1322E-02
         840   0.2505E+00   0.1867E-02
         850   0.2495E+00   0.2143E-02
         860   0.2530E+00   0.1214E-01
         870   0.2477E+00   0.9050E-02
         880   0.2507E+00   0.2865E-02
         890   0.2542E+00   0.1667E-01
         900   0.2569E+00   0.2754E-01
         910   0.2504E+00   0.1756E-02
         920   0.2515E+00   0.6163E-02
         930   0.2466E+00   0.1363E-01
         940   0.2514E+00   0.5473E-02
         950   0.2499E+00   0.2608E-03
         960   0.2489E+00   0.4380E-02
         970   0.2527E+00   0.1071E-01
         980   0.2510E+00   0.3967E-02
         990   0.2491E+00   0.3623E-02
        1000   0.2528E+00   0.1124E-01
        1010   0.2503E+00   0.1356E-02
        1020   0.2480E+00   0.7895E-02
        1030   0.2508E+00   0.3372E-02
        1040   0.2474E+00   0.1043E-01
        1050   0.2491E+00   0.3533E-02
        1060   0.2509E+00   0.3535E-02
        1070   0.2494E+00   0.2240E-02
        1080   0.2507E+00   0.2785E-02
        1090   0.2541E+00   0.1660E-01
        1100   0.2501E+00   0.4905E-03
        1110   0.2498E+00   0.6007E-03
        1120   0.2510E+00   0.4100E-02
        1130   0.2495E+00   0.1919E-02
        1140   0.2463E+00   0.1484E-01
        1150   0.2471E+00   0.1164E-01
        1160   0.2499E+00   0.2044E-03
        1170   0.2496E+00   0.1618E-02
        1180   0.2456E+00   0.1742E-01
        1190   0.2475E+00   0.1001E-01
        1200   0.2495E+00   0.1898E-02
        1210   0.2518E+00   0.7317E-02
        1220   0.2487E+00   0.5043E-02
        1230   0.2522E+00   0.8636E-02
        1240   0.2527E+00   0.1073E-01
        1250   0.2498E+00   0.8631E-03
        1260   0.2516E+00   0.6311E-02
        1270   0.2488E+00   0.4707E-02
        1280   0.2516E+00   0.6599E-02
        1290   0.2497E+00   0.1391E-02
        1300   0.2486E+00   0.5556E-02
        1310   0.2484E+00   0.6230E-02
        1320   0.2535E+00   0.1387E-01
        1330   0.2466E+00   0.1365E-01
        1340   0.2504E+00   0.1428E-02
        1350   0.2506E+00   0.2546E-02
        1360   0.2497E+00   0.1257E-02
        1370   0.2490E+00   0.3978E-02
        1380   0.2503E+00   0.1010E-02
        1390   0.2487E+00   0.5315E-02
        1400   0.2480E+00   0.7903E-02
        1410   0.2523E+00   0.9154E-02
        1420   0.2520E+00   0.8096E-02
        1430   0.2512E+00   0.4648E-02
        1440   0.2502E+00   0.7222E-03
        1450   0.2518E+00   0.7081E-02
        1460   0.2481E+00   0.7744E-02
        1470   0.2480E+00   0.7875E-02
        1480   0.2501E+00   0.4444E-03
        1490   0.2517E+00   0.6696E-02
        1500   0.2499E+00   0.3487E-03
        1510   0.2534E+00   0.1350E-01
        1520   0.2511E+00   0.4409E-02
        1530   0.2523E+00   0.9097E-02
        1540   0.2487E+00   0.5227E-02
        1550   0.2509E+00   0.3509E-02
        1560   0.2539E+00   0.1576E-01
        1570   0.2517E+00   0.6972E-02
        1580   0.2466E+00   0.1354E-01
        1590   0.2522E+00   0.8955E-02
        1600   0.2509E+00   0.3596E-02
        1610   0.2521E+00   0.8302E-02
        1620   0.2466E+00   0.1375E-01
        1630   0.2519E+00   0.7668E-02
        1640   0.2478E+00   0.8703E-02
        1650   0.2503E+00   0.1078E-02
        1660   0.2505E+00   0.1838E-02
        1670   0.2504E+00   0.1631E-02
        1680   0.2518E+00   0.7303E-02
        1690   0.2494E+00   0.2346E-02
        1700   0.2498E+00   0.6315E-03
        1710   0.2505E+00   0.1929E-02
        1720   0.2490E+00   0.3913E-02
        1730   0.2500E+00   0.1134E-03
        1740   0.2487E+00   0.5279E-02
        1750   0.2507E+00   0.2887E-02
        1760   0.2509E+00   0.3470E-02
        1770   0.2484E+00   0.6584E-02
        1780   0.2532E+00   0.1280E-01
        1790   0.2505E+00   0.1805E-02
        1800   0.2526E+00   0.1032E-01
        1810   0.2489E+00   0.4413E-02
        1820   0.2500E+00   0.8832E-04
        1830   0.2469E+00   0.1239E-01
        1840   0.2501E+00   0.5588E-03
        1850   0.2485E+00   0.5987E-02
        1860   0.2480E+00   0.8047E-02
        1870   0.2503E+00   0.1207E-02
        1880   0.2500E+00   0.1951E-03
        1890   0.2506E+00   0.2238E-02
        1900   0.2494E+00   0.2584E-02
        1910   0.2523E+00   0.9300E-02
        1920   0.2509E+00   0.3699E-02
        1930   0.2505E+00   0.2067E-02
        1940   0.2513E+00   0.5082E-02
        1950   0.2525E+00   0.1006E-01
        1960   0.2503E+00   0.1102E-02
        1970   0.2480E+00   0.7902E-02
        1980   0.2504E+00   0.1463E-02
        1990   0.2512E+00   0.4896E-02
        2000   0.2512E+00   0.4923E-02
        2010   0.2499E+00   0.2095E-03
        2020   0.2508E+00   0.3051E-02
        2030   0.2500E+00   0.1514E-03
        2040   0.2497E+00   0.1148E-02
        2050   0.2483E+00   0.6648E-02
        2060   0.2495E+00   0.1991E-02
        2070   0.2514E+00   0.5666E-02
        2080   0.2485E+00   0.5991E-02
        2090   0.2504E+00   0.1704E-02
        2100   0.2488E+00   0.4808E-02
        2110   0.2506E+00   0.2525E-02
        2120   0.2491E+00   0.3797E-02
        2130   0.2495E+00   0.2026E-02
        2140   0.2514E+00   0.5612E-02
        2150   0.2526E+00   0.1024E-01
        2160   0.2499E+00   0.5236E-03
        2170   0.2521E+00   0.8527E-02
        2180   0.2501E+00   0.2841E-03
        2190   0.2503E+00   0.1301E-02
        2200   0.2518E+00   0.7341E-02
        2210   0.2502E+00   0.7897E-03
        2220   0.2502E+00   0.9784E-03
        2230   0.2501E+00   0.2510E-03
        2240   0.2513E+00   0.5295E-02
        2250   0.2507E+00   0.2771E-02
        2260   0.2493E+00   0.2904E-02
        2270   0.2497E+00   0.1156E-02
        2280   0.2490E+00   0.3884E-02
        2290   0.2487E+00   0.5256E-02
        2300   0.2493E+00   0.2989E-02
        2310   0.2510E+00   0.4041E-02
        2320   0.2519E+00   0.7427E-02
        2330   0.2529E+00   0.1172E-01
        2340   0.2516E+00   0.6217E-02
        2350   0.2506E+00   0.2561E-02
        2360   0.2518E+00   0.7062E-02
        2370   0.2518E+00   0.7059E-02
        2380   0.2495E+00   0.1982E-02
        2390   0.2505E+00   0.2016E-02
        2400   0.2529E+00   0.1154E-01
        2410   0.2496E+00   0.1440E-02
        2420   0.2518E+00   0.7302E-02
        2430   0.2488E+00   0.4899E-02
        2440   0.2492E+00   0.3367E-02
        2450   0.2505E+00   0.2152E-02
        2460   0.2510E+00   0.4137E-02
        2470   0.2522E+00   0.8969E-02
        2480   0.2509E+00   0.3453E-02
        2490   0.2466E+00   0.1371E-01
        2500   0.2511E+00   0.4217E-02
        2510   0.2490E+00   0.3912E-02
        2520   0.2487E+00   0.5343E-02
        2530   0.2497E+00   0.1393E-02
        2540   0.2514E+00   0.5605E-02
        2550   0.2498E+00   0.8713E-03
        2560   0.2496E+00   0.1626E-02
        2570   0.2486E+00   0.5424E-02
        2580   0.2509E+00   0.3694E-02
        2590   0.2475E+00   0.9815E-02
        2600   0.2504E+00   0.1731E-02
        2610   0.2487E+00   0.5372E-02
        2620   0.2511E+00   0.4455E-02
        2630   0.2511E+00   0.4385E-02
        2640   0.2518E+00   0.7079E-02
        2650   0.2487E+00   0.5339E-02
        2660   0.2492E+00   0.3075E-02
        2670   0.2498E+00   0.6382E-03
        2680   0.2505E+00   0.1966E-02
        2690   0.2509E+00   0.3789E-02
        2700   0.2471E+00   0.1151E-01
        2710   0.2520E+00   0.8059E-02
        2720   0.2488E+00   0.4861E-02
        2730   0.2496E+00   0.1563E-02
        2740   0.2490E+00   0.3904E-02
        2750   0.2506E+00   0.2486E-02
        2760   0.2503E+00   0.1306E-02
        2770   0.2506E+00   0.2255E-02
        2780   0.2481E+00   0.7486E-02
        2790   0.2516E+00   0.6536E-02
        2800   0.2510E+00   0.3924E-02
        2810   0.2492E+00   0.3215E-02
        2820   0.2506E+00   0.2485E-02
        2830   0.2503E+00   0.1180E-02
        2840   0.2496E+00   0.1789E-02
        2850   0.2502E+00   0.7014E-03
        2860   0.2509E+00   0.3772E-02
        2870   0.2509E+00   0.3416E-02
        2880   0.2496E+00   0.1480E-02
        2890   0.2505E+00   0.1850E-02
        2900   0.2506E+00   0.2446E-02
        2910   0.2494E+00   0.2506E-02
        2920   0.2504E+00   0.1528E-02
        2930   0.2491E+00   0.3600E-02
        2940   0.2507E+00   0.2959E-02
        2950   0.2517E+00   0.6643E-02
        2960   0.2491E+00   0.3533E-02
        2970   0.2519E+00   0.7408E-02
        2980   0.2506E+00   0.2530E-02
        2990   0.2506E+00   0.2498E-02
        3000   0.2495E+00   0.2033E-02
        3010   0.2483E+00   0.6943E-02
        3020   0.2494E+00   0.2528E-02
        3030   0.2494E+00   0.2587E-02
        3040   0.2518E+00   0.7295E-02
        3050   0.2512E+00   0.4603E-02
        3060   0.2509E+00   0.3665E-02
        3070   0.2482E+00   0.7133E-02
        3080   0.2502E+00   0.8998E-03
        3090   0.2491E+00   0.3579E-02
        3100   0.2499E+00   0.4523E-03
        3110   0.2483E+00   0.6764E-02
        3120   0.2474E+00   0.1049E-01
        3130   0.2493E+00   0.2711E-02
        3140   0.2492E+00   0.3220E-02
        3150   0.2505E+00   0.1978E-02
        3160   0.2500E+00   0.1363E-03
        3170   0.2494E+00   0.2278E-02
        3180   0.2500E+00   0.5398E-04
        3190   0.2488E+00   0.5000E-02
        3200   0.2496E+00   0.1528E-02
        3210   0.2488E+00   0.4911E-02
        3220   0.2501E+00   0.4217E-03
        3230   0.2511E+00   0.4302E-02
        3240   0.2511E+00   0.4579E-02
        3250   0.2499E+00   0.2472E-03
        3260   0.2504E+00   0.1425E-02
        3270   0.2492E+00   0.3115E-02
        3280   0.2472E+00   0.1125E-01
