           n       Iaprox        E_rel
        1650   0.2502E+00   0.6064E-03
        1660   0.2502E+00   0.6028E-03
        1670   0.2501E+00   0.5992E-03
        1680   0.2501E+00   0.5956E-03
        1690   0.2501E+00   0.5921E-03
        1700   0.2501E+00   0.5886E-03
        1710   0.2501E+00   0.5851E-03
        1720   0.2501E+00   0.5817E-03
        1730   0.2501E+00   0.5784E-03
        1740   0.2501E+00   0.5750E-03
        1750   0.2501E+00   0.5718E-03
        1760   0.2501E+00   0.5685E-03
        1770   0.2501E+00   0.5653E-03
        1780   0.2501E+00   0.5621E-03
        1790   0.2501E+00   0.5590E-03
        1800   0.2501E+00   0.5559E-03
        1810   0.2501E+00   0.5528E-03
        1820   0.2501E+00   0.5498E-03
        1830   0.2501E+00   0.5467E-03
        1840   0.2501E+00   0.5438E-03
        1850   0.2501E+00   0.5408E-03
        1860   0.2501E+00   0.5379E-03
        1870   0.2501E+00   0.5350E-03
        1880   0.2501E+00   0.5322E-03
        1890   0.2501E+00   0.5294E-03
        1900   0.2501E+00   0.5266E-03
        1910   0.2501E+00   0.5238E-03
        1920   0.2501E+00   0.5211E-03
        1930   0.2501E+00   0.5184E-03
        1940   0.2501E+00   0.5157E-03
        1950   0.2501E+00   0.5131E-03
        1960   0.2501E+00   0.5105E-03
        1970   0.2501E+00   0.5079E-03
        1980   0.2501E+00   0.5053E-03
        1990   0.2501E+00   0.5028E-03
        2000   0.2501E+00   0.5003E-03
        2010   0.2501E+00   0.4978E-03
        2020   0.2501E+00   0.4953E-03
        2030   0.2501E+00   0.4929E-03
        2040   0.2501E+00   0.4904E-03
        2050   0.2501E+00   0.4880E-03
        2060   0.2501E+00   0.4857E-03
        2070   0.2501E+00   0.4833E-03
        2080   0.2501E+00   0.4810E-03
        2090   0.2501E+00   0.4787E-03
        2100   0.2501E+00   0.4764E-03
        2110   0.2501E+00   0.4742E-03
        2120   0.2501E+00   0.4719E-03
        2130   0.2501E+00   0.4697E-03
        2140   0.2501E+00   0.4675E-03
        2150   0.2501E+00   0.4653E-03
        2160   0.2501E+00   0.4632E-03
        2170   0.2501E+00   0.4610E-03
        2180   0.2501E+00   0.4589E-03
        2190   0.2501E+00   0.4568E-03
        2200   0.2501E+00   0.4548E-03
        2210   0.2501E+00   0.4527E-03
        2220   0.2501E+00   0.4507E-03
        2230   0.2501E+00   0.4486E-03
        2240   0.2501E+00   0.4466E-03
        2250   0.2501E+00   0.4446E-03
        2260   0.2501E+00   0.4427E-03
        2270   0.2501E+00   0.4407E-03
        2280   0.2501E+00   0.4388E-03
        2290   0.2501E+00   0.4369E-03
        2300   0.2501E+00   0.4350E-03
        2310   0.2501E+00   0.4331E-03
        2320   0.2501E+00   0.4312E-03
        2330   0.2501E+00   0.4294E-03
        2340   0.2501E+00   0.4275E-03
        2350   0.2501E+00   0.4257E-03
        2360   0.2501E+00   0.4239E-03
        2370   0.2501E+00   0.4221E-03
        2380   0.2501E+00   0.4203E-03
        2390   0.2501E+00   0.4186E-03
        2400   0.2501E+00   0.4168E-03
        2410   0.2501E+00   0.4151E-03
        2420   0.2501E+00   0.4134E-03
        2430   0.2501E+00   0.4117E-03
        2440   0.2501E+00   0.4100E-03
        2450   0.2501E+00   0.4083E-03
        2460   0.2501E+00   0.4067E-03
        2470   0.2501E+00   0.4050E-03
        2480   0.2501E+00   0.4034E-03
        2490   0.2501E+00   0.4018E-03
        2500   0.2501E+00   0.4002E-03
        2510   0.2501E+00   0.3986E-03
        2520   0.2501E+00   0.3970E-03
        2530   0.2501E+00   0.3954E-03
        2540   0.2501E+00   0.3939E-03
        2550   0.2501E+00   0.3923E-03
        2560   0.2501E+00   0.3908E-03
        2570   0.2501E+00   0.3893E-03
        2580   0.2501E+00   0.3877E-03
        2590   0.2501E+00   0.3863E-03
        2600   0.2501E+00   0.3848E-03
        2610   0.2501E+00   0.3833E-03
        2620   0.2501E+00   0.3818E-03
        2630   0.2501E+00   0.3804E-03
        2640   0.2501E+00   0.3789E-03
        2650   0.2501E+00   0.3775E-03
        2660   0.2501E+00   0.3761E-03
        2670   0.2501E+00   0.3747E-03
        2680   0.2501E+00   0.3733E-03
        2690   0.2501E+00   0.3719E-03
        2700   0.2501E+00   0.3705E-03
        2710   0.2501E+00   0.3691E-03
        2720   0.2501E+00   0.3678E-03
        2730   0.2501E+00   0.3664E-03
        2740   0.2501E+00   0.3651E-03
        2750   0.2501E+00   0.3638E-03
        2760   0.2501E+00   0.3625E-03
        2770   0.2501E+00   0.3611E-03
        2780   0.2501E+00   0.3598E-03
        2790   0.2501E+00   0.3586E-03
        2800   0.2501E+00   0.3573E-03
        2810   0.2501E+00   0.3560E-03
        2820   0.2501E+00   0.3547E-03
        2830   0.2501E+00   0.3535E-03
        2840   0.2501E+00   0.3522E-03
        2850   0.2501E+00   0.3510E-03
        2860   0.2501E+00   0.3498E-03
        2870   0.2501E+00   0.3486E-03
        2880   0.2501E+00   0.3473E-03
        2890   0.2501E+00   0.3461E-03
        2900   0.2501E+00   0.3449E-03
        2910   0.2501E+00   0.3438E-03
        2920   0.2501E+00   0.3426E-03
        2930   0.2501E+00   0.3414E-03
        2940   0.2501E+00   0.3403E-03
        2950   0.2501E+00   0.3391E-03
        2960   0.2501E+00   0.3380E-03
        2970   0.2501E+00   0.3368E-03
        2980   0.2501E+00   0.3357E-03
