    tau_corr   autocorr_U   autocorr_M
           1   0.8053E+00   0.8777E+00
           2   0.7804E+00   0.8389E+00
           3   0.7374E+00   0.7994E+00
           4   0.7363E+00   0.7817E+00
           5   0.6933E+00   0.7493E+00
           6   0.7062E+00   0.7409E+00
           7   0.6595E+00   0.7104E+00
           8   0.6723E+00   0.7046E+00
           9   0.6401E+00   0.6809E+00
          10   0.6393E+00   0.6708E+00
          11   0.6043E+00   0.6477E+00
          12   0.6278E+00   0.6484E+00
          13   0.5779E+00   0.6198E+00
          14   0.5832E+00   0.6134E+00
          15   0.5658E+00   0.5988E+00
          16   0.5656E+00   0.5909E+00
          17   0.5298E+00   0.5691E+00
          18   0.5433E+00   0.5670E+00
          19   0.5073E+00   0.5459E+00
          20   0.5192E+00   0.5440E+00
          21   0.4929E+00   0.5265E+00
          22   0.4852E+00   0.5165E+00
          23   0.4624E+00   0.5013E+00
          24   0.4782E+00   0.5016E+00
          25   0.4443E+00   0.4818E+00
          26   0.4399E+00   0.4737E+00
          27   0.4245E+00   0.4614E+00
          28   0.4227E+00   0.4548E+00
          29   0.3978E+00   0.4391E+00
          30   0.4042E+00   0.4358E+00
          31   0.3774E+00   0.4196E+00
          32   0.3775E+00   0.4139E+00
          33   0.3597E+00   0.4010E+00
          34   0.3524E+00   0.3924E+00
          35   0.3391E+00   0.3821E+00
          36   0.3393E+00   0.3768E+00
          37   0.3172E+00   0.3627E+00
          38   0.3114E+00   0.3549E+00
          39   0.3000E+00   0.3453E+00
          40   0.2958E+00   0.3386E+00
          41   0.2795E+00   0.3273E+00
          42   0.2760E+00   0.3209E+00
          43   0.2616E+00   0.3105E+00
          44   0.2564E+00   0.3035E+00
          45   0.2464E+00   0.2949E+00
          46   0.2388E+00   0.2872E+00
          47   0.2288E+00   0.2790E+00
          48   0.2246E+00   0.2730E+00
          49   0.2146E+00   0.2651E+00
          50   0.2086E+00   0.2585E+00
          51   0.2009E+00   0.2516E+00
          52   0.1952E+00   0.2455E+00
          53   0.1882E+00   0.2391E+00
          54   0.1833E+00   0.2334E+00
          55   0.1775E+00   0.2276E+00
          56   0.1726E+00   0.2221E+00
          57   0.1677E+00   0.2169E+00
          58   0.1639E+00   0.2120E+00
          59   0.1594E+00   0.2072E+00
          60   0.1561E+00   0.2028E+00
          61   0.1518E+00   0.1981E+00
          62   0.1485E+00   0.1939E+00
          63   0.1449E+00   0.1897E+00
          64   0.1419E+00   0.1857E+00
          65   0.1384E+00   0.1818E+00
          66   0.1354E+00   0.1778E+00
          67   0.1319E+00   0.1740E+00
          68   0.1294E+00   0.1705E+00
          69   0.1262E+00   0.1670E+00
          70   0.1236E+00   0.1635E+00
          71   0.1204E+00   0.1601E+00
          72   0.1180E+00   0.1568E+00
          73   0.1149E+00   0.1535E+00
          74   0.1126E+00   0.1505E+00
          75   0.1097E+00   0.1473E+00
          76   0.1075E+00   0.1443E+00
          77   0.1044E+00   0.1411E+00
          78   0.1023E+00   0.1382E+00
          79   0.9973E-01   0.1353E+00
          80   0.9772E-01   0.1325E+00
          81   0.9527E-01   0.1299E+00
          82   0.9320E-01   0.1272E+00
          83   0.9070E-01   0.1244E+00
          84   0.8865E-01   0.1217E+00
          85   0.8621E-01   0.1190E+00
          86   0.8444E-01   0.1166E+00
          87   0.8236E-01   0.1142E+00
          88   0.8060E-01   0.1116E+00
          89   0.7848E-01   0.1092E+00
          90   0.7646E-01   0.1065E+00
          91   0.7434E-01   0.1040E+00
          92   0.7261E-01   0.1016E+00
          93   0.7085E-01   0.9916E-01
          94   0.6906E-01   0.9670E-01
          95   0.6670E-01   0.9401E-01
          96   0.6515E-01   0.9170E-01
          97   0.6325E-01   0.8936E-01
          98   0.6177E-01   0.8715E-01
          99   0.6003E-01   0.8504E-01
         100   0.5851E-01   0.8292E-01
         101   0.5691E-01   0.8088E-01
         102   0.5571E-01   0.7905E-01
         103   0.5422E-01   0.7710E-01
         104   0.5305E-01   0.7537E-01
         105   0.5163E-01   0.7356E-01
         106   0.5054E-01   0.7188E-01
         107   0.4904E-01   0.6997E-01
         108   0.4793E-01   0.6828E-01
         109   0.4636E-01   0.6642E-01
         110   0.4507E-01   0.6451E-01
         111   0.4386E-01   0.6294E-01
         112   0.4252E-01   0.6122E-01
         113   0.4118E-01   0.5952E-01
         114   0.3991E-01   0.5791E-01
         115   0.3853E-01   0.5638E-01
         116   0.3760E-01   0.5485E-01
         117   0.3634E-01   0.5336E-01
         118   0.3519E-01   0.5188E-01
         119   0.3440E-01   0.5078E-01
         120   0.3391E-01   0.4966E-01
         121   0.3290E-01   0.4839E-01
         122   0.3201E-01   0.4698E-01
         123   0.3095E-01   0.4576E-01
         124   0.3029E-01   0.4477E-01
         125   0.2960E-01   0.4386E-01
         126   0.2914E-01   0.4293E-01
         127   0.2822E-01   0.4194E-01
         128   0.2769E-01   0.4085E-01
         129   0.2691E-01   0.3991E-01
         130   0.2583E-01   0.3874E-01
         131   0.2513E-01   0.3779E-01
         132   0.2450E-01   0.3680E-01
         133   0.2345E-01   0.3563E-01
         134   0.2272E-01   0.3444E-01
         135   0.2190E-01   0.3344E-01
         136   0.2118E-01   0.3257E-01
         137   0.2039E-01   0.3162E-01
         138   0.1965E-01   0.3069E-01
         139   0.1902E-01   0.2993E-01
         140   0.1863E-01   0.2930E-01
         141   0.1827E-01   0.2884E-01
         142   0.1758E-01   0.2818E-01
         143   0.1725E-01   0.2764E-01
         144   0.1689E-01   0.2710E-01
         145   0.1637E-01   0.2651E-01
         146   0.1612E-01   0.2603E-01
         147   0.1631E-01   0.2577E-01
         148   0.1573E-01   0.2517E-01
         149   0.1540E-01   0.2478E-01
         150   0.1503E-01   0.2421E-01
         151   0.1503E-01   0.2388E-01
         152   0.1474E-01   0.2349E-01
         153   0.1458E-01   0.2308E-01
         154   0.1422E-01   0.2258E-01
         155   0.1432E-01   0.2226E-01
         156   0.1417E-01   0.2210E-01
         157   0.1421E-01   0.2178E-01
         158   0.1364E-01   0.2134E-01
         159   0.1397E-01   0.2119E-01
         160   0.1365E-01   0.2072E-01
         161   0.1359E-01   0.2054E-01
         162   0.1345E-01   0.2023E-01
         163   0.1360E-01   0.2006E-01
         164   0.1339E-01   0.1959E-01
         165   0.1303E-01   0.1912E-01
         166   0.1252E-01   0.1867E-01
         167   0.1252E-01   0.1830E-01
         168   0.1185E-01   0.1767E-01
         169   0.1147E-01   0.1710E-01
         170   0.1072E-01   0.1640E-01
         171   0.1076E-01   0.1608E-01
         172   0.1025E-01   0.1561E-01
         173   0.1014E-01   0.1515E-01
         174   0.9383E-02   0.1453E-01
         175   0.9292E-02   0.1401E-01
         176   0.8617E-02   0.1336E-01
         177   0.8552E-02   0.1297E-01
         178   0.7780E-02   0.1232E-01
         179   0.7689E-02   0.1192E-01
         180   0.7225E-02   0.1136E-01
         181   0.7144E-02   0.1102E-01
         182   0.6802E-02   0.1050E-01
         183   0.6806E-02   0.1029E-01
         184   0.6596E-02   0.9937E-02
         185   0.6552E-02   0.9552E-02
         186   0.6436E-02   0.9275E-02
         187   0.6611E-02   0.9226E-02
         188   0.6486E-02   0.8765E-02
         189   0.6559E-02   0.8706E-02
