        T/Tc        U_med      U_error        M_med      M_error       Mexact           cv         susc
  0.0000E+00  -0.1976E+04   0.0000E+00  -0.5250E-01          NaN   0.1000E+01   0.0000E+00   0.0000E+00
  0.2083E-01  -0.3040E+04   0.0000E+00   0.0000E+00   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.4167E-01  -0.3040E+04   0.0000E+00   0.1500E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.6250E-01  -0.3200E+04   0.0000E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.8333E-01  -0.3200E+04   0.0000E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.1042E+00  -0.3040E+04   0.0000E+00   0.2000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.1250E+00  -0.3200E+04   0.0000E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.1458E+00  -0.3040E+04   0.0000E+00  -0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.1667E+00  -0.3040E+04   0.6891E-02  -0.2003E+00   0.2079E-04   0.1000E+01   0.1256E+01   0.1144E-04
  0.1875E+00  -0.3040E+04   0.1097E-01   0.2381E+00   0.2152E-03   0.1000E+01   0.2830E+01   0.1090E-02
  0.2083E+00  -0.3200E+04   0.0000E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.2292E+00  -0.3039E+04   0.2395E-01   0.2015E+00   0.8235E-04   0.1000E+01   0.1104E+02   0.1305E-03
  0.2500E+00  -0.3200E+04   0.0000E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.2708E+00  -0.3035E+04   0.4303E-01   0.1679E+00   0.5008E-03   0.1000E+01   0.3015E+02   0.4083E-02
  0.2917E+00  -0.3033E+04   0.5089E-01   0.4520E+00   0.3158E-03   0.1000E+01   0.3916E+02   0.1508E-02
  0.3125E+00  -0.3200E+04   0.1026E-01   0.1000E+01   0.1612E-05   0.1000E+01   0.1485E+01   0.3665E-07
  0.3333E+00  -0.3200E+04   0.1013E-01   0.1000E+01   0.1583E-05   0.9999E+00   0.1358E+01   0.3315E-07
  0.3542E+00  -0.3200E+04   0.1437E-01  -0.1000E+01   0.2274E-05   0.9999E+00   0.2570E+01   0.6441E-07
