    tau_corr   autocorr_U   autocorr_M
           1   0.6201E+00   0.8553E+00
           2   0.4950E+00   0.7750E+00
           3   0.4197E+00   0.7143E+00
           4   0.3661E+00   0.6644E+00
           5   0.3243E+00   0.6212E+00
           6   0.2905E+00   0.5833E+00
           7   0.2616E+00   0.5493E+00
           8   0.2366E+00   0.5185E+00
           9   0.2149E+00   0.4903E+00
          10   0.1948E+00   0.4646E+00
          11   0.1771E+00   0.4405E+00
          12   0.1619E+00   0.4177E+00
          13   0.1476E+00   0.3965E+00
          14   0.1351E+00   0.3767E+00
          15   0.1253E+00   0.3581E+00
          16   0.1156E+00   0.3404E+00
          17   0.1082E+00   0.3235E+00
          18   0.1013E+00   0.3072E+00
          19   0.8826E-01   0.2917E+00
          20   0.7605E-01   0.2767E+00
          21   0.6527E-01   0.2624E+00
          22   0.5667E-01   0.2490E+00
          23   0.4948E-01   0.2363E+00
          24   0.4385E-01   0.2243E+00
          25   0.3893E-01   0.2130E+00
          26   0.3532E-01   0.2024E+00
          27   0.3262E-01   0.1924E+00
          28   0.3005E-01   0.1827E+00
          29   0.2807E-01   0.1739E+00
          30   0.2648E-01   0.1655E+00
          31   0.2682E-01   0.1573E+00
          32   0.2681E-01   0.1499E+00
          33   0.2791E-01   0.1426E+00
          34   0.2978E-01   0.1358E+00
          35   0.3248E-01   0.1293E+00
          36   0.3425E-01   0.1229E+00
          37   0.3053E-01   0.1168E+00
          38   0.2369E-01   0.1106E+00
          39   0.1869E-01   0.1049E+00
          40   0.1412E-01   0.9930E-01
          41   0.1079E-01   0.9431E-01
          42   0.8434E-02   0.8936E-01
          43   0.6139E-02   0.8496E-01
          44   0.5049E-02   0.8085E-01
          45   0.3427E-02   0.7701E-01
          46   0.2596E-02   0.7353E-01
          47   0.2548E-02   0.7008E-01
          48   0.2807E-02   0.6675E-01
          49   0.4324E-02   0.6380E-01
          50   0.7245E-02   0.6104E-01
          51   0.1033E-01   0.5860E-01
          52   0.1409E-01   0.5630E-01
          53   0.1819E-01   0.5404E-01
          54   0.2034E-01   0.5193E-01
          55   0.1835E-01   0.4994E-01
          56   0.1288E-01   0.4775E-01
          57   0.8784E-02   0.4588E-01
          58   0.5269E-02   0.4398E-01
          59   0.2384E-02   0.4207E-01
          60  -0.1042E-03   0.4028E-01
          61  -0.1781E-02   0.3856E-01
          62  -0.2943E-02   0.3694E-01
          63  -0.3652E-02   0.3523E-01
          64  -0.3814E-02   0.3386E-01
          65  -0.2509E-02   0.3259E-01
          66  -0.1652E-02   0.3138E-01
          67   0.2480E-03   0.3019E-01
          68   0.3103E-02   0.2902E-01
          69   0.6680E-02   0.2777E-01
          70   0.1076E-01   0.2690E-01
          71   0.1482E-01   0.2609E-01
          72   0.1767E-01   0.2518E-01
          73   0.1641E-01   0.2395E-01
          74   0.1087E-01   0.2259E-01
          75   0.5599E-02   0.2147E-01
          76   0.1582E-02   0.2036E-01
          77  -0.1995E-02   0.1940E-01
          78  -0.4126E-02   0.1847E-01
          79  -0.4891E-02   0.1765E-01
          80  -0.5488E-02   0.1694E-01
          81  -0.5295E-02   0.1620E-01
          82  -0.5309E-02   0.1555E-01
          83  -0.3951E-02   0.1494E-01
          84  -0.1799E-02   0.1454E-01
          85   0.4599E-03   0.1419E-01
          86   0.2861E-02   0.1365E-01
          87   0.5534E-02   0.1304E-01
          88   0.9032E-02   0.1259E-01
          89   0.1280E-01   0.1210E-01
          90   0.1496E-01   0.1155E-01
          91   0.1389E-01   0.1080E-01
          92   0.8799E-02   0.1020E-01
          93   0.3631E-02   0.9364E-02
          94   0.2759E-03   0.8727E-02
          95  -0.2249E-02   0.7896E-02
          96  -0.4709E-02   0.7383E-02
          97  -0.5376E-02   0.6396E-02
          98  -0.5590E-02   0.5990E-02
          99  -0.5383E-02   0.5781E-02
         100  -0.4238E-02   0.5544E-02
         101  -0.2314E-02   0.5545E-02
         102  -0.7297E-03   0.5679E-02
         103   0.9757E-03   0.5727E-02
         104   0.2795E-02   0.5690E-02
         105   0.5501E-02   0.5919E-02
         106   0.8101E-02   0.5894E-02
         107   0.1091E-01   0.5841E-02
         108   0.1342E-01   0.5569E-02
         109   0.1215E-01   0.5548E-02
         110   0.7635E-02   0.5159E-02
         111   0.3869E-02   0.4853E-02
         112   0.8265E-03   0.4485E-02
         113  -0.1587E-02   0.4220E-02
         114  -0.3405E-02   0.4044E-02
         115  -0.4469E-02   0.4060E-02
         116  -0.4648E-02   0.4016E-02
         117  -0.5366E-02   0.4267E-02
         118  -0.5374E-02   0.4514E-02
         119  -0.4854E-02   0.4644E-02
         120  -0.4255E-02   0.5011E-02
         121  -0.2801E-02   0.5460E-02
         122  -0.5637E-03   0.5785E-02
         123   0.2017E-02   0.6048E-02
         124   0.4904E-02   0.6278E-02
         125   0.8248E-02   0.6473E-02
         126   0.1086E-01   0.6210E-02
         127   0.9970E-02   0.6057E-02
         128   0.6214E-02   0.5739E-02
         129   0.2056E-02   0.5326E-02
         130  -0.1464E-02   0.4932E-02
         131  -0.4066E-02   0.4541E-02
         132  -0.6449E-02   0.4267E-02
         133  -0.7683E-02   0.4310E-02
         134  -0.8587E-02   0.4398E-02
         135  -0.8382E-02   0.4654E-02
         136  -0.8383E-02   0.4790E-02
         137  -0.7392E-02   0.5036E-02
         138  -0.5538E-02   0.5145E-02
         139  -0.3971E-02   0.5290E-02
         140  -0.1376E-02   0.5252E-02
