        T/Tc        U_med      U_error        M_med      M_error       Mexact           cv         susc
  0.0000E+00  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00   0.0000E+00
  0.5051E-02  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.1010E-01  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.1515E-01  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.2020E-01  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.2525E-01  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.3030E-01  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.3535E-01  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.4040E-01  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.4545E-01  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.5051E-01  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.5556E-01  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.6061E-01  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.6566E-01  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.7071E-01  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.7576E-01  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.8081E-01  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.8586E-01  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.9091E-01  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.9596E-01  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.1010E+00  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.1061E+00  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.1111E+00  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.1162E+00  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.1212E+00  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.1263E+00  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.1313E+00  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.1364E+00  -0.3040E+04   0.1399E-02   0.1000E+00   0.4374E-06   0.1000E+01   0.4431E-01   0.4331E-08
  0.1414E+00  -0.3040E+04   0.8080E-03   0.1000E+00   0.2525E-06   0.1000E+01   0.1425E-01   0.1392E-08
  0.1465E+00  -0.3040E+04   0.0000E+00   0.1000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.1515E+00  -0.3040E+04   0.3123E-02   0.1000E+00   0.3906E-05   0.1000E+01   0.1987E+00   0.3108E-06
  0.1566E+00  -0.3040E+04   0.8080E-03   0.1000E+00   0.2525E-06   0.1000E+01   0.1287E-01   0.1257E-08
  0.1616E+00  -0.3040E+04   0.6331E-02   0.1298E+00   0.2917E-03   0.1000E+01   0.7657E+00   0.1626E-02
  0.1667E+00  -0.3040E+04   0.3324E-02   0.1500E+00   0.4287E-05   0.1000E+01   0.2046E+00   0.3404E-06
  0.1717E+00  -0.3040E+04   0.2908E-02   0.1500E+00   0.1370E-05   0.1000E+01   0.1521E+00   0.3375E-07
  0.1768E+00  -0.3040E+04   0.4144E-02   0.1500E+00   0.5957E-05   0.1000E+01   0.2999E+00   0.6196E-06
  0.1818E+00  -0.3040E+04   0.1411E-01   0.1496E+00   0.3755E-04   0.1000E+01   0.3379E+01   0.2394E-04
  0.1869E+00  -0.3040E+04   0.1107E-01   0.1500E+00   0.3088E-04   0.1000E+01   0.2025E+01   0.1575E-04
  0.1919E+00  -0.3039E+04   0.2101E-01   0.1466E+00   0.1046E-03   0.1000E+01   0.7101E+01   0.1759E-03
  0.1970E+00  -0.3039E+04   0.2383E-01   0.6439E-01   0.4490E-03   0.1000E+01   0.8898E+01   0.3159E-02
  0.2020E+00  -0.3039E+04   0.1754E-01   0.1495E+00   0.8166E-04   0.1000E+01   0.4700E+01   0.1019E-03
  0.2071E+00  -0.3039E+04   0.2685E-01   0.1670E+00   0.2817E-03   0.1000E+01   0.1075E+02   0.1183E-02
  0.2121E+00  -0.3039E+04   0.2439E-01   0.1903E+00   0.6634E-03   0.1000E+01   0.8654E+01   0.6404E-02
  0.2172E+00  -0.3039E+04   0.2321E-01   0.1521E+00   0.5144E-03   0.1000E+01   0.7659E+01   0.3761E-02
  0.2222E+00  -0.3039E+04   0.2765E-01   0.7397E-01   0.6302E-03   0.1000E+01   0.1062E+02   0.5517E-02
  0.2273E+00  -0.3037E+04   0.4106E-01   0.3491E+00   0.1919E-03   0.1000E+01   0.2290E+02   0.5003E-03
  0.2323E+00  -0.3038E+04   0.3843E-01   0.2015E+00   0.5597E-03   0.1000E+01   0.1963E+02   0.4163E-02
  0.2374E+00  -0.3038E+04   0.3805E-01   0.2721E-01   0.4703E-03   0.1000E+01   0.1882E+02   0.2876E-02
  0.2424E+00  -0.3038E+04   0.4098E-01   0.1201E+00   0.8334E-03   0.1000E+01   0.2138E+02   0.8844E-02
  0.2475E+00  -0.3036E+04   0.4448E-01   0.2206E+00   0.5473E-03   0.1000E+01   0.2468E+02   0.3736E-02
  0.2525E+00  -0.3037E+04   0.4199E-01   0.1992E+00   0.4087E-03   0.1000E+01   0.2155E+02   0.2042E-02
  0.2576E+00  -0.3035E+04   0.4568E-01   0.3859E+00   0.8668E-03   0.1000E+01   0.2501E+02   0.9005E-02
  0.2626E+00  -0.3034E+04   0.4981E-01   0.3476E+00   0.6767E-03   0.1000E+01   0.2916E+02   0.5383E-02
  0.2677E+00  -0.3033E+04   0.5537E-01   0.5911E+00   0.4643E-03   0.1000E+01   0.3536E+02   0.2486E-02
  0.2727E+00  -0.3032E+04   0.5895E-01   0.7024E+00   0.6180E-03   0.1000E+01   0.3933E+02   0.4323E-02
  0.2778E+00  -0.3200E+04   0.6246E-02   0.1000E+01   0.9760E-06   0.1000E+01   0.4336E+00   0.1059E-07
  0.2828E+00  -0.3200E+04   0.5927E-02   0.1000E+01   0.9261E-06   0.1000E+01   0.3834E+00   0.9361E-08
  0.2879E+00  -0.3200E+04   0.3956E-02   0.1000E+01   0.6181E-06   0.1000E+01   0.1678E+00   0.4096E-08
  0.2929E+00  -0.3200E+04   0.6450E-02   0.1000E+01   0.1008E-05   0.1000E+01   0.4384E+00   0.1070E-07
  0.2980E+00  -0.3200E+04   0.8830E-02   0.1000E+01   0.1380E-05   0.1000E+01   0.8078E+00   0.1972E-07
  0.3030E+00  -0.3200E+04   0.5817E-02   0.1000E+01   0.9088E-06   0.1000E+01   0.3447E+00   0.8414E-08
  0.3081E+00  -0.3200E+04   0.4706E-02   0.1000E+01   0.7354E-06   0.1000E+01   0.2219E+00   0.5419E-08
  0.3131E+00  -0.3200E+04   0.1173E-01   0.1000E+01   0.1833E-05   0.1000E+01   0.1357E+01   0.3312E-07
  0.3182E+00  -0.3200E+04   0.1124E-01   0.1000E+01   0.1756E-05   0.1000E+01   0.1226E+01   0.2993E-07
  0.3232E+00  -0.3200E+04   0.1668E-01   0.1000E+01   0.2606E-05   0.1000E+01   0.2657E+01   0.6487E-07
  0.3283E+00  -0.3200E+04   0.1330E-01   0.1000E+01   0.2117E-05   0.1000E+01   0.1662E+01   0.4214E-07
  0.3333E+00  -0.3200E+04   0.1481E-01   0.1000E+01   0.2314E-05   0.9999E+00   0.2032E+01   0.4960E-07
  0.3384E+00  -0.3200E+04   0.1658E-01   0.1000E+01   0.2612E-05   0.9999E+00   0.2508E+01   0.6224E-07
  0.3434E+00  -0.3200E+04   0.1548E-01   0.1000E+01   0.2497E-05   0.9999E+00   0.2153E+01   0.5603E-07
  0.3485E+00  -0.3200E+04   0.1875E-01   0.1000E+01   0.2995E-05   0.9999E+00   0.3116E+01   0.7945E-07
  0.3535E+00  -0.3200E+04   0.2078E-01   0.9999E+00   0.3263E-05   0.9999E+00   0.3769E+01   0.9296E-07
  0.3586E+00  -0.3200E+04   0.2194E-01   0.9999E+00   0.3457E-05   0.9999E+00   0.4146E+01   0.1029E-06
  0.3636E+00  -0.3200E+04   0.2205E-01   0.9999E+00   0.3473E-05   0.9999E+00   0.4126E+01   0.1024E-06
  0.3687E+00  -0.3199E+04   0.2470E-01   0.9999E+00   0.3877E-05   0.9999E+00   0.5108E+01   0.1259E-06
  0.3737E+00  -0.3199E+04   0.2805E-01   0.9999E+00   0.4456E-05   0.9998E+00   0.6501E+01   0.1640E-06
  0.3788E+00  -0.3199E+04   0.2840E-01   0.9999E+00   0.4473E-05   0.9998E+00   0.6572E+01   0.1630E-06
  0.3838E+00  -0.3199E+04   0.3204E-01   0.9999E+00   0.5077E-05   0.9998E+00   0.8254E+01   0.2073E-06
  0.3889E+00  -0.3199E+04   0.2990E-01   0.9999E+00   0.4700E-05   0.9998E+00   0.7097E+01   0.1754E-06
  0.3939E+00  -0.3199E+04   0.3463E-01   0.9998E+00   0.5481E-05   0.9997E+00   0.9400E+01   0.2354E-06
  0.3990E+00  -0.3199E+04   0.4017E-01   0.9998E+00   0.6410E-05   0.9997E+00   0.1248E+02   0.3179E-06
  0.4040E+00  -0.3199E+04   0.3912E-01   0.9998E+00   0.6271E-05   0.9997E+00   0.1169E+02   0.3004E-06
  0.4091E+00  -0.3198E+04   0.4381E-01   0.9997E+00   0.6950E-05   0.9996E+00   0.1448E+02   0.3645E-06
  0.4141E+00  -0.3198E+04   0.4445E-01   0.9997E+00   0.7089E-05   0.9996E+00   0.1473E+02   0.3746E-06
  0.4192E+00  -0.3198E+04   0.5001E-01   0.9997E+00   0.7911E-05   0.9995E+00   0.1841E+02   0.4608E-06
  0.4242E+00  -0.3198E+04   0.4832E-01   0.9997E+00   0.7742E-05   0.9995E+00   0.1699E+02   0.4361E-06
  0.4293E+00  -0.3198E+04   0.5203E-01   0.9997E+00   0.8274E-05   0.9994E+00   0.1947E+02   0.4923E-06
  0.4343E+00  -0.3197E+04   0.5691E-01   0.9996E+00   0.9187E-05   0.9994E+00   0.2302E+02   0.5998E-06
  0.4394E+00  -0.3198E+04   0.5135E-01   0.9997E+00   0.8249E-05   0.9993E+00   0.1853E+02   0.4781E-06
  0.4444E+00  -0.3197E+04   0.6129E-01   0.9995E+00   0.9881E-05   0.9992E+00   0.2609E+02   0.6782E-06
  0.4495E+00  -0.3196E+04   0.6629E-01   0.9994E+00   0.1060E-04   0.9992E+00   0.3018E+02   0.7724E-06
  0.4545E+00  -0.3196E+04   0.7192E-01   0.9993E+00   0.1179E-04   0.9991E+00   0.3513E+02   0.9439E-06
  0.4596E+00  -0.3196E+04   0.7270E-01   0.9993E+00   0.1170E-04   0.9990E+00   0.3550E+02   0.9192E-06
  0.4646E+00  -0.3195E+04   0.8058E-01   0.9992E+00   0.1309E-04   0.9989E+00   0.4313E+02   0.1138E-05
  0.4697E+00  -0.3195E+04   0.8108E-01   0.9991E+00   0.1307E-04   0.9988E+00   0.4321E+02   0.1122E-05
  0.4747E+00  -0.3194E+04   0.8558E-01   0.9991E+00   0.1426E-04   0.9987E+00   0.4763E+02   0.1323E-05
  0.4798E+00  -0.3194E+04   0.8753E-01   0.9990E+00   0.1411E-04   0.9986E+00   0.4930E+02   0.1281E-05
  0.4848E+00  -0.3193E+04   0.9257E-01   0.9989E+00   0.1522E-04   0.9985E+00   0.5456E+02   0.1475E-05
  0.4899E+00  -0.3193E+04   0.9227E-01   0.9989E+00   0.1497E-04   0.9983E+00   0.5365E+02   0.1412E-05
  0.4949E+00  -0.3193E+04   0.9845E-01   0.9988E+00   0.1612E-04   0.9982E+00   0.6045E+02   0.1621E-05
  0.5000E+00  -0.3191E+04   0.1083E+00   0.9985E+00   0.1770E-04   0.9980E+00   0.7236E+02   0.1934E-05
