    tau_corr   autocorr_U   autocorr_M
           1   0.8482E+00   0.9696E+00
           2   0.7848E+00   0.9508E+00
           3   0.7395E+00   0.9351E+00
           4   0.7042E+00   0.9214E+00
           5   0.6740E+00   0.9089E+00
           6   0.6475E+00   0.8972E+00
           7   0.6236E+00   0.8862E+00
           8   0.6019E+00   0.8757E+00
           9   0.5815E+00   0.8657E+00
          10   0.5626E+00   0.8560E+00
          11   0.5447E+00   0.8467E+00
          12   0.5278E+00   0.8377E+00
          13   0.5119E+00   0.8289E+00
          14   0.4968E+00   0.8203E+00
          15   0.4829E+00   0.8120E+00
          16   0.4698E+00   0.8038E+00
          17   0.4579E+00   0.7959E+00
          18   0.4470E+00   0.7881E+00
          19   0.4371E+00   0.7805E+00
          20   0.4236E+00   0.7725E+00
          21   0.4098E+00   0.7644E+00
          22   0.3975E+00   0.7565E+00
          23   0.3863E+00   0.7488E+00
          24   0.3761E+00   0.7413E+00
          25   0.3675E+00   0.7341E+00
          26   0.3590E+00   0.7270E+00
          27   0.3516E+00   0.7201E+00
          28   0.3445E+00   0.7134E+00
          29   0.3379E+00   0.7068E+00
          30   0.3321E+00   0.7004E+00
          31   0.3266E+00   0.6942E+00
          32   0.3215E+00   0.6881E+00
          33   0.3170E+00   0.6822E+00
          34   0.3134E+00   0.6764E+00
          35   0.3101E+00   0.6708E+00
          36   0.3076E+00   0.6653E+00
          37   0.3058E+00   0.6599E+00
          38   0.3035E+00   0.6545E+00
          39   0.2981E+00   0.6487E+00
          40   0.2906E+00   0.6427E+00
          41   0.2834E+00   0.6368E+00
          42   0.2770E+00   0.6310E+00
          43   0.2713E+00   0.6254E+00
          44   0.2662E+00   0.6198E+00
          45   0.2619E+00   0.6145E+00
          46   0.2578E+00   0.6092E+00
          47   0.2542E+00   0.6041E+00
          48   0.2510E+00   0.5991E+00
          49   0.2479E+00   0.5942E+00
          50   0.2453E+00   0.5894E+00
          51   0.2433E+00   0.5848E+00
          52   0.2416E+00   0.5802E+00
          53   0.2402E+00   0.5757E+00
          54   0.2392E+00   0.5713E+00
          55   0.2390E+00   0.5669E+00
          56   0.2391E+00   0.5627E+00
          57   0.2385E+00   0.5584E+00
          58   0.2355E+00   0.5539E+00
          59   0.2300E+00   0.5490E+00
          60   0.2245E+00   0.5442E+00
          61   0.2198E+00   0.5394E+00
          62   0.2154E+00   0.5347E+00
          63   0.2113E+00   0.5301E+00
          64   0.2077E+00   0.5257E+00
          65   0.2048E+00   0.5214E+00
          66   0.2019E+00   0.5171E+00
          67   0.1993E+00   0.5129E+00
          68   0.1973E+00   0.5089E+00
          69   0.1956E+00   0.5049E+00
          70   0.1945E+00   0.5011E+00
          71   0.1939E+00   0.4974E+00
          72   0.1939E+00   0.4938E+00
          73   0.1941E+00   0.4903E+00
          74   0.1946E+00   0.4869E+00
          75   0.1953E+00   0.4834E+00
          76   0.1954E+00   0.4800E+00
          77   0.1937E+00   0.4763E+00
          78   0.1892E+00   0.4722E+00
          79   0.1840E+00   0.4680E+00
          80   0.1796E+00   0.4640E+00
          81   0.1755E+00   0.4601E+00
          82   0.1721E+00   0.4562E+00
          83   0.1694E+00   0.4526E+00
          84   0.1671E+00   0.4490E+00
          85   0.1653E+00   0.4456E+00
          86   0.1637E+00   0.4421E+00
          87   0.1625E+00   0.4388E+00
          88   0.1616E+00   0.4355E+00
          89   0.1611E+00   0.4324E+00
