     MC_step       U_adim      U_error       M_adim      M_error
        3076  -0.1180E+03   0.1948E-01   0.2700E+00   0.6387E-04
        3077  -0.1220E+03   0.1948E-01   0.2100E+00   0.6386E-04
        3078  -0.1140E+03   0.1948E-01   0.2100E+00   0.6384E-04
        3079  -0.1260E+03   0.1947E-01   0.2700E+00   0.6383E-04
        3080  -0.1220E+03   0.1947E-01   0.2900E+00   0.6381E-04
        3081  -0.1020E+03   0.1947E-01   0.1700E+00   0.6379E-04
        3082  -0.9800E+02   0.1947E-01   0.1300E+00   0.6377E-04
        3083  -0.1060E+03   0.1946E-01   0.1100E+00   0.6375E-04
        3084  -0.9800E+02   0.1946E-01   0.1100E+00   0.6373E-04
        3085  -0.1260E+03   0.1946E-01   0.2300E+00   0.6372E-04
        3086  -0.1020E+03   0.1945E-01   0.1700E+00   0.6370E-04
        3087  -0.1140E+03   0.1945E-01   0.3700E+00   0.6369E-04
        3088  -0.1300E+03   0.1945E-01   0.3300E+00   0.6368E-04
        3089  -0.1260E+03   0.1945E-01   0.3100E+00   0.6367E-04
        3090  -0.1260E+03   0.1944E-01   0.4300E+00   0.6366E-04
        3091  -0.1060E+03   0.1944E-01   0.3500E+00   0.6365E-04
        3092  -0.1060E+03   0.1944E-01   0.4100E+00   0.6364E-04
        3093  -0.1180E+03   0.1943E-01   0.4900E+00   0.6364E-04
        3094  -0.1180E+03   0.1943E-01   0.4500E+00   0.6364E-04
        3095  -0.1140E+03   0.1943E-01   0.4900E+00   0.6364E-04
        3096  -0.9400E+02   0.1943E-01   0.4100E+00   0.6363E-04
        3097  -0.9400E+02   0.1942E-01   0.3900E+00   0.6362E-04
        3098  -0.7000E+02   0.1942E-01   0.3100E+00   0.6361E-04
        3099  -0.9800E+02   0.1941E-01   0.2500E+00   0.6360E-04
        3100  -0.8200E+02   0.1941E-01   0.5000E-01   0.6357E-04
        3101  -0.9000E+02   0.1940E-01  -0.1900E+00   0.6356E-04
        3102  -0.9800E+02   0.1940E-01  -0.2900E+00   0.6354E-04
        3103  -0.1020E+03   0.1940E-01  -0.2900E+00   0.6353E-04
        3104  -0.8200E+02   0.1939E-01  -0.1300E+00   0.6351E-04
        3105  -0.9000E+02   0.1939E-01  -0.2900E+00   0.6350E-04
        3106  -0.7800E+02   0.1938E-01  -0.3500E+00   0.6349E-04
        3107  -0.6600E+02   0.1938E-01  -0.1100E+00   0.6347E-04
        3108  -0.6600E+02   0.1937E-01   0.5000E-01   0.6345E-04
        3109  -0.7000E+02   0.1937E-01  -0.9000E-01   0.6343E-04
        3110  -0.9000E+02   0.1936E-01  -0.1000E-01   0.6341E-04
        3111  -0.9800E+02   0.1936E-01  -0.1300E+00   0.6339E-04
        3112  -0.1060E+03   0.1936E-01  -0.9000E-01   0.6337E-04
        3113  -0.9400E+02   0.1935E-01  -0.4100E+00   0.6336E-04
        3114  -0.1020E+03   0.1935E-01  -0.4300E+00   0.6336E-04
        3115  -0.1020E+03   0.1935E-01  -0.3900E+00   0.6335E-04
        3116  -0.1140E+03   0.1934E-01  -0.3300E+00   0.6334E-04
        3117  -0.9800E+02   0.1934E-01  -0.3700E+00   0.6333E-04
        3118  -0.9800E+02   0.1934E-01  -0.3300E+00   0.6332E-04
        3119  -0.1140E+03   0.1933E-01  -0.3700E+00   0.6331E-04
        3120  -0.1300E+03   0.1933E-01  -0.3900E+00   0.6330E-04
        3121  -0.1060E+03   0.1933E-01  -0.3900E+00   0.6329E-04
        3122  -0.1220E+03   0.1933E-01  -0.4700E+00   0.6329E-04
        3123  -0.1260E+03   0.1932E-01  -0.4900E+00   0.6329E-04
        3124  -0.1420E+03   0.1932E-01  -0.5100E+00   0.6329E-04
        3125  -0.1100E+03   0.1932E-01  -0.4700E+00   0.6329E-04
        3126  -0.9800E+02   0.1932E-01  -0.2900E+00   0.6327E-04
        3127  -0.1060E+03   0.1931E-01  -0.3100E+00   0.6326E-04
        3128  -0.9400E+02   0.1931E-01  -0.2500E+00   0.6324E-04
        3129  -0.8200E+02   0.1931E-01  -0.7000E-01   0.6323E-04
        3130  -0.7800E+02   0.1930E-01  -0.1000E-01   0.6320E-04
        3131  -0.7400E+02   0.1930E-01   0.1000E-01   0.6318E-04
        3132  -0.9000E+02   0.1929E-01  -0.7000E-01   0.6317E-04
        3133  -0.8200E+02   0.1929E-01   0.1100E+00   0.6315E-04
        3134  -0.6200E+02   0.1928E-01   0.1100E+00   0.6313E-04
        3135  -0.8200E+02   0.1928E-01   0.2100E+00   0.6311E-04
        3136  -0.8600E+02   0.1927E-01   0.9000E-01   0.6309E-04
        3137  -0.7800E+02   0.1927E-01   0.1300E+00   0.6307E-04
        3138  -0.1020E+03   0.1927E-01   0.1300E+00   0.6305E-04
        3139  -0.7400E+02   0.1926E-01   0.1300E+00   0.6303E-04
        3140  -0.8200E+02   0.1926E-01   0.2500E+00   0.6302E-04
        3141  -0.9800E+02   0.1925E-01   0.1300E+00   0.6300E-04
        3142  -0.1180E+03   0.1925E-01  -0.3000E-01   0.6298E-04
        3143  -0.1020E+03   0.1925E-01  -0.7000E-01   0.6296E-04
        3144  -0.1060E+03   0.1924E-01  -0.2100E+00   0.6294E-04
        3145  -0.1020E+03   0.1924E-01  -0.2500E+00   0.6293E-04
        3146  -0.8600E+02   0.1924E-01  -0.3300E+00   0.6292E-04
        3147  -0.9800E+02   0.1923E-01  -0.1700E+00   0.6290E-04
        3148  -0.7000E+02   0.1923E-01  -0.7000E-01   0.6288E-04
        3149  -0.9000E+02   0.1922E-01  -0.9000E-01   0.6286E-04
        3150  -0.1020E+03   0.1922E-01  -0.1300E+00   0.6284E-04
        3151  -0.9400E+02   0.1922E-01  -0.1700E+00   0.6283E-04
        3152  -0.9800E+02   0.1921E-01  -0.3000E-01   0.6281E-04
        3153  -0.1020E+03   0.1921E-01   0.5000E-01   0.6279E-04
        3154  -0.9400E+02   0.1921E-01   0.1000E-01   0.6277E-04
        3155  -0.1020E+03   0.1920E-01  -0.3000E-01   0.6275E-04
        3156  -0.1060E+03   0.1920E-01   0.5000E-01   0.6273E-04
        3157  -0.9800E+02   0.1920E-01   0.9000E-01   0.6271E-04
        3158  -0.9800E+02   0.1919E-01  -0.1000E-01   0.6269E-04
        3159  -0.9400E+02   0.1919E-01   0.3000E-01   0.6267E-04
        3160  -0.9400E+02   0.1919E-01  -0.7000E-01   0.6265E-04
        3161  -0.1020E+03   0.1918E-01  -0.1100E+00   0.6263E-04
        3162  -0.9000E+02   0.1918E-01  -0.1000E-01   0.6261E-04
        3163  -0.7000E+02   0.1917E-01   0.1300E+00   0.6259E-04
        3164  -0.7800E+02   0.1917E-01   0.1000E-01   0.6257E-04
        3165  -0.8200E+02   0.1916E-01  -0.7000E-01   0.6255E-04
        3166  -0.1060E+03   0.1916E-01   0.1000E-01   0.6253E-04
        3167  -0.9000E+02   0.1916E-01   0.9000E-01   0.6251E-04
        3168  -0.9800E+02   0.1915E-01   0.1100E+00   0.6249E-04
        3169  -0.8200E+02   0.1915E-01   0.9000E-01   0.6248E-04
        3170  -0.8200E+02   0.1914E-01   0.7000E-01   0.6246E-04
        3171  -0.9000E+02   0.1914E-01  -0.3000E-01   0.6244E-04
        3172  -0.7400E+02   0.1914E-01  -0.1000E-01   0.6242E-04
        3173  -0.8200E+02   0.1913E-01  -0.2700E+00   0.6240E-04
        3174  -0.7800E+02   0.1913E-01  -0.3300E+00   0.6239E-04
        3175  -0.8600E+02   0.1912E-01  -0.3100E+00   0.6238E-04
        3176  -0.9000E+02   0.1912E-01  -0.2300E+00   0.6236E-04
        3177  -0.9000E+02   0.1912E-01  -0.2100E+00   0.6235E-04
        3178  -0.8600E+02   0.1911E-01  -0.1500E+00   0.6233E-04
        3179  -0.8600E+02   0.1911E-01  -0.3100E+00   0.6232E-04
        3180  -0.1020E+03   0.1910E-01  -0.3700E+00   0.6231E-04
        3181  -0.7800E+02   0.1910E-01  -0.1900E+00   0.6229E-04
        3182  -0.9000E+02   0.1910E-01  -0.2100E+00   0.6228E-04
        3183  -0.9000E+02   0.1909E-01  -0.9000E-01   0.6226E-04
        3184  -0.9800E+02   0.1909E-01  -0.9000E-01   0.6224E-04
        3185  -0.9800E+02   0.1908E-01   0.3000E-01   0.6222E-04
        3186  -0.1300E+03   0.1908E-01   0.5000E-01   0.6220E-04
        3187  -0.1380E+03   0.1908E-01   0.1900E+00   0.6218E-04
        3188  -0.1060E+03   0.1908E-01   0.1100E+00   0.6216E-04
        3189  -0.1060E+03   0.1908E-01  -0.5000E-01   0.6215E-04
        3190  -0.1180E+03   0.1907E-01   0.1000E-01   0.6213E-04
        3191  -0.1380E+03   0.1907E-01  -0.1000E-01   0.6211E-04
        3192  -0.1300E+03   0.1907E-01   0.1900E+00   0.6209E-04
        3193  -0.1180E+03   0.1907E-01   0.3100E+00   0.6208E-04
        3194  -0.1380E+03   0.1907E-01   0.4700E+00   0.6208E-04
        3195  -0.1380E+03   0.1907E-01   0.5100E+00   0.6208E-04
        3196  -0.1260E+03   0.1906E-01   0.4300E+00   0.6207E-04
        3197  -0.1140E+03   0.1906E-01   0.3300E+00   0.6206E-04
        3198  -0.1100E+03   0.1906E-01   0.4100E+00   0.6206E-04
        3199  -0.9800E+02   0.1905E-01   0.3100E+00   0.6204E-04
        3200  -0.9000E+02   0.1905E-01   0.4100E+00   0.6204E-04
        3201  -0.7400E+02   0.1905E-01   0.3100E+00   0.6203E-04
        3202  -0.8200E+02   0.1904E-01   0.3500E+00   0.6202E-04
        3203  -0.1180E+03   0.1904E-01   0.2900E+00   0.6200E-04
        3204  -0.1260E+03   0.1904E-01   0.2300E+00   0.6199E-04
        3205  -0.1140E+03   0.1903E-01   0.1300E+00   0.6197E-04
        3206  -0.1140E+03   0.1903E-01   0.1700E+00   0.6195E-04
        3207  -0.9400E+02   0.1903E-01   0.1700E+00   0.6194E-04
        3208  -0.1020E+03   0.1903E-01   0.7000E-01   0.6192E-04
        3209  -0.1100E+03   0.1902E-01   0.5000E-01   0.6190E-04
        3210  -0.1020E+03   0.1902E-01   0.1000E-01   0.6188E-04
        3211  -0.9400E+02   0.1902E-01  -0.1100E+00   0.6186E-04
        3212  -0.1180E+03   0.1901E-01  -0.1700E+00   0.6184E-04
        3213  -0.1100E+03   0.1901E-01   0.3000E-01   0.6182E-04
        3214  -0.1020E+03   0.1901E-01  -0.9000E-01   0.6181E-04
        3215  -0.9000E+02   0.1900E-01  -0.3000E-01   0.6179E-04
        3216  -0.8200E+02   0.1900E-01   0.3000E-01   0.6177E-04
        3217  -0.8200E+02   0.1899E-01   0.1700E+00   0.6175E-04
        3218  -0.9800E+02   0.1899E-01   0.1100E+00   0.6173E-04
        3219  -0.9800E+02   0.1899E-01   0.3000E-01   0.6171E-04
        3220  -0.9800E+02   0.1898E-01  -0.1900E+00   0.6170E-04
        3221  -0.9800E+02   0.1898E-01  -0.7000E-01   0.6168E-04
        3222  -0.1140E+03   0.1898E-01  -0.1300E+00   0.6166E-04
        3223  -0.1100E+03   0.1898E-01   0.5000E-01   0.6164E-04
        3224  -0.1260E+03   0.1897E-01   0.1100E+00   0.6162E-04
        3225  -0.1060E+03   0.1897E-01   0.1500E+00   0.6161E-04
        3226  -0.1060E+03   0.1897E-01   0.9000E-01   0.6159E-04
        3227  -0.1140E+03   0.1896E-01  -0.7000E-01   0.6157E-04
        3228  -0.1100E+03   0.1896E-01  -0.9000E-01   0.6155E-04
        3229  -0.8600E+02   0.1896E-01   0.1500E+00   0.6153E-04
        3230  -0.1300E+03   0.1896E-01   0.9000E-01   0.6151E-04
        3231  -0.1220E+03   0.1895E-01   0.1900E+00   0.6150E-04
        3232  -0.1460E+03   0.1895E-01   0.1700E+00   0.6148E-04
        3233  -0.1260E+03   0.1895E-01   0.3100E+00   0.6147E-04
        3234  -0.1140E+03   0.1895E-01   0.1500E+00   0.6145E-04
        3235  -0.1220E+03   0.1895E-01  -0.5000E-01   0.6143E-04
        3236  -0.1180E+03   0.1894E-01  -0.1300E+00   0.6142E-04
        3237  -0.1100E+03   0.1894E-01  -0.9000E-01   0.6140E-04
        3238  -0.1100E+03   0.1894E-01   0.1000E-01   0.6138E-04
        3239  -0.1340E+03   0.1894E-01   0.7000E-01   0.6136E-04
        3240  -0.1100E+03   0.1893E-01   0.5000E-01   0.6134E-04
        3241  -0.1180E+03   0.1893E-01  -0.1500E+00   0.6132E-04
        3242  -0.1060E+03   0.1893E-01  -0.1000E-01   0.6131E-04
        3243  -0.1060E+03   0.1893E-01  -0.9000E-01   0.6129E-04
        3244  -0.1060E+03   0.1892E-01  -0.1100E+00   0.6127E-04
        3245  -0.1140E+03   0.1892E-01  -0.2900E+00   0.6126E-04
        3246  -0.1100E+03   0.1892E-01  -0.3900E+00   0.6125E-04
        3247  -0.1100E+03   0.1891E-01  -0.4500E+00   0.6125E-04
        3248  -0.1220E+03   0.1891E-01  -0.5700E+00   0.6125E-04
        3249  -0.8200E+02   0.1891E-01  -0.4700E+00   0.6125E-04
        3250  -0.8200E+02   0.1890E-01  -0.4300E+00   0.6125E-04
        3251  -0.1300E+03   0.1890E-01  -0.4300E+00   0.6124E-04
        3252  -0.9800E+02   0.1890E-01  -0.4700E+00   0.6124E-04
        3253  -0.1020E+03   0.1890E-01  -0.3900E+00   0.6123E-04
        3254  -0.1140E+03   0.1889E-01  -0.4300E+00   0.6123E-04
        3255  -0.1140E+03   0.1889E-01  -0.2700E+00   0.6122E-04
        3256  -0.9800E+02   0.1889E-01  -0.1900E+00   0.6120E-04
        3257  -0.9800E+02   0.1888E-01  -0.2300E+00   0.6118E-04
        3258  -0.9400E+02   0.1888E-01  -0.1300E+00   0.6117E-04
        3259  -0.8600E+02   0.1888E-01  -0.1300E+00   0.6115E-04
        3260  -0.9800E+02   0.1887E-01  -0.7000E-01   0.6113E-04
        3261  -0.9800E+02   0.1887E-01  -0.1900E+00   0.6112E-04
        3262  -0.8600E+02   0.1887E-01  -0.2700E+00   0.6110E-04
        3263  -0.9400E+02   0.1886E-01  -0.2700E+00   0.6109E-04
        3264  -0.9800E+02   0.1886E-01  -0.2700E+00   0.6108E-04
        3265  -0.9000E+02   0.1885E-01  -0.1500E+00   0.6106E-04
        3266  -0.1100E+03   0.1885E-01  -0.1900E+00   0.6104E-04
        3267  -0.1220E+03   0.1885E-01  -0.2700E+00   0.6103E-04
        3268  -0.1140E+03   0.1885E-01  -0.3500E+00   0.6102E-04
        3269  -0.1100E+03   0.1884E-01  -0.4100E+00   0.6101E-04
        3270  -0.1500E+03   0.1884E-01  -0.5500E+00   0.6102E-04
        3271  -0.1500E+03   0.1884E-01  -0.6300E+00   0.6103E-04
        3272  -0.1500E+03   0.1884E-01  -0.6300E+00   0.6104E-04
        3273  -0.1620E+03   0.1884E-01  -0.6700E+00   0.6106E-04
        3274  -0.1500E+03   0.1884E-01  -0.6300E+00   0.6107E-04
        3275  -0.1340E+03   0.1884E-01  -0.5700E+00   0.6108E-04
        3276  -0.1180E+03   0.1884E-01  -0.4900E+00   0.6108E-04
        3277  -0.1140E+03   0.1884E-01  -0.3900E+00   0.6107E-04
        3278  -0.1420E+03   0.1884E-01  -0.3500E+00   0.6106E-04
        3279  -0.1380E+03   0.1884E-01  -0.3900E+00   0.6105E-04
        3280  -0.1060E+03   0.1883E-01  -0.3700E+00   0.6104E-04
        3281  -0.1220E+03   0.1883E-01  -0.4100E+00   0.6104E-04
        3282  -0.1380E+03   0.1883E-01  -0.4100E+00   0.6103E-04
        3283  -0.1260E+03   0.1883E-01  -0.4300E+00   0.6103E-04
        3284  -0.1180E+03   0.1883E-01  -0.4300E+00   0.6102E-04
        3285  -0.1140E+03   0.1882E-01  -0.3700E+00   0.6101E-04
        3286  -0.1060E+03   0.1882E-01  -0.3500E+00   0.6101E-04
        3287  -0.1260E+03   0.1882E-01  -0.4700E+00   0.6100E-04
        3288  -0.1060E+03   0.1882E-01  -0.4100E+00   0.6100E-04
        3289  -0.1020E+03   0.1881E-01  -0.3300E+00   0.6099E-04
        3290  -0.9400E+02   0.1881E-01  -0.3300E+00   0.6098E-04
        3291  -0.9800E+02   0.1881E-01  -0.2500E+00   0.6096E-04
        3292  -0.8200E+02   0.1880E-01  -0.1900E+00   0.6095E-04
        3293  -0.9400E+02   0.1880E-01  -0.3100E+00   0.6094E-04
        3294  -0.1020E+03   0.1879E-01  -0.2500E+00   0.6092E-04
        3295  -0.1060E+03   0.1879E-01  -0.3900E+00   0.6092E-04
        3296  -0.1060E+03   0.1879E-01  -0.4300E+00   0.6091E-04
        3297  -0.9000E+02   0.1878E-01  -0.3300E+00   0.6090E-04
        3298  -0.1140E+03   0.1878E-01  -0.2900E+00   0.6089E-04
        3299  -0.9400E+02   0.1878E-01  -0.3500E+00   0.6088E-04
        3300  -0.1060E+03   0.1878E-01  -0.1900E+00   0.6086E-04
        3301  -0.1060E+03   0.1877E-01  -0.1900E+00   0.6085E-04
        3302  -0.1220E+03   0.1877E-01  -0.2100E+00   0.6083E-04
        3303  -0.9000E+02   0.1877E-01  -0.2100E+00   0.6082E-04
        3304  -0.7800E+02   0.1876E-01  -0.2700E+00   0.6080E-04
        3305  -0.7000E+02   0.1876E-01  -0.2500E+00   0.6079E-04
        3306  -0.7800E+02   0.1875E-01  -0.2900E+00   0.6078E-04
        3307  -0.9800E+02   0.1875E-01  -0.2500E+00   0.6077E-04
        3308  -0.9000E+02   0.1875E-01  -0.2300E+00   0.6075E-04
        3309  -0.9000E+02   0.1874E-01  -0.1300E+00   0.6073E-04
        3310  -0.7800E+02   0.1874E-01  -0.2500E+00   0.6072E-04
        3311  -0.1060E+03   0.1874E-01  -0.4900E+00   0.6072E-04
        3312  -0.8200E+02   0.1873E-01  -0.3700E+00   0.6071E-04
        3313  -0.1060E+03   0.1873E-01  -0.2900E+00   0.6070E-04
        3314  -0.1060E+03   0.1873E-01  -0.1500E+00   0.6068E-04
        3315  -0.1100E+03   0.1872E-01  -0.2100E+00   0.6067E-04
        3316  -0.9000E+02   0.1872E-01   0.3000E-01   0.6065E-04
        3317  -0.7400E+02   0.1872E-01   0.7000E-01   0.6063E-04
        3318  -0.8200E+02   0.1871E-01   0.3100E+00   0.6062E-04
        3319  -0.9800E+02   0.1871E-01   0.4500E+00   0.6062E-04
        3320  -0.9000E+02   0.1870E-01   0.3700E+00   0.6061E-04
        3321  -0.6200E+02   0.1870E-01   0.2100E+00   0.6060E-04
        3322  -0.1100E+03   0.1870E-01   0.2500E+00   0.6058E-04
        3323  -0.1060E+03   0.1869E-01   0.2300E+00   0.6057E-04
        3324  -0.1140E+03   0.1869E-01   0.3700E+00   0.6056E-04
        3325  -0.7800E+02   0.1869E-01   0.2100E+00   0.6054E-04
        3326  -0.7400E+02   0.1868E-01   0.1100E+00   0.6053E-04
        3327  -0.8200E+02   0.1868E-01   0.3300E+00   0.6052E-04
        3328  -0.9400E+02   0.1868E-01   0.4100E+00   0.6051E-04
        3329  -0.8200E+02   0.1867E-01   0.3500E+00   0.6050E-04
        3330  -0.1060E+03   0.1867E-01   0.5100E+00   0.6050E-04
        3331  -0.1060E+03   0.1867E-01   0.5900E+00   0.6051E-04
        3332  -0.1060E+03   0.1866E-01   0.6100E+00   0.6052E-04
        3333  -0.1140E+03   0.1866E-01   0.6500E+00   0.6053E-04
        3334  -0.1100E+03   0.1866E-01   0.5700E+00   0.6054E-04
        3335  -0.9800E+02   0.1865E-01   0.5100E+00   0.6054E-04
        3336  -0.1140E+03   0.1865E-01   0.5700E+00   0.6055E-04
        3337  -0.1260E+03   0.1865E-01   0.6300E+00   0.6056E-04
        3338  -0.8600E+02   0.1865E-01   0.5300E+00   0.6056E-04
        3339  -0.1140E+03   0.1864E-01   0.5100E+00   0.6056E-04
        3340  -0.1020E+03   0.1864E-01   0.4500E+00   0.6056E-04
        3341  -0.1260E+03   0.1864E-01   0.5700E+00   0.6057E-04
        3342  -0.1180E+03   0.1864E-01   0.3100E+00   0.6055E-04
        3343  -0.1140E+03   0.1863E-01   0.1900E+00   0.6054E-04
        3344  -0.1180E+03   0.1863E-01   0.2300E+00   0.6053E-04
        3345  -0.1300E+03   0.1863E-01   0.3300E+00   0.6051E-04
        3346  -0.1180E+03   0.1863E-01   0.2100E+00   0.6050E-04
        3347  -0.1220E+03   0.1863E-01   0.2300E+00   0.6049E-04
        3348  -0.1180E+03   0.1862E-01   0.2100E+00   0.6047E-04
        3349  -0.9800E+02   0.1862E-01   0.1500E+00   0.6045E-04
        3350  -0.9400E+02   0.1862E-01   0.1500E+00   0.6044E-04
        3351  -0.9800E+02   0.1861E-01   0.2700E+00   0.6043E-04
        3352  -0.9800E+02   0.1861E-01   0.3700E+00   0.6042E-04
        3353  -0.1140E+03   0.1861E-01   0.3500E+00   0.6041E-04
        3354  -0.1140E+03   0.1861E-01   0.4300E+00   0.6040E-04
        3355  -0.9400E+02   0.1860E-01   0.3900E+00   0.6040E-04
        3356  -0.8600E+02   0.1860E-01   0.3500E+00   0.6039E-04
        3357  -0.7400E+02   0.1859E-01   0.3500E+00   0.6038E-04
        3358  -0.9400E+02   0.1859E-01   0.4100E+00   0.6037E-04
        3359  -0.7800E+02   0.1859E-01   0.3700E+00   0.6037E-04
        3360  -0.7000E+02   0.1858E-01   0.1900E+00   0.6035E-04
        3361  -0.6200E+02   0.1858E-01   0.3000E-01   0.6033E-04
        3362  -0.5800E+02   0.1857E-01   0.3000E-01   0.6032E-04
        3363  -0.9000E+02   0.1857E-01  -0.1100E+00   0.6030E-04
        3364  -0.8200E+02   0.1856E-01  -0.2100E+00   0.6028E-04
        3365  -0.8600E+02   0.1856E-01  -0.2700E+00   0.6027E-04
        3366  -0.6200E+02   0.1856E-01  -0.3300E+00   0.6026E-04
        3367  -0.8200E+02   0.1855E-01  -0.1900E+00   0.6025E-04
        3368  -0.9000E+02   0.1855E-01  -0.2100E+00   0.6023E-04
        3369  -0.9400E+02   0.1855E-01  -0.1900E+00   0.6022E-04
        3370  -0.8200E+02   0.1854E-01  -0.2700E+00   0.6020E-04
        3371  -0.1100E+03   0.1854E-01  -0.3300E+00   0.6019E-04
        3372  -0.1140E+03   0.1854E-01  -0.4900E+00   0.6019E-04
        3373  -0.9800E+02   0.1853E-01  -0.4700E+00   0.6019E-04
        3374  -0.9000E+02   0.1853E-01  -0.4700E+00   0.6019E-04
        3375  -0.1100E+03   0.1853E-01  -0.3900E+00   0.6018E-04
        3376  -0.1020E+03   0.1852E-01  -0.4700E+00   0.6018E-04
        3377  -0.1140E+03   0.1852E-01  -0.4300E+00   0.6018E-04
        3378  -0.1020E+03   0.1852E-01  -0.3900E+00   0.6017E-04
        3379  -0.1100E+03   0.1852E-01  -0.2900E+00   0.6016E-04
        3380  -0.1180E+03   0.1851E-01  -0.3700E+00   0.6015E-04
        3381  -0.1140E+03   0.1851E-01  -0.2300E+00   0.6014E-04
        3382  -0.9800E+02   0.1851E-01  -0.2900E+00   0.6012E-04
        3383  -0.1220E+03   0.1851E-01  -0.4300E+00   0.6012E-04
        3384  -0.1340E+03   0.1850E-01  -0.4900E+00   0.6012E-04
        3385  -0.1140E+03   0.1850E-01  -0.4100E+00   0.6011E-04
        3386  -0.1020E+03   0.1850E-01  -0.4100E+00   0.6011E-04
        3387  -0.9400E+02   0.1850E-01  -0.4100E+00   0.6010E-04
        3388  -0.1180E+03   0.1849E-01  -0.5100E+00   0.6010E-04
        3389  -0.1340E+03   0.1849E-01  -0.6300E+00   0.6012E-04
        3390  -0.1100E+03   0.1849E-01  -0.4900E+00   0.6011E-04
        3391  -0.1180E+03   0.1849E-01  -0.5700E+00   0.6012E-04
        3392  -0.1300E+03   0.1849E-01  -0.6500E+00   0.6013E-04
        3393  -0.1300E+03   0.1848E-01  -0.6300E+00   0.6014E-04
        3394  -0.1340E+03   0.1848E-01  -0.5900E+00   0.6015E-04
        3395  -0.1420E+03   0.1848E-01  -0.5900E+00   0.6016E-04
        3396  -0.1100E+03   0.1848E-01  -0.3700E+00   0.6015E-04
        3397  -0.9800E+02   0.1848E-01  -0.3700E+00   0.6014E-04
        3398  -0.1060E+03   0.1847E-01  -0.3100E+00   0.6013E-04
        3399  -0.9800E+02   0.1847E-01  -0.3100E+00   0.6012E-04
        3400  -0.1260E+03   0.1847E-01  -0.4500E+00   0.6012E-04
        3401  -0.1260E+03   0.1847E-01  -0.5300E+00   0.6012E-04
        3402  -0.1220E+03   0.1847E-01  -0.5500E+00   0.6013E-04
        3403  -0.8600E+02   0.1846E-01  -0.3700E+00   0.6012E-04
        3404  -0.1020E+03   0.1846E-01  -0.3300E+00   0.6011E-04
        3405  -0.9800E+02   0.1846E-01  -0.2900E+00   0.6010E-04
        3406  -0.1180E+03   0.1845E-01  -0.4900E+00   0.6010E-04
        3407  -0.1220E+03   0.1845E-01  -0.5100E+00   0.6010E-04
        3408  -0.1380E+03   0.1845E-01  -0.5500E+00   0.6010E-04
        3409  -0.1140E+03   0.1845E-01  -0.4500E+00   0.6010E-04
        3410  -0.1220E+03   0.1845E-01  -0.4100E+00   0.6009E-04
        3411  -0.1300E+03   0.1844E-01  -0.4500E+00   0.6009E-04
        3412  -0.1140E+03   0.1844E-01  -0.4100E+00   0.6008E-04
        3413  -0.1500E+03   0.1844E-01  -0.5100E+00   0.6008E-04
        3414  -0.1540E+03   0.1844E-01  -0.5300E+00   0.6009E-04
        3415  -0.1220E+03   0.1844E-01  -0.4300E+00   0.6008E-04
        3416  -0.1060E+03   0.1844E-01  -0.4100E+00   0.6008E-04
        3417  -0.1060E+03   0.1843E-01  -0.3700E+00   0.6007E-04
        3418  -0.1340E+03   0.1843E-01  -0.4500E+00   0.6006E-04
        3419  -0.1420E+03   0.1843E-01  -0.2900E+00   0.6005E-04
        3420  -0.1140E+03   0.1843E-01  -0.2500E+00   0.6004E-04
        3421  -0.1300E+03   0.1843E-01  -0.2900E+00   0.6003E-04
        3422  -0.1380E+03   0.1843E-01  -0.3300E+00   0.6002E-04
        3423  -0.1340E+03   0.1843E-01  -0.3700E+00   0.6001E-04
        3424  -0.1300E+03   0.1842E-01  -0.3100E+00   0.6000E-04
        3425  -0.1140E+03   0.1842E-01  -0.3500E+00   0.5999E-04
        3426  -0.1220E+03   0.1842E-01  -0.1700E+00   0.5998E-04
        3427  -0.9000E+02   0.1842E-01  -0.1000E-01   0.5996E-04
        3428  -0.9400E+02   0.1841E-01   0.1000E-01   0.5994E-04
        3429  -0.9400E+02   0.1841E-01   0.9000E-01   0.5992E-04
        3430  -0.1060E+03   0.1841E-01   0.7000E-01   0.5991E-04
        3431  -0.1060E+03   0.1840E-01  -0.1000E-01   0.5989E-04
        3432  -0.1220E+03   0.1840E-01   0.1000E-01   0.5987E-04
        3433  -0.1060E+03   0.1840E-01   0.7000E-01   0.5986E-04
        3434  -0.1140E+03   0.1840E-01  -0.5000E-01   0.5984E-04
        3435  -0.9400E+02   0.1839E-01   0.7000E-01   0.5982E-04
        3436  -0.9800E+02   0.1839E-01  -0.7000E-01   0.5980E-04
        3437  -0.7400E+02   0.1839E-01   0.5000E-01   0.5979E-04
        3438  -0.7400E+02   0.1838E-01  -0.1100E+00   0.5977E-04
        3439  -0.9400E+02   0.1838E-01   0.5000E-01   0.5975E-04
        3440  -0.8200E+02   0.1838E-01   0.1500E+00   0.5974E-04
        3441  -0.1060E+03   0.1837E-01   0.7000E-01   0.5972E-04
        3442  -0.8600E+02   0.1837E-01   0.1500E+00   0.5970E-04
        3443  -0.9400E+02   0.1837E-01   0.1900E+00   0.5969E-04
        3444  -0.1140E+03   0.1836E-01   0.1300E+00   0.5967E-04
        3445  -0.1100E+03   0.1836E-01   0.9000E-01   0.5966E-04
        3446  -0.1180E+03   0.1836E-01   0.1500E+00   0.5964E-04
