     MC_step       U_adim      U_error       M_adim      M_error
          86  -0.9400E+02   0.1081E+00  -0.3700E+00   0.2432E-03
          87  -0.1260E+03   0.1078E+00  -0.4500E+00   0.2459E-03
          88  -0.1060E+03   0.1073E+00  -0.4100E+00   0.2475E-03
          89  -0.8200E+02   0.1064E+00  -0.3700E+00   0.2482E-03
          90  -0.9800E+02   0.1058E+00  -0.3700E+00   0.2489E-03
          91  -0.1140E+03   0.1054E+00  -0.3100E+00   0.2485E-03
          92  -0.1020E+03   0.1048E+00  -0.1700E+00   0.2464E-03
          93  -0.1020E+03   0.1043E+00  -0.2700E+00   0.2455E-03
          94  -0.1460E+03   0.1043E+00  -0.3700E+00   0.2460E-03
          95  -0.1260E+03   0.1041E+00  -0.3700E+00   0.2465E-03
          96  -0.1340E+03   0.1039E+00  -0.3900E+00   0.2473E-03
          97  -0.1220E+03   0.1036E+00  -0.3300E+00   0.2471E-03
          98  -0.1220E+03   0.1033E+00  -0.2500E+00   0.2459E-03
          99  -0.1020E+03   0.1028E+00  -0.2500E+00   0.2447E-03
         100  -0.1220E+03   0.1025E+00  -0.2500E+00   0.2436E-03
         101  -0.8600E+02   0.1018E+00  -0.2500E+00   0.2424E-03
         102  -0.9800E+02   0.1012E+00  -0.3500E+00   0.2425E-03
         103  -0.1180E+03   0.1009E+00  -0.3100E+00   0.2420E-03
         104  -0.1180E+03   0.1006E+00  -0.2900E+00   0.2412E-03
         105  -0.9400E+02   0.1000E+00  -0.2100E+00   0.2398E-03
         106  -0.1060E+03   0.9957E-01  -0.1700E+00   0.2381E-03
         107  -0.1140E+03   0.9921E-01  -0.2500E+00   0.2370E-03
         108  -0.1100E+03   0.9881E-01  -0.2500E+00   0.2359E-03
         109  -0.1020E+03   0.9834E-01  -0.1500E+00   0.2341E-03
         110  -0.1060E+03   0.9792E-01  -0.2300E+00   0.2330E-03
         111  -0.1180E+03   0.9761E-01  -0.1900E+00   0.2315E-03
         112  -0.1300E+03   0.9743E-01  -0.1900E+00   0.2300E-03
         113  -0.1220E+03   0.9716E-01  -0.1500E+00   0.2284E-03
         114  -0.1300E+03   0.9698E-01  -0.2700E+00   0.2276E-03
         115  -0.1180E+03   0.9667E-01  -0.2500E+00   0.2267E-03
         116  -0.1140E+03   0.9634E-01  -0.2900E+00   0.2261E-03
         117  -0.7400E+02   0.9572E-01  -0.1700E+00   0.2246E-03
         118  -0.9400E+02   0.9524E-01  -0.2500E+00   0.2237E-03
         119  -0.9000E+02   0.9474E-01  -0.3500E+00   0.2238E-03
         120  -0.7400E+02   0.9415E-01  -0.2700E+00   0.2230E-03
         121  -0.5400E+02   0.9348E-01   0.7000E-01   0.2213E-03
         122  -0.9000E+02   0.9300E-01   0.1100E+00   0.2196E-03
         123  -0.9800E+02   0.9259E-01   0.1300E+00   0.2181E-03
         124  -0.9000E+02   0.9212E-01   0.1300E+00   0.2166E-03
         125  -0.9000E+02   0.9167E-01   0.1300E+00   0.2151E-03
         126  -0.6200E+02   0.9107E-01  -0.3000E-01   0.2135E-03
         127  -0.6600E+02   0.9050E-01  -0.3000E-01   0.2118E-03
         128  -0.8200E+02   0.9002E-01   0.3000E-01   0.2102E-03
         129  -0.1020E+03   0.8967E-01  -0.5000E-01   0.2086E-03
         130  -0.1220E+03   0.8947E-01   0.1000E-01   0.2070E-03
         131  -0.1220E+03   0.8927E-01  -0.1100E+00   0.2055E-03
         132  -0.1140E+03   0.8901E-01  -0.1900E+00   0.2045E-03
         133  -0.1260E+03   0.8884E-01  -0.1900E+00   0.2035E-03
         134  -0.9400E+02   0.8845E-01  -0.2300E+00   0.2027E-03
         135  -0.1020E+03   0.8812E-01  -0.2100E+00   0.2018E-03
         136  -0.1020E+03   0.8779E-01  -0.3100E+00   0.2016E-03
         137  -0.7800E+02   0.8733E-01  -0.3500E+00   0.2017E-03
         138  -0.7000E+02   0.8685E-01  -0.3100E+00   0.2015E-03
         139  -0.5400E+02   0.8631E-01  -0.3500E+00   0.2016E-03
         140  -0.9000E+02   0.8593E-01  -0.3100E+00   0.2014E-03
         141  -0.9800E+02   0.8560E-01  -0.2700E+00   0.2009E-03
         142  -0.9400E+02   0.8525E-01  -0.2500E+00   0.2002E-03
         143  -0.1060E+03   0.8498E-01  -0.7000E-01   0.1989E-03
         144  -0.9800E+02   0.8466E-01  -0.2100E+00   0.1980E-03
         145  -0.8200E+02   0.8426E-01  -0.2300E+00   0.1973E-03
         146  -0.1180E+03   0.8407E-01  -0.2900E+00   0.1969E-03
         147  -0.1020E+03   0.8379E-01  -0.3700E+00   0.1972E-03
         148  -0.1060E+03   0.8352E-01  -0.4300E+00   0.1980E-03
         149  -0.1300E+03   0.8342E-01  -0.4300E+00   0.1988E-03
         150  -0.1340E+03   0.8334E-01  -0.3300E+00   0.1987E-03
         151  -0.1380E+03   0.8328E-01  -0.3300E+00   0.1985E-03
         152  -0.1420E+03   0.8326E-01  -0.4300E+00   0.1992E-03
         153  -0.1140E+03   0.8304E-01  -0.3700E+00   0.1994E-03
         154  -0.1220E+03   0.8288E-01  -0.4100E+00   0.1999E-03
         155  -0.1220E+03   0.8272E-01  -0.4500E+00   0.2007E-03
         156  -0.1220E+03   0.8255E-01  -0.4500E+00   0.2015E-03
         157  -0.1020E+03   0.8228E-01  -0.3700E+00   0.2016E-03
         158  -0.1140E+03   0.8208E-01  -0.5100E+00   0.2029E-03
         159  -0.1100E+03   0.8185E-01  -0.4700E+00   0.2037E-03
         160  -0.1020E+03   0.8159E-01  -0.4100E+00   0.2041E-03
         161  -0.1180E+03   0.8141E-01  -0.3700E+00   0.2041E-03
         162  -0.1180E+03   0.8123E-01  -0.3900E+00   0.2042E-03
         163  -0.1140E+03   0.8103E-01  -0.4500E+00   0.2048E-03
         164  -0.1220E+03   0.8087E-01  -0.4100E+00   0.2051E-03
         165  -0.1100E+03   0.8066E-01  -0.4100E+00   0.2054E-03
         166  -0.1260E+03   0.8053E-01  -0.6300E+00   0.2076E-03
         167  -0.1300E+03   0.8042E-01  -0.5500E+00   0.2090E-03
         168  -0.9800E+02   0.8015E-01  -0.3100E+00   0.2085E-03
         169  -0.1100E+03   0.7994E-01  -0.1700E+00   0.2075E-03
         170  -0.9800E+02   0.7967E-01  -0.2700E+00   0.2069E-03
         171  -0.1220E+03   0.7953E-01  -0.2500E+00   0.2062E-03
         172  -0.1220E+03   0.7938E-01  -0.3100E+00   0.2058E-03
         173  -0.1220E+03   0.7923E-01  -0.2700E+00   0.2052E-03
         174  -0.1180E+03   0.7906E-01  -0.2900E+00   0.2047E-03
         175  -0.1180E+03   0.7890E-01  -0.3100E+00   0.2043E-03
         176  -0.1060E+03   0.7868E-01  -0.2300E+00   0.2036E-03
         177  -0.9800E+02   0.7843E-01  -0.3300E+00   0.2033E-03
         178  -0.9000E+02   0.7815E-01  -0.5300E+00   0.2043E-03
         179  -0.1140E+03   0.7797E-01  -0.2900E+00   0.2038E-03
         180  -0.1180E+03   0.7781E-01  -0.3300E+00   0.2035E-03
         181  -0.1340E+03   0.7773E-01  -0.2900E+00   0.2030E-03
         182  -0.1180E+03   0.7757E-01  -0.3100E+00   0.2026E-03
         183  -0.1260E+03   0.7745E-01  -0.3500E+00   0.2024E-03
         184  -0.1380E+03   0.7739E-01  -0.4500E+00   0.2027E-03
         185  -0.1300E+03   0.7729E-01  -0.3700E+00   0.2026E-03
         186  -0.1300E+03   0.7719E-01  -0.3300E+00   0.2023E-03
         187  -0.1220E+03   0.7705E-01  -0.4900E+00   0.2029E-03
         188  -0.1020E+03   0.7683E-01  -0.2300E+00   0.2022E-03
         189  -0.1260E+03   0.7671E-01  -0.4300E+00   0.2024E-03
         190  -0.1260E+03   0.7659E-01  -0.4700E+00   0.2028E-03
         191  -0.1100E+03   0.7641E-01  -0.3900E+00   0.2028E-03
         192  -0.1020E+03   0.7619E-01  -0.2900E+00   0.2023E-03
         193  -0.1100E+03   0.7601E-01  -0.3900E+00   0.2023E-03
         194  -0.1100E+03   0.7583E-01  -0.3700E+00   0.2021E-03
         195  -0.9400E+02   0.7559E-01  -0.2900E+00   0.2016E-03
         196  -0.1220E+03   0.7546E-01  -0.3500E+00   0.2014E-03
         197  -0.1020E+03   0.7525E-01  -0.2500E+00   0.2008E-03
         198  -0.8200E+02   0.7499E-01  -0.9000E-01   0.1998E-03
         199  -0.9800E+02   0.7477E-01  -0.1100E+00   0.1989E-03
         200  -0.1020E+03   0.7457E-01   0.1000E-01   0.1979E-03
         201  -0.1060E+03   0.7438E-01   0.7000E-01   0.1969E-03
         202  -0.1020E+03   0.7419E-01  -0.1000E-01   0.1960E-03
         203  -0.9400E+02   0.7397E-01  -0.1700E+00   0.1952E-03
         204  -0.7800E+02   0.7370E-01  -0.5000E-01   0.1942E-03
         205  -0.1020E+03   0.7351E-01   0.3000E-01   0.1933E-03
         206  -0.1100E+03   0.7334E-01  -0.1000E-01   0.1924E-03
         207  -0.1060E+03   0.7317E-01  -0.5000E-01   0.1914E-03
         208  -0.9400E+02   0.7295E-01   0.3000E-01   0.1905E-03
         209  -0.1020E+03   0.7277E-01  -0.5000E-01   0.1896E-03
         210  -0.9000E+02   0.7255E-01  -0.7000E-01   0.1888E-03
         211  -0.9000E+02   0.7233E-01   0.1000E-01   0.1879E-03
         212  -0.1020E+03   0.7215E-01  -0.1000E-01   0.1870E-03
         213  -0.9800E+02   0.7195E-01   0.2700E+00   0.1865E-03
         214  -0.1100E+03   0.7180E-01   0.2900E+00   0.1862E-03
         215  -0.9800E+02   0.7161E-01   0.2500E+00   0.1857E-03
         216  -0.1060E+03   0.7144E-01   0.7000E-01   0.1849E-03
         217  -0.9000E+02   0.7123E-01   0.7000E-01   0.1840E-03
         218  -0.8200E+02   0.7101E-01  -0.1300E+00   0.1833E-03
         219  -0.7800E+02   0.7077E-01  -0.1500E+00   0.1826E-03
         220  -0.8600E+02   0.7056E-01  -0.9000E-01   0.1818E-03
         221  -0.9800E+02   0.7038E-01   0.1000E-01   0.1810E-03
         222  -0.1180E+03   0.7026E-01  -0.1000E-01   0.1802E-03
         223  -0.1020E+03   0.7009E-01  -0.5000E-01   0.1794E-03
         224  -0.9800E+02   0.6991E-01   0.5000E-01   0.1786E-03
         225  -0.9400E+02   0.6973E-01  -0.1300E+00   0.1779E-03
         226  -0.1100E+03   0.6959E-01  -0.5000E-01   0.1771E-03
         227  -0.9000E+02   0.6939E-01   0.1100E+00   0.1764E-03
         228  -0.8600E+02   0.6919E-01   0.2500E+00   0.1760E-03
         229  -0.9000E+02   0.6900E-01   0.2500E+00   0.1755E-03
         230  -0.1060E+03   0.6885E-01   0.3300E+00   0.1754E-03
         231  -0.9800E+02   0.6868E-01   0.1700E+00   0.1748E-03
         232  -0.9000E+02   0.6850E-01   0.2300E+00   0.1743E-03
         233  -0.9400E+02   0.6832E-01   0.1500E+00   0.1737E-03
         234  -0.1060E+03   0.6818E-01   0.3100E+00   0.1735E-03
         235  -0.1020E+03   0.6802E-01   0.2300E+00   0.1730E-03
         236  -0.1060E+03   0.6788E-01   0.2900E+00   0.1727E-03
         237  -0.9400E+02   0.6771E-01   0.3100E+00   0.1725E-03
         238  -0.9000E+02   0.6753E-01   0.2900E+00   0.1722E-03
         239  -0.9800E+02   0.6737E-01   0.1100E+00   0.1715E-03
         240  -0.1020E+03   0.6723E-01   0.1100E+00   0.1709E-03
         241  -0.1020E+03   0.6708E-01   0.1100E+00   0.1702E-03
         242  -0.8600E+02   0.6690E-01   0.1100E+00   0.1696E-03
         243  -0.1060E+03   0.6676E-01   0.2500E+00   0.1692E-03
         244  -0.1100E+03   0.6664E-01   0.3700E+00   0.1692E-03
         245  -0.9000E+02   0.6647E-01   0.2700E+00   0.1689E-03
         246  -0.8600E+02   0.6629E-01   0.2500E+00   0.1685E-03
         247  -0.7400E+02   0.6609E-01   0.3100E+00   0.1683E-03
         248  -0.9400E+02   0.6593E-01   0.4700E+00   0.1687E-03
         249  -0.9400E+02   0.6577E-01   0.5100E+00   0.1693E-03
         250  -0.8600E+02   0.6560E-01   0.3500E+00   0.1692E-03
         251  -0.7000E+02   0.6540E-01   0.3700E+00   0.1692E-03
         252  -0.1140E+03   0.6529E-01   0.4100E+00   0.1693E-03
         253  -0.1300E+03   0.6524E-01   0.5100E+00   0.1698E-03
         254  -0.1180E+03   0.6514E-01   0.4700E+00   0.1702E-03
         255  -0.1100E+03   0.6503E-01   0.3500E+00   0.1701E-03
         256  -0.9800E+02   0.6489E-01   0.4100E+00   0.1702E-03
         257  -0.1100E+03   0.6477E-01   0.4900E+00   0.1706E-03
         258  -0.1020E+03   0.6464E-01   0.4100E+00   0.1706E-03
         259  -0.9000E+02   0.6449E-01   0.3700E+00   0.1706E-03
         260  -0.9000E+02   0.6433E-01   0.2300E+00   0.1702E-03
         261  -0.7800E+02   0.6415E-01   0.1700E+00   0.1696E-03
         262  -0.7800E+02   0.6398E-01   0.3100E+00   0.1694E-03
         263  -0.9400E+02   0.6383E-01   0.3500E+00   0.1693E-03
         264  -0.9000E+02   0.6368E-01   0.3700E+00   0.1692E-03
         265  -0.1020E+03   0.6356E-01   0.4300E+00   0.1694E-03
