    tau_corr   autocorr_U   autocorr_M
           1   0.7257E+00   0.8051E+00
           2   0.6365E+00   0.7212E+00
           3   0.5734E+00   0.6597E+00
           4   0.5300E+00   0.6151E+00
           5   0.4894E+00   0.5750E+00
           6   0.4572E+00   0.5426E+00
           7   0.4265E+00   0.5120E+00
           8   0.3990E+00   0.4846E+00
           9   0.3729E+00   0.4593E+00
          10   0.3487E+00   0.4359E+00
          11   0.3255E+00   0.4134E+00
          12   0.3041E+00   0.3930E+00
          13   0.2829E+00   0.3733E+00
          14   0.2647E+00   0.3560E+00
          15   0.2479E+00   0.3399E+00
          16   0.2322E+00   0.3248E+00
          17   0.2167E+00   0.3102E+00
          18   0.2030E+00   0.2970E+00
          19   0.1911E+00   0.2847E+00
          20   0.1791E+00   0.2732E+00
          21   0.1683E+00   0.2625E+00
          22   0.1585E+00   0.2534E+00
          23   0.1506E+00   0.2457E+00
          24   0.1445E+00   0.2393E+00
          25   0.1388E+00   0.2329E+00
          26   0.1340E+00   0.2274E+00
          27   0.1299E+00   0.2226E+00
          28   0.1256E+00   0.2178E+00
          29   0.1232E+00   0.2150E+00
          30   0.1216E+00   0.2120E+00
          31   0.1194E+00   0.2090E+00
          32   0.1171E+00   0.2059E+00
          33   0.1145E+00   0.2028E+00
          34   0.1113E+00   0.1996E+00
          35   0.1090E+00   0.1972E+00
          36   0.1065E+00   0.1940E+00
          37   0.1055E+00   0.1928E+00
          38   0.1044E+00   0.1910E+00
          39   0.1035E+00   0.1894E+00
          40   0.1027E+00   0.1881E+00
          41   0.1006E+00   0.1859E+00
          42   0.9776E-01   0.1835E+00
          43   0.9643E-01   0.1817E+00
          44   0.9548E-01   0.1805E+00
          45   0.9413E-01   0.1787E+00
          46   0.9316E-01   0.1772E+00
          47   0.9326E-01   0.1764E+00
          48   0.9350E-01   0.1758E+00
          49   0.9247E-01   0.1747E+00
          50   0.9037E-01   0.1731E+00
          51   0.8904E-01   0.1717E+00
          52   0.8888E-01   0.1710E+00
          53   0.8938E-01   0.1706E+00
          54   0.9031E-01   0.1704E+00
          55   0.9061E-01   0.1706E+00
          56   0.9087E-01   0.1704E+00
          57   0.9236E-01   0.1708E+00
          58   0.9329E-01   0.1708E+00
          59   0.9431E-01   0.1710E+00
          60   0.9489E-01   0.1713E+00
          61   0.9488E-01   0.1708E+00
          62   0.9437E-01   0.1697E+00
          63   0.9334E-01   0.1690E+00
          64   0.9338E-01   0.1688E+00
          65   0.9258E-01   0.1680E+00
          66   0.9105E-01   0.1666E+00
          67   0.9054E-01   0.1661E+00
          68   0.9070E-01   0.1663E+00
          69   0.9104E-01   0.1664E+00
