    tau_corr   autocorr_U   autocorr_M
           1   0.7672E+00   0.9432E+00
           2   0.6604E+00   0.9067E+00
           3   0.6051E+00   0.8792E+00
           4   0.5392E+00   0.8508E+00
           5   0.4847E+00   0.8246E+00
           6   0.4460E+00   0.8018E+00
           7   0.4079E+00   0.7799E+00
           8   0.3901E+00   0.7620E+00
           9   0.3645E+00   0.7437E+00
          10   0.3359E+00   0.7255E+00
          11   0.3250E+00   0.7108E+00
          12   0.3103E+00   0.6962E+00
          13   0.2913E+00   0.6813E+00
          14   0.2808E+00   0.6684E+00
          15   0.2699E+00   0.6560E+00
          16   0.2596E+00   0.6441E+00
          17   0.2507E+00   0.6328E+00
          18   0.2376E+00   0.6212E+00
          19   0.2309E+00   0.6110E+00
          20   0.2272E+00   0.6016E+00
          21   0.2188E+00   0.5918E+00
          22   0.2096E+00   0.5822E+00
          23   0.2042E+00   0.5735E+00
          24   0.2013E+00   0.5654E+00
          25   0.1964E+00   0.5573E+00
          26   0.1892E+00   0.5490E+00
          27   0.1843E+00   0.5413E+00
          28   0.1809E+00   0.5341E+00
          29   0.1771E+00   0.5270E+00
          30   0.1729E+00   0.5201E+00
          31   0.1683E+00   0.5132E+00
          32   0.1651E+00   0.5067E+00
          33   0.1626E+00   0.5004E+00
          34   0.1583E+00   0.4941E+00
          35   0.1557E+00   0.4882E+00
          36   0.1537E+00   0.4825E+00
          37   0.1501E+00   0.4767E+00
          38   0.1477E+00   0.4712E+00
          39   0.1457E+00   0.4659E+00
          40   0.1433E+00   0.4607E+00
          41   0.1409E+00   0.4556E+00
          42   0.1381E+00   0.4504E+00
          43   0.1356E+00   0.4455E+00
          44   0.1338E+00   0.4408E+00
          45   0.1316E+00   0.4360E+00
          46   0.1291E+00   0.4313E+00
          47   0.1269E+00   0.4268E+00
          48   0.1250E+00   0.4224E+00
          49   0.1233E+00   0.4182E+00
          50   0.1212E+00   0.4139E+00
          51   0.1192E+00   0.4098E+00
          52   0.1175E+00   0.4058E+00
          53   0.1161E+00   0.4019E+00
          54   0.1146E+00   0.3980E+00
          55   0.1133E+00   0.3943E+00
          56   0.1119E+00   0.3907E+00
          57   0.1104E+00   0.3871E+00
          58   0.1089E+00   0.3837E+00
          59   0.1075E+00   0.3803E+00
          60   0.1064E+00   0.3769E+00
          61   0.1051E+00   0.3736E+00
          62   0.1037E+00   0.3703E+00
          63   0.1024E+00   0.3671E+00
          64   0.1010E+00   0.3639E+00
          65   0.9978E-01   0.3607E+00
          66   0.9882E-01   0.3577E+00
          67   0.9749E-01   0.3547E+00
          68   0.9664E-01   0.3518E+00
          69   0.9562E-01   0.3490E+00
          70   0.9457E-01   0.3462E+00
          71   0.9373E-01   0.3435E+00
          72   0.9322E-01   0.3407E+00
          73   0.9217E-01   0.3380E+00
          74   0.9132E-01   0.3353E+00
          75   0.9031E-01   0.3327E+00
          76   0.8992E-01   0.3301E+00
          77   0.8930E-01   0.3277E+00
          78   0.8849E-01   0.3252E+00
          79   0.8779E-01   0.3227E+00
          80   0.8702E-01   0.3203E+00
          81   0.8636E-01   0.3179E+00
          82   0.8566E-01   0.3154E+00
          83   0.8494E-01   0.3131E+00
          84   0.8436E-01   0.3109E+00
          85   0.8333E-01   0.3086E+00
          86   0.8310E-01   0.3065E+00
          87   0.8236E-01   0.3043E+00
          88   0.8182E-01   0.3021E+00
          89   0.8123E-01   0.3000E+00
          90   0.8122E-01   0.2980E+00
          91   0.8088E-01   0.2959E+00
          92   0.8053E-01   0.2939E+00
          93   0.8026E-01   0.2918E+00
          94   0.7960E-01   0.2899E+00
          95   0.7900E-01   0.2879E+00
          96   0.7862E-01   0.2859E+00
          97   0.7843E-01   0.2840E+00
          98   0.7780E-01   0.2821E+00
          99   0.7711E-01   0.2802E+00
         100   0.7647E-01   0.2783E+00
         101   0.7620E-01   0.2765E+00
         102   0.7568E-01   0.2747E+00
         103   0.7524E-01   0.2729E+00
         104   0.7484E-01   0.2712E+00
         105   0.7441E-01   0.2695E+00
         106   0.7418E-01   0.2677E+00
         107   0.7332E-01   0.2659E+00
         108   0.7281E-01   0.2642E+00
         109   0.7236E-01   0.2624E+00
         110   0.7211E-01   0.2608E+00
         111   0.7190E-01   0.2592E+00
         112   0.7183E-01   0.2577E+00
         113   0.7115E-01   0.2561E+00
         114   0.7031E-01   0.2545E+00
         115   0.7007E-01   0.2530E+00
         116   0.6965E-01   0.2514E+00
         117   0.6940E-01   0.2499E+00
         118   0.6907E-01   0.2485E+00
         119   0.6853E-01   0.2470E+00
         120   0.6789E-01   0.2455E+00
         121   0.6730E-01   0.2440E+00
         122   0.6684E-01   0.2426E+00
         123   0.6646E-01   0.2412E+00
         124   0.6598E-01   0.2398E+00
         125   0.6546E-01   0.2384E+00
         126   0.6519E-01   0.2370E+00
         127   0.6504E-01   0.2357E+00
         128   0.6468E-01   0.2344E+00
         129   0.6412E-01   0.2331E+00
         130   0.6393E-01   0.2319E+00
         131   0.6322E-01   0.2307E+00
         132   0.6280E-01   0.2294E+00
         133   0.6256E-01   0.2282E+00
         134   0.6237E-01   0.2271E+00
         135   0.6226E-01   0.2260E+00
         136   0.6190E-01   0.2249E+00
         137   0.6145E-01   0.2237E+00
         138   0.6141E-01   0.2226E+00
         139   0.6103E-01   0.2215E+00
         140   0.6089E-01   0.2204E+00
         141   0.6038E-01   0.2192E+00
         142   0.6021E-01   0.2181E+00
         143   0.5977E-01   0.2170E+00
         144   0.5944E-01   0.2160E+00
         145   0.5910E-01   0.2150E+00
         146   0.5875E-01   0.2140E+00
         147   0.5886E-01   0.2132E+00
         148   0.5859E-01   0.2123E+00
         149   0.5850E-01   0.2113E+00
         150   0.5823E-01   0.2103E+00
         151   0.5797E-01   0.2093E+00
         152   0.5754E-01   0.2082E+00
         153   0.5710E-01   0.2072E+00
         154   0.5726E-01   0.2063E+00
         155   0.5673E-01   0.2053E+00
