        T/Tc        U_med      U_error        M_med      M_error       Mexact           cv         susc
  0.0000E+00  -0.1940E+04          NaN   0.6250E-02   0.2936E-10   0.1000E+01   0.0000E+00   0.0000E+00
  0.2083E-01  -0.3200E+04          NaN   0.1000E+01   0.0000E+00   0.1000E+01          NaN   0.0000E+00
  0.4167E-01  -0.3200E+04          NaN   0.1000E+01   0.0000E+00   0.1000E+01          NaN   0.0000E+00
  0.6250E-01  -0.3200E+04          NaN  -0.1000E+01   0.0000E+00   0.1000E+01          NaN   0.0000E+00
  0.8333E-01  -0.3200E+04          NaN  -0.1000E+01   0.0000E+00   0.1000E+01          NaN   0.0000E+00
  0.1042E+00  -0.3200E+04          NaN   0.1000E+01   0.0000E+00   0.1000E+01          NaN   0.0000E+00
  0.1250E+00  -0.3200E+04          NaN   0.1000E+01   0.0000E+00   0.1000E+01          NaN   0.0000E+00
  0.1458E+00  -0.3200E+04          NaN   0.1000E+01   0.0000E+00   0.1000E+01          NaN   0.0000E+00
  0.1667E+00  -0.3200E+04          NaN  -0.1000E+01   0.0000E+00   0.1000E+01          NaN   0.0000E+00
  0.1875E+00  -0.3200E+04          NaN  -0.1000E+01   0.0000E+00   0.1000E+01          NaN   0.0000E+00
  0.2083E+00  -0.3039E+04   0.1123E-01   0.1836E+00   0.2152E-03   0.1000E+01   0.8012E+01   0.2941E-02
  0.2292E+00  -0.3200E+04   0.1250E-02  -0.1000E+01   0.1954E-06   0.1000E+01   0.9025E-01   0.2203E-08
  0.2500E+00  -0.3037E+04   0.1880E-01  -0.1642E+00   0.2169E-03   0.1000E+01   0.1871E+02   0.2490E-02
  0.2708E+00  -0.3035E+04   0.2396E-01   0.7567E-01   0.4324E-03   0.1000E+01   0.2805E+02   0.9135E-02
  0.2917E+00  -0.3200E+04   0.3447E-02   0.1000E+01   0.5387E-06   0.1000E+01   0.5391E+00   0.1316E-07
  0.3125E+00  -0.3200E+04   0.4976E-02  -0.1000E+01   0.7774E-06   0.1000E+01   0.1048E+01   0.2559E-07
  0.3333E+00  -0.3200E+04   0.7239E-02  -0.1000E+01   0.1134E-05   0.9999E+00   0.2080E+01   0.5102E-07
  0.3542E+00  -0.3200E+04   0.9406E-02  -0.9999E+00   0.1474E-05   0.9999E+00   0.3305E+01   0.8114E-07
  0.3750E+00  -0.3199E+04   0.1220E-01  -0.9999E+00   0.1918E-05   0.9998E+00   0.5253E+01   0.1298E-06
  0.3958E+00  -0.3199E+04   0.1758E-01  -0.9998E+00   0.2789E-05   0.9997E+00   0.1033E+02   0.2600E-06
  0.4167E+00  -0.3198E+04   0.2185E-01  -0.9997E+00   0.3480E-05   0.9996E+00   0.1515E+02   0.3846E-06
  0.4375E+00  -0.3197E+04   0.2765E-01  -0.9996E+00   0.4455E-05   0.9993E+00   0.2311E+02   0.6002E-06
  0.4583E+00  -0.3196E+04   0.3395E-01   0.9994E+00   0.5507E-05   0.9990E+00   0.3326E+02   0.8754E-06
  0.4792E+00  -0.3194E+04   0.4228E-01   0.9990E+00   0.6908E-05   0.9986E+00   0.4935E+02   0.1318E-05
