    tau_corr   autocorr_U   autocorr_M
           1   0.7744E+00   0.8927E+00
           2   0.6855E+00   0.8352E+00
           3   0.6232E+00   0.7907E+00
           4   0.5764E+00   0.7544E+00
           5   0.5358E+00   0.7222E+00
           6   0.5010E+00   0.6935E+00
           7   0.4693E+00   0.6672E+00
           8   0.4404E+00   0.6429E+00
           9   0.4136E+00   0.6201E+00
          10   0.3890E+00   0.5988E+00
          11   0.3650E+00   0.5783E+00
          12   0.3429E+00   0.5591E+00
          13   0.3217E+00   0.5406E+00
          14   0.3019E+00   0.5233E+00
          15   0.2833E+00   0.5068E+00
          16   0.2660E+00   0.4911E+00
          17   0.2492E+00   0.4759E+00
          18   0.2342E+00   0.4617E+00
          19   0.2212E+00   0.4481E+00
          20   0.2079E+00   0.4348E+00
          21   0.1932E+00   0.4213E+00
          22   0.1804E+00   0.4088E+00
          23   0.1691E+00   0.3970E+00
          24   0.1594E+00   0.3861E+00
          25   0.1505E+00   0.3760E+00
          26   0.1427E+00   0.3665E+00
          27   0.1359E+00   0.3575E+00
          28   0.1297E+00   0.3489E+00
          29   0.1243E+00   0.3409E+00
          30   0.1195E+00   0.3333E+00
          31   0.1152E+00   0.3260E+00
          32   0.1107E+00   0.3189E+00
          33   0.1054E+00   0.3118E+00
          34   0.1009E+00   0.3051E+00
          35   0.9756E-01   0.2990E+00
          36   0.9479E-01   0.2933E+00
          37   0.9283E-01   0.2880E+00
          38   0.9139E-01   0.2829E+00
          39   0.8900E-01   0.2777E+00
          40   0.8483E-01   0.2719E+00
          41   0.7926E-01   0.2657E+00
          42   0.7441E-01   0.2600E+00
          43   0.7078E-01   0.2547E+00
          44   0.6792E-01   0.2500E+00
          45   0.6549E-01   0.2456E+00
          46   0.6337E-01   0.2414E+00
          47   0.6157E-01   0.2374E+00
          48   0.5926E-01   0.2334E+00
          49   0.5687E-01   0.2295E+00
          50   0.5484E-01   0.2256E+00
          51   0.5294E-01   0.2220E+00
          52   0.5180E-01   0.2186E+00
          53   0.5099E-01   0.2154E+00
          54   0.5033E-01   0.2125E+00
          55   0.5032E-01   0.2097E+00
          56   0.5083E-01   0.2073E+00
          57   0.5183E-01   0.2052E+00
          58   0.5264E-01   0.2032E+00
          59   0.5266E-01   0.2009E+00
          60   0.5043E-01   0.1979E+00
          61   0.4776E-01   0.1946E+00
          62   0.4522E-01   0.1914E+00
          63   0.4332E-01   0.1885E+00
          64   0.4110E-01   0.1856E+00
          65   0.3847E-01   0.1825E+00
          66   0.3615E-01   0.1797E+00
          67   0.3465E-01   0.1771E+00
          68   0.3320E-01   0.1747E+00
          69   0.3264E-01   0.1727E+00
          70   0.3211E-01   0.1706E+00
          71   0.3215E-01   0.1687E+00
          72   0.3202E-01   0.1669E+00
          73   0.3284E-01   0.1655E+00
          74   0.3337E-01   0.1642E+00
          75   0.3462E-01   0.1632E+00
          76   0.3613E-01   0.1622E+00
          77   0.3726E-01   0.1611E+00
          78   0.3861E-01   0.1600E+00
          79   0.3830E-01   0.1583E+00
          80   0.3517E-01   0.1556E+00
          81   0.3141E-01   0.1527E+00
          82   0.2819E-01   0.1501E+00
          83   0.2600E-01   0.1476E+00
          84   0.2442E-01   0.1455E+00
          85   0.2316E-01   0.1435E+00
          86   0.2238E-01   0.1418E+00
          87   0.2226E-01   0.1404E+00
          88   0.2211E-01   0.1391E+00
          89   0.2213E-01   0.1378E+00
          90   0.2258E-01   0.1367E+00
          91   0.2349E-01   0.1358E+00
          92   0.2466E-01   0.1351E+00
          93   0.2584E-01   0.1345E+00
          94   0.2661E-01   0.1337E+00
          95   0.2775E-01   0.1329E+00
          96   0.2829E-01   0.1319E+00
          97   0.2859E-01   0.1312E+00
          98   0.2844E-01   0.1302E+00
          99   0.2717E-01   0.1286E+00
         100   0.2462E-01   0.1267E+00
         101   0.2246E-01   0.1246E+00
         102   0.2049E-01   0.1229E+00
         103   0.1890E-01   0.1214E+00
         104   0.1787E-01   0.1201E+00
         105   0.1728E-01   0.1189E+00
         106   0.1686E-01   0.1179E+00
         107   0.1703E-01   0.1171E+00
         108   0.1711E-01   0.1164E+00
         109   0.1754E-01   0.1157E+00
         110   0.1773E-01   0.1151E+00
         111   0.1810E-01   0.1143E+00
         112   0.1820E-01   0.1137E+00
         113   0.1795E-01   0.1130E+00
         114   0.1880E-01   0.1126E+00
         115   0.1992E-01   0.1123E+00
         116   0.2117E-01   0.1119E+00
         117   0.2204E-01   0.1114E+00
         118   0.2257E-01   0.1106E+00
         119   0.2189E-01   0.1096E+00
         120   0.1977E-01   0.1080E+00
         121   0.1803E-01   0.1067E+00
         122   0.1651E-01   0.1052E+00
         123   0.1570E-01   0.1040E+00
         124   0.1534E-01   0.1031E+00
         125   0.1499E-01   0.1023E+00
         126   0.1475E-01   0.1013E+00
         127   0.1419E-01   0.1004E+00
         128   0.1374E-01   0.9968E-01
         129   0.1354E-01   0.9897E-01
         130   0.1386E-01   0.9856E-01
         131   0.1424E-01   0.9808E-01
         132   0.1515E-01   0.9766E-01
         133   0.1596E-01   0.9744E-01
         134   0.1701E-01   0.9724E-01
         135   0.1823E-01   0.9708E-01
         136   0.1928E-01   0.9699E-01
         137   0.2006E-01   0.9660E-01
         138   0.2042E-01   0.9604E-01
         139   0.1988E-01   0.9537E-01
         140   0.1821E-01   0.9426E-01
         141   0.1701E-01   0.9325E-01
         142   0.1579E-01   0.9227E-01
         143   0.1459E-01   0.9138E-01
         144   0.1339E-01   0.9054E-01
         145   0.1243E-01   0.8958E-01
         146   0.1161E-01   0.8874E-01
         147   0.1166E-01   0.8836E-01
         148   0.1218E-01   0.8812E-01
         149   0.1264E-01   0.8779E-01
         150   0.1349E-01   0.8769E-01
         151   0.1410E-01   0.8762E-01
         152   0.1499E-01   0.8760E-01
         153   0.1614E-01   0.8762E-01
         154   0.1713E-01   0.8756E-01
         155   0.1836E-01   0.8763E-01
         156   0.1947E-01   0.8777E-01
         157   0.2045E-01   0.8772E-01
         158   0.2030E-01   0.8723E-01
         159   0.1840E-01   0.8613E-01
         160   0.1575E-01   0.8466E-01
         161   0.1398E-01   0.8353E-01
         162   0.1262E-01   0.8241E-01
         163   0.1166E-01   0.8157E-01
         164   0.1071E-01   0.8088E-01
         165   0.1033E-01   0.8024E-01
         166   0.1054E-01   0.7993E-01
         167   0.1103E-01   0.7986E-01
         168   0.1167E-01   0.7963E-01
         169   0.1205E-01   0.7935E-01
         170   0.1274E-01   0.7930E-01
         171   0.1374E-01   0.7937E-01
         172   0.1519E-01   0.7959E-01
