        T/Tc        U_med      U_error        M_med      M_error       Mexact           cv         susc       Binder
  0.0000E+00  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.0000E+00   0.0000E+00   0.6667E+00
  0.1020E-01  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.1106E+13   0.1918E-28   0.6667E+00
  0.2041E-01  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.5530E+12   0.9589E-29   0.6667E+00
  0.3061E-01  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.3687E+12   0.6392E-29   0.6667E+00
  0.4082E-01  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.2765E+12   0.4794E-29   0.6667E+00
  0.5102E-01  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.2212E+12   0.3835E-29   0.6667E+00
  0.6122E-01  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.1843E+12   0.3196E-29   0.6667E+00
  0.7143E-01  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.1580E+12   0.2740E-29   0.6667E+00
  0.8163E-01  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.1383E+12   0.2397E-29   0.6667E+00
  0.9184E-01  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.1229E+12   0.2131E-29   0.6667E+00
  0.1020E+00  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.1106E+12   0.1918E-29   0.6667E+00
  0.1122E+00  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.1006E+12   0.1743E-29   0.6667E+00
  0.1224E+00  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.9217E+11   0.1598E-29   0.6667E+00
  0.1327E+00  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.8508E+11   0.1475E-29   0.6667E+00
  0.1429E+00  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.7901E+11   0.1370E-29   0.6667E+00
  0.1531E+00  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.7374E+11   0.1278E-29   0.6667E+00
  0.1633E+00  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.6913E+11   0.1199E-29   0.6667E+00
  0.1735E+00  -0.3200E+04   0.6788E-04   0.1000E+01   0.1061E-07   0.1000E+01   0.6506E+11   0.1430E-13   0.6667E+00
  0.1837E+00  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.6145E+11   0.1065E-29   0.6667E+00
  0.1939E+00  -0.3200E+04   0.5145E-12   0.1000E+01   0.9421E-16   0.1000E+01   0.5821E+11   0.1009E-29   0.6667E+00
  0.2041E+00  -0.3200E+04   0.6788E-04   0.1000E+01   0.1061E-07   0.1000E+01   0.5530E+11   0.1215E-13   0.6667E+00
  0.2143E+00  -0.3200E+04   0.6788E-04   0.1000E+01   0.1061E-07   0.1000E+01   0.5267E+11   0.1158E-13   0.6667E+00
  0.2245E+00  -0.3200E+04   0.6788E-04   0.1000E+01   0.1061E-07   0.1000E+01   0.5028E+11   0.1105E-13   0.6667E+00
  0.2347E+00  -0.3200E+04   0.2750E-03   0.1000E+01   0.4296E-07   0.1000E+01   0.4809E+11   0.1734E-12   0.6667E+00
  0.2449E+00  -0.3200E+04   0.5519E-03   0.1000E+01   0.8623E-07   0.1000E+01   0.4609E+11   0.6695E-12   0.6667E+00
  0.2551E+00  -0.3200E+04   0.8765E-03   0.1000E+01   0.1370E-06   0.1000E+01   0.4424E+11   0.1621E-11   0.6667E+00
  0.2653E+00  -0.3200E+04   0.1085E-02   0.1000E+01   0.1695E-06   0.1000E+01   0.4254E+11   0.2388E-11   0.6667E+00
  0.2755E+00  -0.3200E+04   0.1490E-02   0.1000E+01   0.2328E-06   0.1000E+01   0.4097E+11   0.4339E-11   0.6667E+00
  0.2857E+00  -0.3200E+04   0.2378E-02   0.1000E+01   0.3716E-06   0.1000E+01   0.3950E+11   0.1066E-10   0.6667E+00
  0.2959E+00  -0.3200E+04   0.1934E-02   0.1000E+01   0.3022E-06   0.1000E+01   0.3814E+11   0.6806E-11   0.6667E+00
  0.3061E+00  -0.3200E+04   0.3078E-02   0.1000E+01   0.4806E-06   0.1000E+01   0.3687E+11   0.1663E-10   0.6667E+00
  0.3163E+00  -0.3200E+04   0.3679E-02   0.1000E+01   0.5767E-06   0.1000E+01   0.3568E+11   0.2319E-10   0.6667E+00
  0.3265E+00  -0.3200E+04   0.4892E-02   0.1000E+01   0.7649E-06   0.1000E+01   0.3456E+11   0.3950E-10   0.6667E+00
  0.3367E+00  -0.3200E+04   0.5915E-02   0.1000E+01   0.9281E-06   0.9999E+00   0.3351E+11   0.5641E-10   0.6667E+00
  0.3469E+00  -0.3200E+04   0.7660E-02   0.1000E+01   0.1203E-05   0.9999E+00   0.3253E+11   0.9191E-10   0.6667E+00
  0.3571E+00  -0.3200E+04   0.9437E-02   0.1000E+01   0.1484E-05   0.9999E+00   0.3160E+11   0.1360E-09   0.6667E+00
  0.3673E+00  -0.3200E+04   0.9175E-02   0.1000E+01   0.1445E-05   0.9999E+00   0.3072E+11   0.1253E-09   0.6667E+00
  0.3776E+00  -0.3200E+04   0.1676E-01   0.1000E+01   0.2633E-05   0.9998E+00   0.2988E+11   0.4049E-09   0.6667E+00
  0.3878E+00  -0.3200E+04   0.1829E-01   0.1000E+01   0.2884E-05   0.9998E+00   0.2909E+11   0.4731E-09   0.6667E+00
  0.3980E+00  -0.3199E+04   0.7761E-01   0.1000E+01   0.1212E-04   0.9997E+00   0.2834E+11   0.8133E-08   0.6667E+00
  0.4082E+00  -0.3199E+04   0.1456E-01   0.9999E+00   0.2300E-05   0.9996E+00   0.2763E+11   0.2858E-09   0.6667E+00
  0.4184E+00  -0.3199E+04   0.2542E-01   0.9999E+00   0.4031E-05   0.9995E+00   0.2695E+11   0.8565E-09   0.6667E+00
  0.4286E+00  -0.3199E+04   0.3622E-01   0.9998E+00   0.5720E-05   0.9994E+00   0.2630E+11   0.1683E-08   0.6667E+00
  0.4388E+00  -0.3198E+04   0.5928E-01   0.9997E+00   0.9266E-05   0.9993E+00   0.2568E+11   0.4314E-08   0.6667E+00
  0.4490E+00  -0.3197E+04   0.3177E-01   0.9997E+00   0.5066E-05   0.9992E+00   0.2509E+11   0.1260E-08   0.6667E+00
  0.4592E+00  -0.3197E+04   0.4427E-01   0.9995E+00   0.7029E-05   0.9990E+00   0.2452E+11   0.2373E-08   0.6667E+00
  0.4694E+00  -0.3196E+04   0.4699E-01   0.9994E+00   0.7604E-05   0.9988E+00   0.2397E+11   0.2717E-08   0.6667E+00
  0.4796E+00  -0.3195E+04   0.2496E+00   0.9993E+00   0.3989E-04   0.9986E+00   0.2346E+11   0.7314E-07   0.6667E+00
  0.4898E+00  -0.3196E+04   0.4703E+00   0.9994E+00   0.7544E-04   0.9983E+00   0.2298E+11   0.2562E-06   0.6667E+00
  0.5000E+00  -0.3192E+04   0.4677E-01   0.9988E+00   0.7837E-05   0.9980E+00   0.2246E+11   0.2709E-08   0.6667E+00
  0.5000E+00  -0.3192E+04   0.1502E+00   0.9988E+00   0.2361E-04   0.9980E+00   0.2246E+11   0.2459E-07   0.6667E+00
  0.5101E+00  -0.3191E+04   0.1373E+00   0.9985E+00   0.2096E-04   0.9977E+00   0.2199E+11   0.1898E-07   0.6667E+00
  0.5202E+00  -0.3189E+04   0.1536E+00   0.9983E+00   0.2492E-04   0.9974E+00   0.2154E+11   0.2631E-07   0.6667E+00
  0.5303E+00  -0.3187E+04   0.9162E-01   0.9980E+00   0.1512E-04   0.9970E+00   0.2111E+11   0.9502E-08   0.6667E+00
  0.5404E+00  -0.3185E+04   0.6614E-01   0.9976E+00   0.1112E-04   0.9965E+00   0.2068E+11   0.5044E-08   0.6667E+00
  0.5505E+00  -0.3183E+04   0.2248E+00   0.9972E+00   0.3694E-04   0.9961E+00   0.2027E+11   0.5466E-07   0.6667E+00
  0.5606E+00  -0.3180E+04   0.1936E+00   0.9968E+00   0.3313E-04   0.9955E+00   0.1988E+11   0.4316E-07   0.6667E+00
  0.5707E+00  -0.3177E+04   0.3605E+00   0.9964E+00   0.6000E-04   0.9949E+00   0.1949E+11   0.1391E-06   0.6667E+00
  0.5808E+00  -0.3174E+04   0.2077E+00   0.9958E+00   0.3674E-04   0.9943E+00   0.1911E+11   0.5124E-07   0.6667E+00
  0.5909E+00  -0.3170E+04   0.1362E+00   0.9952E+00   0.2345E-04   0.9936E+00   0.1874E+11   0.2051E-07   0.6667E+00
  0.6010E+00  -0.3166E+04   0.2340E+00   0.9945E+00   0.3634E-04   0.9928E+00   0.1838E+11   0.4846E-07   0.6667E+00
  0.6111E+00  -0.3163E+04   0.7248E-01   0.9938E+00   0.1635E-04   0.9920E+00   0.1804E+11   0.9649E-08   0.6667E+00
