    tau_corr   autocorr_U   autocorr_M
           1   0.6868E+00   0.8466E+00
           2   0.5895E+00   0.7658E+00
           3   0.5305E+00   0.7062E+00
           4   0.4899E+00   0.6587E+00
           5   0.4587E+00   0.6187E+00
           6   0.4339E+00   0.5844E+00
           7   0.4125E+00   0.5545E+00
           8   0.3939E+00   0.5281E+00
           9   0.3769E+00   0.5038E+00
          10   0.3618E+00   0.4818E+00
          11   0.3479E+00   0.4618E+00
          12   0.3356E+00   0.4433E+00
          13   0.3237E+00   0.4260E+00
          14   0.3121E+00   0.4100E+00
          15   0.3010E+00   0.3948E+00
          16   0.2908E+00   0.3809E+00
          17   0.2809E+00   0.3678E+00
          18   0.2715E+00   0.3557E+00
          19   0.2624E+00   0.3439E+00
          20   0.2537E+00   0.3323E+00
          21   0.2450E+00   0.3215E+00
          22   0.2364E+00   0.3111E+00
          23   0.2283E+00   0.3011E+00
          24   0.2198E+00   0.2917E+00
          25   0.2117E+00   0.2822E+00
          26   0.2041E+00   0.2732E+00
          27   0.1960E+00   0.2643E+00
          28   0.1878E+00   0.2556E+00
          29   0.1809E+00   0.2471E+00
          30   0.1738E+00   0.2393E+00
          31   0.1671E+00   0.2314E+00
          32   0.1604E+00   0.2240E+00
          33   0.1536E+00   0.2166E+00
          34   0.1469E+00   0.2097E+00
          35   0.1408E+00   0.2031E+00
          36   0.1347E+00   0.1966E+00
          37   0.1286E+00   0.1902E+00
          38   0.1230E+00   0.1838E+00
          39   0.1177E+00   0.1778E+00
          40   0.1128E+00   0.1719E+00
          41   0.1079E+00   0.1664E+00
          42   0.1031E+00   0.1610E+00
          43   0.9853E-01   0.1557E+00
          44   0.9408E-01   0.1508E+00
          45   0.8962E-01   0.1458E+00
          46   0.8597E-01   0.1411E+00
          47   0.8232E-01   0.1365E+00
          48   0.7887E-01   0.1321E+00
          49   0.7590E-01   0.1280E+00
          50   0.7333E-01   0.1240E+00
          51   0.7034E-01   0.1199E+00
          52   0.6776E-01   0.1159E+00
          53   0.6574E-01   0.1120E+00
          54   0.6314E-01   0.1082E+00
          55   0.6132E-01   0.1049E+00
          56   0.5931E-01   0.1017E+00
          57   0.5707E-01   0.9882E-01
          58   0.5540E-01   0.9613E-01
          59   0.5325E-01   0.9333E-01
          60   0.5121E-01   0.9039E-01
          61   0.4990E-01   0.8786E-01
          62   0.4822E-01   0.8527E-01
          63   0.4710E-01   0.8286E-01
          64   0.4537E-01   0.8062E-01
          65   0.4445E-01   0.7837E-01
