     MC_step       U_adim       M_adim
         159  -0.4492E+04   0.1762E+00
         160  -0.4412E+04   0.1775E+00
         161  -0.4396E+04   0.7250E-01
         162  -0.4388E+04   0.1050E+00
         163  -0.4320E+04   0.1000E-01
         164  -0.4268E+04   0.7125E-01
         165  -0.4344E+04   0.1288E+00
         166  -0.4332E+04   0.6625E-01
         167  -0.4340E+04   0.1000E+00
         168  -0.4396E+04   0.1050E+00
         169  -0.4376E+04   0.1512E+00
         170  -0.4484E+04   0.1875E+00
         171  -0.4360E+04   0.1775E+00
         172  -0.4256E+04   0.1237E+00
         173  -0.4268E+04   0.1375E+00
         174  -0.4356E+04   0.1525E+00
         175  -0.4228E+04   0.1575E+00
         176  -0.4236E+04   0.1400E+00
         177  -0.4200E+04   0.1113E+00
         178  -0.4204E+04   0.9125E-01
         179  -0.4160E+04   0.1400E+00
         180  -0.4232E+04   0.3875E-01
         181  -0.4340E+04   0.1638E+00
         182  -0.4328E+04   0.1812E+00
         183  -0.4212E+04   0.1725E+00
         184  -0.4176E+04   0.1237E+00
         185  -0.4084E+04   0.4125E-01
         186  -0.4096E+04   0.1613E+00
         187  -0.4328E+04   0.1725E+00
         188  -0.4296E+04   0.1100E+00
         189  -0.4264E+04   0.6250E-01
         190  -0.4336E+04   0.1663E+00
         191  -0.4308E+04   0.1075E+00
         192  -0.4272E+04   0.7375E-01
         193  -0.4520E+04   0.6375E-01
         194  -0.4320E+04   0.3000E-01
         195  -0.4408E+04   0.1625E-01
         196  -0.4396E+04   0.7125E-01
         197  -0.4292E+04   0.1738E+00
         198  -0.4336E+04   0.2412E+00
         199  -0.4364E+04   0.1975E+00
         200  -0.4464E+04   0.1350E+00
         201  -0.4492E+04   0.1613E+00
         202  -0.4468E+04   0.1825E+00
         203  -0.4384E+04   0.1188E+00
         204  -0.4396E+04   0.1700E+00
         205  -0.4368E+04   0.2038E+00
         206  -0.4336E+04   0.1625E+00
         207  -0.4316E+04   0.1413E+00
         208  -0.4404E+04   0.2000E+00
         209  -0.4300E+04   0.9500E-01
         210  -0.4296E+04   0.1237E+00
         211  -0.4328E+04   0.4750E-01
         212  -0.4324E+04   0.5750E-01
         213  -0.4316E+04   0.8000E-01
         214  -0.4472E+04   0.1825E+00
         215  -0.4372E+04   0.1600E+00
         216  -0.4372E+04   0.1688E+00
         217  -0.4444E+04   0.9000E-01
         218  -0.4424E+04   0.3375E-01
         219  -0.4400E+04   0.5000E-02
         220  -0.4332E+04   0.5000E-01
         221  -0.4380E+04   0.5000E-02
         222  -0.4448E+04   0.1050E+00
         223  -0.4524E+04   0.1550E+00
         224  -0.4528E+04   0.1963E+00
         225  -0.4492E+04   0.1562E+00
         226  -0.4500E+04   0.1113E+00
         227  -0.4524E+04   0.1025E+00
         228  -0.4600E+04   0.1750E+00
         229  -0.4620E+04   0.2137E+00
         230  -0.4500E+04   0.1300E+00
         231  -0.4532E+04   0.1475E+00
         232  -0.4432E+04   0.6750E-01
         233  -0.4384E+04   0.1350E+00
         234  -0.4404E+04   0.1075E+00
         235  -0.4504E+04   0.1175E+00
         236  -0.4416E+04   0.4250E-01
         237  -0.4388E+04   0.1762E+00
         238  -0.4328E+04   0.2013E+00
         239  -0.4424E+04   0.2450E+00
         240  -0.4384E+04   0.8375E-01
         241  -0.4336E+04   0.1725E+00
         242  -0.4392E+04   0.1237E+00
         243  -0.4456E+04   0.1425E+00
         244  -0.4416E+04   0.6000E-01
         245  -0.4392E+04   0.3000E-01
         246  -0.4400E+04   0.3875E-01
         247  -0.4376E+04   0.1325E+00
         248  -0.4392E+04   0.2213E+00
         249  -0.4420E+04   0.1925E+00
         250  -0.4408E+04   0.1837E+00
         251  -0.4444E+04   0.8625E-01
         252  -0.4284E+04   0.6000E-01
         253  -0.4436E+04   0.5750E-01
         254  -0.4424E+04   0.3750E-01
         255  -0.4300E+04   0.1375E-01
         256  -0.4396E+04   0.5000E-02
         257  -0.4300E+04   0.2375E-01
         258  -0.4348E+04   0.3750E-02
         259  -0.4296E+04   0.3750E-02
         260  -0.4220E+04   0.1250E-01
         261  -0.4300E+04   0.1525E+00
         262  -0.4332E+04   0.1762E+00
         263  -0.4472E+04   0.1638E+00
         264  -0.4564E+04   0.1688E+00
         265  -0.4396E+04   0.8625E-01
         266  -0.4484E+04   0.1800E+00
         267  -0.4608E+04   0.2550E+00
         268  -0.4472E+04   0.2838E+00
         269  -0.4500E+04   0.1663E+00
         270  -0.4592E+04   0.2863E+00
         271  -0.4460E+04   0.2200E+00
         272  -0.4528E+04   0.2587E+00
