        T/Tc        U_med      U_error        M_med      M_error       Mexact           cv         susc       Binder
  0.0000E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.0000E+00   0.0000E+00   0.6667E+00
  0.1020E-01  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.4321E+10   0.1918E-28   0.6667E+00
  0.2041E-01  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.2160E+10   0.9589E-29   0.6667E+00
  0.3061E-01  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.1440E+10   0.6392E-29   0.6667E+00
  0.4082E-01  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.1080E+10   0.4794E-29   0.6667E+00
  0.5102E-01  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.8641E+09   0.3835E-29   0.6667E+00
  0.6122E-01  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.7201E+09   0.3196E-29   0.6667E+00
  0.7143E-01  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.6172E+09   0.2740E-29   0.6667E+00
  0.8163E-01  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.5401E+09   0.2397E-29   0.6667E+00
  0.9184E-01  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.4801E+09   0.2131E-29   0.6667E+00
  0.1020E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.4321E+09   0.1918E-29   0.6667E+00
  0.1122E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.3928E+09   0.1743E-29   0.6667E+00
  0.1224E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.3601E+09   0.1598E-29   0.6667E+00
  0.1327E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.3324E+09   0.1475E-29   0.6667E+00
  0.1429E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.3086E+09   0.1370E-29   0.6667E+00
  0.1531E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.2880E+09   0.1278E-29   0.6667E+00
  0.1633E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.2700E+09   0.1199E-29   0.6667E+00
  0.1735E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.2542E+09   0.1128E-29   0.6667E+00
  0.1837E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.2400E+09   0.1065E-29   0.6667E+00
  0.1939E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.2274E+09   0.1009E-29   0.6667E+00
  0.2041E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.2160E+09   0.9589E-30   0.6667E+00
  0.2143E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.2057E+09   0.9132E-30   0.6667E+00
  0.2245E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.1964E+09   0.8717E-30   0.6667E+00
  0.2347E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.1879E+09   0.8338E-30   0.6667E+00
  0.2449E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.1800E+09   0.7990E-30   0.6667E+00
  0.2551E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.1728E+09   0.7671E-30   0.6667E+00
  0.2653E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.1662E+09   0.7376E-30   0.6667E+00
  0.2755E+00  -0.2000E+03   0.8146E-03   0.1000E+01   0.2036E-05   0.1000E+01   0.1600E+09   0.3319E-09   0.6667E+00
  0.2857E+00  -0.2000E+03   0.3216E-13   0.1000E+01   0.9421E-16   0.1000E+01   0.1543E+09   0.6849E-30   0.6667E+00
  0.2959E+00  -0.2000E+03   0.8146E-03   0.1000E+01   0.2036E-05   0.1000E+01   0.1490E+09   0.3090E-09   0.6667E+00
  0.3061E+00  -0.2000E+03   0.7241E-03   0.1000E+01   0.1810E-05   0.1000E+01   0.1440E+09   0.2360E-09   0.6667E+00
  0.3163E+00  -0.2000E+03   0.1316E-02   0.1000E+01   0.3291E-05   0.1000E+01   0.1394E+09   0.7547E-09   0.6667E+00
  0.3265E+00  -0.2000E+03   0.2003E-02   0.1000E+01   0.5007E-05   0.1000E+01   0.1350E+09   0.1693E-08   0.6667E+00
  0.3367E+00  -0.2000E+03   0.3014E-02   0.1000E+01   0.7536E-05   0.9999E+00   0.1309E+09   0.3719E-08   0.6667E+00
  0.3469E+00  -0.2000E+03   0.5927E-02   0.1000E+01   0.1482E-04   0.9999E+00   0.1271E+09   0.1396E-07   0.6667E+00
  0.3571E+00  -0.2000E+03   0.6700E-02   0.1000E+01   0.1676E-04   0.9999E+00   0.1234E+09   0.1733E-07   0.6667E+00
  0.3673E+00  -0.2000E+03   0.9711E-02   0.1000E+01   0.2455E-04   0.9999E+00   0.1200E+09   0.3617E-07   0.6667E+00
  0.3776E+00  -0.2000E+03   0.1013E-01   0.1000E+01   0.2533E-04   0.9998E+00   0.1167E+09   0.3749E-07   0.6667E+00
  0.3878E+00  -0.2000E+03   0.1383E-01   0.1000E+01   0.3458E-04   0.9998E+00   0.1136E+09   0.6798E-07   0.6667E+00
  0.3980E+00  -0.2000E+03   0.1294E-01   0.1000E+01   0.3388E-04   0.9997E+00   0.1107E+09   0.6361E-07   0.6667E+00
  0.4082E+00  -0.2000E+03   0.1008E-01   0.1000E+01   0.2521E-04   0.9996E+00   0.1080E+09   0.3434E-07   0.6667E+00
  0.4184E+00  -0.1999E+03   0.1384E-01   0.9999E+00   0.3467E-04   0.9995E+00   0.1053E+09   0.6334E-07   0.6667E+00
  0.4286E+00  -0.1999E+03   0.1852E-01   0.9998E+00   0.4631E-04   0.9994E+00   0.1027E+09   0.1103E-06   0.6667E+00
  0.4388E+00  -0.1998E+03   0.2236E-01   0.9997E+00   0.5678E-04   0.9993E+00   0.1003E+09   0.1620E-06   0.6667E+00
  0.4490E+00  -0.1999E+03   0.1584E-01   0.9998E+00   0.3961E-04   0.9992E+00   0.9806E+08   0.7707E-07   0.6667E+00
  0.4592E+00  -0.1999E+03   0.1615E-01   0.9997E+00   0.4191E-04   0.9990E+00   0.9587E+08   0.8435E-07   0.6667E+00
  0.4694E+00  -0.1998E+03   0.2084E-01   0.9996E+00   0.5317E-04   0.9988E+00   0.9375E+08   0.1328E-06   0.6667E+00
  0.4796E+00  -0.1997E+03   0.2715E-01   0.9994E+00   0.6823E-04   0.9986E+00   0.9166E+08   0.2140E-06   0.6667E+00
  0.4898E+00  -0.1997E+03   0.2716E-01   0.9993E+00   0.7118E-04   0.9983E+00   0.8973E+08   0.2281E-06   0.6667E+00
  0.5000E+00  -0.1996E+03   0.3076E-01   0.9992E+00   0.8035E-04   0.9980E+00   0.8785E+08   0.2847E-06   0.6667E+00
  0.5000E+00  -0.1997E+03   0.3086E-01   0.9993E+00   0.7839E-04   0.9980E+00   0.8787E+08   0.2710E-06   0.6667E+00
