        T/Tc        U_med      U_error        M_med      M_error       Mexact           cv         susc
  0.0000E+00  -0.1160E+03   0.0000E+00   0.3600E+00          NaN   0.1000E+01   0.0000E+00   0.0000E+00
  0.5051E-02  -0.2000E+03   0.0000E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.1010E-01  -0.2000E+03   0.0000E+00  -0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.1515E-01  -0.1600E+03   0.0000E+00  -0.2000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.2020E-01  -0.1600E+03   0.0000E+00   0.2000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.2525E-01  -0.2000E+03   0.0000E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.3030E-01  -0.2000E+03   0.0000E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.3535E-01  -0.2000E+03   0.0000E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.4040E-01  -0.2000E+03   0.0000E+00  -0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.4545E-01  -0.2000E+03   0.0000E+00  -0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.5051E-01  -0.2000E+03   0.0000E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.5556E-01  -0.2000E+03   0.0000E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.6061E-01  -0.2000E+03   0.0000E+00  -0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.6566E-01  -0.2000E+03   0.0000E+00  -0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.7071E-01  -0.2000E+03   0.0000E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.7576E-01  -0.2000E+03   0.0000E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.8081E-01  -0.2000E+03   0.0000E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.8586E-01  -0.2000E+03   0.0000E+00  -0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.9091E-01  -0.2000E+03   0.0000E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.9596E-01  -0.2000E+03   0.0000E+00  -0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.1010E+00  -0.1600E+03   0.0000E+00   0.4000E+00          NaN   0.1000E+01   0.0000E+00          NaN
  0.1061E+00  -0.2000E+03   0.0000E+00  -0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.1111E+00  -0.2000E+03   0.0000E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.1162E+00  -0.2000E+03   0.0000E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.1212E+00  -0.2000E+03   0.0000E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
  0.1263E+00  -0.2000E+03   0.0000E+00  -0.1000E+01   0.0000E+00   0.1000E+01   0.0000E+00   0.0000E+00
