         2  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01
         2  0.1000E+02  0.1000E+01  0.1010E+03  0.2501E+04  0.2501E+04  0.2501E+04  0.1597E+06
         4  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01
         4  0.3333E+01  0.1000E+01  0.1211E+02  0.3186E+02  0.3186E+02  0.3186E+02  0.8409E+01
         4  0.6667E+01  0.1000E+01  0.1467E+03  0.1015E+04  0.1015E+04  0.1015E+04  0.7071E+02
         4  0.1000E+02  0.1000E+01  0.1776E+04  0.3235E+05  0.3235E+05  0.3235E+05  0.5946E+03
         8  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01
         8  0.1429E+01  0.1000E+01  0.3041E+01  0.2041E+01  0.2041E+01  0.2041E+01  0.9121E+00
         8  0.2857E+01  0.1000E+01  0.9247E+01  0.4167E+01  0.4167E+01  0.4167E+01  0.8319E+00
         8  0.4286E+01  0.1000E+01  0.2812E+02  0.8505E+01  0.8505E+01  0.8505E+01  0.7587E+00
         8  0.5714E+01  0.1000E+01  0.8550E+02  0.1736E+02  0.1736E+02  0.1736E+02  0.6920E+00
         8  0.7143E+01  0.1000E+01  0.2600E+03  0.3544E+02  0.3544E+02  0.3544E+02  0.6311E+00
         8  0.8571E+01  0.1000E+01  0.7906E+03  0.7234E+02  0.7234E+02  0.7234E+02  0.5756E+00
         8  0.1000E+02  0.1000E+01  0.2404E+04  0.1477E+03  0.1477E+03  0.1477E+03  0.5250E+00
        16  0.0000E+00  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01
        16  0.6667E+00  0.1000E+01  0.1444E+01  0.1049E+01  0.1049E+01  0.1049E+01  0.9988E+00
        16  0.1333E+01  0.1000E+01  0.2086E+01  0.1101E+01  0.1101E+01  0.1101E+01  0.9977E+00
        16  0.2000E+01  0.1000E+01  0.3014E+01  0.1156E+01  0.1156E+01  0.1156E+01  0.9965E+00
        16  0.2667E+01  0.1000E+01  0.4353E+01  0.1213E+01  0.1213E+01  0.1213E+01  0.9954E+00
        16  0.3333E+01  0.1000E+01  0.6288E+01  0.1273E+01  0.1273E+01  0.1273E+01  0.9943E+00
        16  0.4000E+01  0.1000E+01  0.9082E+01  0.1335E+01  0.1335E+01  0.1335E+01  0.9931E+00
        16  0.4667E+01  0.1000E+01  0.1312E+02  0.1401E+01  0.1401E+01  0.1401E+01  0.9920E+00
        16  0.5333E+01  0.1000E+01  0.1895E+02  0.1471E+01  0.1471E+01  0.1471E+01  0.9908E+00
        16  0.6000E+01  0.1000E+01  0.2737E+02  0.1543E+01  0.1543E+01  0.1543E+01  0.9897E+00
        16  0.6667E+01  0.1000E+01  0.3954E+02  0.1619E+01  0.1619E+01  0.1619E+01  0.9885E+00
        16  0.7333E+01  0.1000E+01  0.5711E+02  0.1699E+01  0.1699E+01  0.1699E+01  0.9874E+00
        16  0.8000E+01  0.1000E+01  0.8249E+02  0.1783E+01  0.1783E+01  0.1783E+01  0.9863E+00
        16  0.8667E+01  0.1000E+01  0.1192E+03  0.1871E+01  0.1871E+01  0.1871E+01  0.9851E+00
