          fx           fy           fz
  0.9159E-15   0.1232E-13   0.2998E-14
  0.6939E-16  -0.1263E-14   0.1020E-14
  0.1527E-14   0.1328E-13   0.1582E-14
  0.1214E-14  -0.1894E-14  -0.5468E-14
  0.6661E-15   0.1218E-13  -0.5447E-14
  0.5551E-16  -0.1596E-14  -0.1589E-14
  0.1332E-14   0.1198E-13  -0.1776E-14
  0.3553E-14  -0.1998E-14   0.1087E-13
  0.5551E-15   0.1210E-13   0.1172E-13
  0.1527E-14  -0.5981E-14  -0.6245E-14
 -0.8618E-14  -0.1221E-14  -0.5641E-14
 -0.7931E-14  -0.5107E-14  -0.1762E-14
  0.0000E+00  -0.1450E-14  -0.1402E-14
 -0.7494E-15  -0.5107E-14   0.2012E-15
 -0.7321E-14  -0.3705E-14   0.4441E-15
 -0.8188E-14  -0.5232E-14   0.9714E-15
 -0.1665E-15  -0.2921E-14   0.1790E-14
  0.2526E-14  -0.5468E-14   0.5898E-15
 -0.6099E-14  -0.2040E-14   0.9159E-15
 -0.6592E-14  -0.4594E-14  -0.5371E-14
  0.8465E-15  -0.1055E-14  -0.5218E-14
  0.1138E-14  -0.5024E-14  -0.1589E-14
 -0.5100E-14  -0.1929E-14  -0.1700E-14
 -0.7327E-14  -0.4663E-14   0.1266E-13
  0.1402E-14  -0.1624E-14   0.1160E-13
  0.1887E-14   0.3123E-15  -0.5496E-14
 -0.7140E-14   0.1457E-14  -0.5523E-14
 -0.6446E-14   0.6661E-15  -0.2498E-14
  0.1638E-14   0.1193E-14  -0.1804E-14
  0.8465E-15   0.6245E-16  -0.4857E-16
 -0.6342E-14   0.2380E-14  -0.2220E-15
 -0.6141E-14   0.1166E-14   0.2942E-14
  0.1388E-15   0.7494E-15   0.1416E-14
  0.1943E-15   0.2290E-15   0.1631E-14
 -0.6314E-14   0.6037E-15   0.9298E-15
 -0.6280E-14   0.9437E-15  -0.6231E-14
  0.1582E-14   0.6106E-15  -0.5190E-14
