      rx_fcc       ry_fcc       rz_fcc
  0.3266E+01  -0.3021E+01  -0.2401E+01
 -0.7278E+00  -0.1669E+01  -0.1791E+01
 -0.2107E+01  -0.2928E+01  -0.2933E+01
  0.3073E+01  -0.2009E+01  -0.2419E+01
 -0.3393E+01   0.2919E+01  -0.2901E+01
 -0.2692E+01   0.3286E+01  -0.2306E+01
  0.3250E+01   0.3411E+01  -0.1033E+01
  0.3228E+01  -0.1808E+01  -0.1321E+01
  0.2621E+01   0.3384E+01  -0.2564E+00
 -0.2853E+01  -0.2543E+01  -0.1427E+01
 -0.3188E+01  -0.3349E+01   0.1324E+00
 -0.3126E+01  -0.3238E+00  -0.1954E-01
  0.1029E+01   0.2562E+01   0.2845E+01
 -0.2830E+01  -0.2285E+01   0.4839E+00
  0.3105E+01  -0.3099E+01   0.3190E+01
  0.2383E+01  -0.2717E+01  -0.2939E+01
  0.3288E+01  -0.3032E+01   0.1900E+01
 -0.3344E+01  -0.1940E+01   0.2509E+01
  0.2565E+01  -0.9825E+00  -0.2961E+01
 -0.2167E+01  -0.1875E+01  -0.3199E+01
 -0.1947E+01   0.3605E+00  -0.1304E+01
 -0.2989E+01  -0.4083E+00  -0.1099E+01
 -0.2720E+01  -0.1884E+01  -0.2179E+01
  0.2370E+01  -0.6171E+00   0.4622E-01
  0.1351E+01  -0.2819E+01  -0.9294E+00
 -0.2760E+01   0.1414E+01   0.8820E-01
 -0.1805E+01  -0.2412E+01   0.1335E+01
 -0.2001E+01  -0.1529E+01   0.2157E+00
 -0.2803E+01  -0.9217E+00   0.8770E+00
 -0.2107E+01   0.3211E+00   0.2259E+01
  0.3353E+01  -0.2131E+01   0.1219E+01
 -0.1822E+01  -0.1123E+01   0.1192E+01
 -0.2666E+01  -0.8447E+00   0.1922E+01
  0.2907E+01   0.8168E+00  -0.2636E+01
 -0.2494E+01  -0.4493E+00  -0.3190E+01
 -0.1578E+01  -0.5508E+00   0.2089E+01
 -0.3190E+01  -0.1330E+01  -0.3389E+01
  0.3356E+01  -0.1051E-01  -0.3112E+01
 -0.1720E+01  -0.1287E+01  -0.1738E+01
  0.2877E+01  -0.1285E+00  -0.9132E+00
  0.2929E+01   0.1095E+01  -0.1059E+01
 -0.1222E+01  -0.3552E+00  -0.1744E+01
 -0.1067E+01   0.2893E+00   0.1465E+01
 -0.2878E+01   0.1259E+01  -0.1576E+01
 -0.3234E+01   0.5707E+00   0.9328E+00
 -0.1175E+01   0.2169E+01   0.3655E+00
 -0.1837E+01   0.7888E+00   0.3352E+01
 -0.2387E+01  -0.4926E-02   0.1215E+01
 -0.3387E+01   0.1651E-02   0.1865E+01
 -0.1881E+01   0.1870E+01  -0.2584E+01
  0.2877E+01   0.1575E+01  -0.2084E+01
 -0.2973E+01   0.1054E+01  -0.3008E+01
  0.2241E+01   0.2146E+01   0.9061E+00
 -0.2794E+01   0.2866E+01  -0.1330E+01
 -0.2354E+01   0.2199E+01  -0.3905E+00
 -0.1009E+01   0.2680E+01  -0.1335E+01
 -0.2475E+01   0.2878E+01   0.8060E+00
 -0.1632E+01   0.2190E+01   0.1444E+01
 -0.6823E+00   0.2638E+01   0.1143E+01
  0.3012E+01  -0.1703E+01   0.4601E+00
  0.2512E+01   0.2415E+01  -0.2912E+01
  0.1861E+01   0.2698E+01   0.1854E+01
 -0.2818E+01   0.8219E+00   0.2787E+01
  0.2055E+01   0.1412E+01  -0.2748E+01
 -0.2303E+01   0.2845E+01  -0.3111E+01
 -0.1309E+01  -0.3121E+01  -0.2093E+01
 -0.9062E+00   0.1250E+01  -0.3337E+01
 -0.1104E+01  -0.3132E+01  -0.6301E+00
 -0.3034E+01  -0.1400E+01  -0.5452E-01
  0.5486E+00  -0.6482E+00  -0.3301E+01
 -0.3277E+00  -0.2986E+01   0.2103E+00
 -0.2440E+01  -0.2268E+01  -0.3784E+00
 -0.1680E+01   0.3111E+01   0.1536E+00
 -0.1524E+01  -0.2602E+01   0.1765E+00
 -0.1115E+01  -0.3287E+01   0.2194E+01
  0.3247E+01  -0.2354E+01  -0.4291E+00
 -0.2565E+01  -0.3071E+01   0.1708E+01
  0.2392E+00  -0.1264E+01   0.1896E+01
 -0.2952E+01   0.3112E+01   0.2343E+01
 -0.1249E+01  -0.2696E+01  -0.3397E+01
 -0.2290E+01  -0.3215E+01   0.2914E+01
 -0.5176E+00  -0.1777E+01   0.2895E+01
 -0.1076E+01  -0.1085E+01  -0.2988E+01
 -0.2573E+01  -0.1447E+01  -0.1156E+01
  0.2473E+00  -0.1246E+01  -0.1853E+00
  0.2572E-01  -0.8246E+00  -0.1156E+01
 -0.2051E+01  -0.4420E+00  -0.7162E+00
  0.2865E+01   0.2563E+01  -0.1570E+01
 -0.2015E+01   0.1759E+01   0.5926E+00
 -0.1590E+01   0.1248E+00   0.4363E+00
  0.1310E+01  -0.1654E+01   0.3441E-01
 -0.8824E+00   0.7626E+00  -0.6315E+00
  0.3156E+01   0.2798E+01   0.2942E+01
 -0.2406E+01  -0.2227E+01   0.2289E+01
 -0.1275E+00  -0.1703E+01  -0.2888E+01
 -0.1410E+01  -0.2242E+01   0.2582E+01
 -0.1548E+01  -0.2054E+01  -0.2366E+01
  0.2830E-01   0.2443E+01   0.2750E+01
 -0.1777E+01   0.2837E-01  -0.2716E+01
 -0.2361E+01  -0.4220E+00  -0.2000E+01
 -0.2235E+01   0.7215E+00  -0.2165E+01
  0.1030E+01   0.1281E+01   0.3255E+01
  0.2009E+00  -0.1859E+01  -0.1330E+01
 -0.4541E+00   0.5097E+00  -0.1704E+01
 -0.1968E+01   0.1194E+01  -0.5136E+00
 -0.1284E+01   0.1060E+01  -0.2078E+01
 -0.8190E+00  -0.9618E+00   0.1496E+01
 -0.5964E+00   0.1958E+00   0.5297E+00
 -0.1237E+01   0.8143E+00   0.2427E+01
 -0.1990E+01   0.1552E+01   0.2258E+01
  0.1263E+01  -0.1737E+01  -0.1099E+01
  0.9354E-03   0.8930E+00   0.1336E+01
 -0.8177E+00   0.2435E+01   0.2232E+01
 -0.2197E+01   0.1876E+01   0.3283E+01
 -0.1457E+01  -0.5773E+00   0.3023E+01
 -0.3364E+00  -0.2966E+01  -0.1399E+01
 -0.3016E+01   0.2149E+01  -0.2120E+01
 -0.7163E+00   0.2239E+01  -0.2437E+01
 -0.7717E+00  -0.2819E+01   0.1250E+01
 -0.1902E+01   0.1986E+01  -0.1394E+01
 -0.1472E+01   0.3276E+01   0.1082E+01
  0.6756E-01   0.2809E+01  -0.9567E+00
 -0.1286E+01   0.1989E+01  -0.6343E+00
 -0.2683E+01   0.2037E+01   0.1322E+01
 -0.1907E+01   0.9027E+00   0.1299E+01
 -0.1055E+01   0.1159E+01   0.6325E+00
 -0.9459E+00   0.1525E+01   0.1546E+01
 -0.1964E+01   0.2708E+01   0.2487E+01
 -0.1762E+01   0.2826E+01  -0.2203E+01
  0.6017E+00  -0.3409E+01  -0.1611E+01
  0.4688E+00  -0.2575E+01  -0.2267E+01
 -0.2526E+00   0.3112E+01  -0.2175E+01
 -0.1766E+01  -0.2296E+01  -0.1339E+01
 -0.5195E+00  -0.2198E+01  -0.4873E+00
  0.5482E+00   0.2501E+01  -0.1832E+01
 -0.1025E+01  -0.1200E+01  -0.9511E+00
  0.1054E+01  -0.2764E+01   0.9215E+00
 -0.1002E+01  -0.2019E+00  -0.5877E+00
  0.7704E+00  -0.3414E+01  -0.2379E+00
  0.2882E+00  -0.2153E+01   0.1356E+01
 -0.1794E+00   0.3362E+01   0.1731E+01
  0.1745E+01  -0.2872E+01   0.1686E+01
 -0.3406E+00   0.3309E+01  -0.3347E+01
 -0.5140E+00  -0.2636E+01  -0.2417E+01
 -0.7637E+00  -0.2001E+01   0.1783E+01
  0.1819E+01  -0.1496E+01   0.3224E+01
  0.2990E+01  -0.1171E+01   0.1568E+01
  0.5664E+00  -0.7776E-01  -0.1766E+01
  0.1359E+01  -0.2322E+01  -0.3048E+01
  0.1070E+01  -0.7303E+00  -0.5631E+00
  0.2056E+01  -0.1145E+01  -0.1149E+01
  0.1114E+01   0.6384E+00  -0.1084E+01
  0.2663E+00   0.1029E+00  -0.7205E+00
  0.2161E+00  -0.3088E+00   0.2212E+00
  0.1143E+01  -0.1679E+01   0.1438E+01
 -0.8533E+00  -0.7854E+00   0.4231E+00
 -0.9824E+00  -0.1922E+01   0.5794E+00
  0.1130E+01  -0.4536E+00   0.1611E+01
  0.5707E+00  -0.1917E+01   0.3199E+01
 -0.4749E+00  -0.7221E+00   0.2570E+01
 -0.7571E+00   0.1134E+00   0.3000E+01
  0.7794E+00   0.2844E+01  -0.2888E+01
  0.1943E+01   0.9766E-03  -0.3102E+01
 -0.4327E+00  -0.8195E+00  -0.2104E+01
 -0.6713E+00   0.1735E+01  -0.1536E+01
  0.2478E+01   0.3299E+00  -0.1891E+01
  0.1891E+01  -0.1124E+00  -0.9436E+00
 -0.7281E+00   0.3144E+00  -0.2687E+01
  0.4194E-04  -0.3259E+00   0.1307E+01
  0.1784E+01   0.1665E+01   0.1769E+01
  0.2067E+01   0.1933E-01   0.8109E+00
  0.3346E+00   0.2347E+01   0.1740E+01
  0.3910E+00  -0.1318E+01   0.7591E+00
  0.8609E+00   0.3032E+00   0.8801E+00
  0.3549E+00   0.7808E-01   0.2364E+01
  0.2341E+01  -0.6067E+00   0.3003E+01
 -0.4463E+00   0.1421E+01   0.2427E+01
 -0.9314E+00   0.2248E+01   0.3369E+01
  0.2380E+00   0.1046E+00  -0.2630E+01
  0.2573E+00   0.1981E+01  -0.3223E+01
 -0.1058E+00   0.1937E+01  -0.3997E+00
  0.1524E+01  -0.3097E+01  -0.2321E+01
  0.5790E-01   0.1253E+01  -0.1187E+01
  0.6512E+00  -0.2840E+01   0.2021E+01
 -0.7251E+00   0.2820E+01  -0.3221E+00
  0.1232E+01   0.2040E+01   0.5837E+00
  0.2232E+00   0.8718E+00   0.1813E+00
  0.3307E+00   0.1767E+01   0.8508E+00
  0.2786E+01   0.1796E+01   0.2125E+01
 -0.4603E+00  -0.2686E+01   0.2596E+01
  0.6612E+00   0.1157E+01   0.2145E+01
 -0.1334E+01   0.3121E+01  -0.3159E+01
  0.1975E+01   0.3215E+01  -0.3334E+01
  0.1612E+01  -0.1327E+01  -0.2647E+01
  0.1626E+01   0.2509E+01  -0.2013E+01
  0.1730E+01   0.3033E+01  -0.8864E+00
 -0.2162E+01  -0.3284E+01  -0.7161E+00
  0.2554E+01  -0.2905E+01  -0.1556E+01
  0.2866E+01  -0.2863E+01   0.5933E+00
  0.4719E+00  -0.2336E+01  -0.2986E+00
  0.2962E+01   0.1645E+01  -0.3848E-01
  0.1679E+01  -0.2796E+01   0.1012E+00
  0.1795E+01   0.3176E+01   0.7159E+00
  0.1721E+00   0.2778E+01   0.5910E+00
  0.2445E+01  -0.2011E+01   0.1922E+01
  0.1380E+01  -0.3335E+01   0.2556E+01
  0.2198E+01   0.2421E+01   0.2755E+01
  0.3542E+00  -0.3201E+01   0.2906E+01
  0.1822E+01  -0.9721E+00   0.2144E+01
 -0.3179E+01  -0.2337E+01  -0.3245E+01
  0.2755E+01  -0.1763E+01   0.3296E+01
 -0.3217E+01  -0.8794E+00  -0.2283E+01
  0.5906E+00  -0.1287E+01  -0.2179E+01
  0.2275E+01  -0.2100E+01  -0.8469E+00
  0.2108E+01  -0.2079E+01  -0.1962E+01
  0.1614E+01   0.1252E+01  -0.4911E+00
  0.2959E+01  -0.1141E+01  -0.5438E+00
  0.2107E+01  -0.1007E+01   0.1080E+01
  0.1874E+01  -0.2001E+01   0.7474E+00
  0.1305E+01  -0.6472E+00   0.5812E+00
  0.1280E+01  -0.2081E+01   0.2551E+01
  0.3172E+01  -0.3859E+00   0.9209E+00
  0.2167E+01  -0.2706E+01   0.2896E+01
 -0.2170E+01  -0.1229E+01   0.2711E+01
  0.3718E-01   0.9036E+00  -0.3318E+01
 -0.3323E+01  -0.7614E+00   0.2684E+01
  0.2461E+01   0.3770E+00   0.2561E+01
  0.2149E+01   0.1786E+01  -0.1271E+01
  0.1614E+01  -0.4952E+00  -0.2070E+01
 -0.3359E+01   0.2915E+00  -0.1865E+01
  0.2642E+01  -0.8271E+00  -0.1938E+01
 -0.3114E+01   0.5485E+00  -0.5916E+00
  0.2847E+01   0.6095E+00   0.7050E-01
 -0.3331E+01   0.1929E+01  -0.9444E+00
  0.2566E+01   0.8208E+00   0.1626E+01
  0.1453E+01   0.4120E+00  -0.1331E-01
  0.2742E+01   0.9828E+00   0.3256E+01
 -0.3067E+01   0.1983E+01   0.2366E+01
 -0.2787E+01   0.1003E+01   0.1839E+01
  0.9141E+00  -0.8501E+00   0.2492E+01
  0.1206E+01   0.1937E+01  -0.2801E+01
  0.9526E+00   0.7792E+00  -0.2757E+01
  0.2528E+01   0.3187E+01  -0.2254E+01
  0.8795E+00   0.1492E+01  -0.1881E+01
 -0.1704E+00   0.1258E+01  -0.2368E+01
  0.3409E+01   0.2387E+01   0.5369E+00
 -0.3325E+01   0.1918E+01  -0.3336E+01
  0.1143E+01   0.2207E+01  -0.8401E+00
  0.2036E+01   0.1080E+01   0.5990E+00
  0.2027E+01   0.2459E+01  -0.6604E-01
  0.3251E+01   0.1533E+01   0.1133E+01
  0.9863E+00   0.3105E+01   0.1390E+01
  0.1548E+01   0.6866E+00   0.1782E+01
  0.3253E+01   0.2832E+01   0.1557E+01
  0.1875E+01   0.1201E+01   0.2687E+01
