      rx_fcc       ry_fcc       rz_fcc
 -0.3028E+01  -0.3040E+01  -0.3038E+01
 -0.2276E+01  -0.2281E+01  -0.3057E+01
 -0.2295E+01  -0.3061E+01  -0.2295E+01
 -0.3050E+01  -0.2284E+01  -0.2290E+01
 -0.3058E+01  -0.3054E+01  -0.1523E+01
 -0.2298E+01  -0.2313E+01  -0.1529E+01
 -0.2305E+01  -0.3076E+01  -0.7571E+00
 -0.3065E+01  -0.2311E+01  -0.7721E+00
 -0.3076E+01  -0.3064E+01  -0.7961E-02
 -0.2316E+01  -0.2305E+01  -0.9288E-02
 -0.2317E+01  -0.3083E+01   0.7694E+00
 -0.3087E+01  -0.2320E+01   0.7701E+00
 -0.3081E+01  -0.3094E+01   0.1546E+01
 -0.2327E+01  -0.2314E+01   0.1544E+01
 -0.2321E+01  -0.3084E+01   0.2324E+01
 -0.3095E+01  -0.2328E+01   0.2309E+01
 -0.3090E+01  -0.1542E+01  -0.3086E+01
 -0.2323E+01  -0.7704E+00  -0.3105E+01
 -0.2338E+01  -0.1548E+01  -0.2320E+01
 -0.3090E+01  -0.7782E+00  -0.2316E+01
 -0.3106E+01  -0.1557E+01  -0.1556E+01
 -0.2320E+01  -0.7831E+00  -0.1541E+01
 -0.2318E+01  -0.1556E+01  -0.7832E+00
 -0.3100E+01  -0.7746E+00  -0.7755E+00
 -0.3114E+01  -0.1562E+01   0.1017E-01
 -0.2321E+01  -0.7707E+00   0.7365E-02
 -0.2328E+01  -0.1564E+01   0.7677E+00
 -0.3108E+01  -0.7749E+00   0.7788E+00
 -0.3095E+01  -0.1564E+01   0.1563E+01
 -0.2328E+01  -0.7693E+00   0.1560E+01
 -0.2322E+01  -0.1556E+01   0.2328E+01
 -0.3108E+01  -0.7719E+00   0.2328E+01
 -0.3104E+01  -0.6807E-03  -0.3109E+01
 -0.2347E+01   0.7863E+00  -0.3108E+01
 -0.2346E+01  -0.1513E-02  -0.2348E+01
 -0.3108E+01   0.7750E+00  -0.2331E+01
 -0.3119E+01   0.7034E-02  -0.1561E+01
 -0.2329E+01   0.7793E+00  -0.1553E+01
 -0.2348E+01  -0.6423E-02  -0.7735E+00
 -0.3115E+01   0.7848E+00  -0.7769E+00
 -0.3124E+01  -0.6199E-02  -0.7163E-02
 -0.2335E+01   0.7822E+00  -0.4397E-02
 -0.2346E+01   0.5055E-02   0.7759E+00
 -0.3130E+01   0.7802E+00   0.7709E+00
 -0.3128E+01  -0.1070E-01   0.1570E+01
 -0.2336E+01   0.7920E+00   0.1555E+01
 -0.2339E+01  -0.6363E-02   0.2353E+01
 -0.3124E+01   0.7855E+00   0.2335E+01
 -0.3134E+01   0.1572E+01  -0.3137E+01
 -0.2342E+01   0.2338E+01  -0.3139E+01
 -0.2353E+01   0.1573E+01  -0.2347E+01
 -0.3121E+01   0.2348E+01  -0.2351E+01
 -0.3142E+01   0.1570E+01  -0.1558E+01
 -0.2352E+01   0.2356E+01  -0.1577E+01
 -0.2343E+01   0.1568E+01  -0.7775E+00
 -0.3125E+01   0.2361E+01  -0.7883E+00
 -0.3132E+01   0.1567E+01   0.7189E-02
 -0.2343E+01   0.2348E+01   0.6729E-02
 -0.2350E+01   0.1572E+01   0.7859E+00
 -0.3151E+01   0.2361E+01   0.7899E+00
 -0.3142E+01   0.1567E+01   0.1567E+01
 -0.2355E+01   0.2358E+01   0.1570E+01
 -0.2361E+01   0.1582E+01   0.2348E+01
 -0.3151E+01   0.2359E+01   0.2357E+01
 -0.1574E+01  -0.3144E+01  -0.3153E+01
 -0.7778E+00  -0.2372E+01  -0.3138E+01
 -0.7790E+00  -0.3156E+01  -0.2362E+01
 -0.1581E+01  -0.2370E+01  -0.2372E+01
 -0.1570E+01  -0.3156E+01  -0.1573E+01
 -0.7813E+00  -0.2369E+01  -0.1566E+01
 -0.7840E+00  -0.3137E+01  -0.7762E+00
 -0.1582E+01  -0.2353E+01  -0.7810E+00
 -0.1566E+01  -0.3142E+01   0.3044E-02
 -0.7842E+00  -0.2360E+01   0.2544E-02
 -0.7802E+00  -0.3155E+01   0.7945E+00
 -0.1584E+01  -0.2357E+01   0.7854E+00
 -0.1566E+01  -0.3141E+01   0.1565E+01
 -0.7811E+00  -0.2365E+01   0.1566E+01
 -0.7866E+00  -0.3156E+01   0.2360E+01
 -0.1570E+01  -0.2358E+01   0.2352E+01
 -0.1567E+01  -0.1577E+01  -0.3154E+01
 -0.7829E+00  -0.7810E+00  -0.3161E+01
 -0.7818E+00  -0.1578E+01  -0.2369E+01
 -0.1572E+01  -0.7977E+00  -0.2361E+01
 -0.1585E+01  -0.1577E+01  -0.1568E+01
 -0.7911E+00  -0.7912E+00  -0.1569E+01
 -0.7861E+00  -0.1569E+01  -0.7929E+00
 -0.1575E+01  -0.7772E+00  -0.7909E+00
 -0.1585E+01  -0.1572E+01  -0.9055E-02
 -0.7879E+00  -0.7885E+00   0.2309E-02
 -0.7957E+00  -0.1581E+01   0.7798E+00
 -0.1571E+01  -0.7777E+00   0.7855E+00
 -0.1562E+01  -0.1584E+01   0.1583E+01
 -0.7835E+00  -0.7950E+00   0.1565E+01
 -0.7891E+00  -0.1563E+01   0.2351E+01
 -0.1580E+01  -0.7922E+00   0.2363E+01
 -0.1567E+01  -0.4302E-02  -0.3154E+01
 -0.7955E+00   0.7936E+00  -0.3141E+01
