          vx        p(vx)           vy        p(vy)           vz        p(vz)        v_tot      p(vtot)
 -0.1738E+00   0.3752E+00  -0.1611E+01   0.1170E+00  -0.1331E+01   0.1701E+00   0.2096E+01   0.4124E+00
 -0.1309E+01   0.1745E+00   0.3652E+00   0.3580E+00  -0.1291E+00   0.3775E+00   0.1365E+01   0.5525E+00
  0.1025E+01   0.2359E+00   0.1650E+01   0.1104E+00   0.9272E+00   0.2573E+00   0.2152E+01   0.3901E+00
 -0.2592E+00   0.3689E+00  -0.6083E+00   0.3215E+00  -0.1485E+01   0.1396E+00   0.1625E+01   0.5498E+00
  0.1429E+01   0.1503E+00  -0.1621E+01   0.1152E+00   0.1227E+01   0.1918E+00   0.2485E+01   0.2577E+00
 -0.7758E+00   0.2893E+00  -0.1708E+01   0.1009E+00   0.1211E+01   0.1953E+00   0.2233E+01   0.3574E+00
 -0.5631E+00   0.3293E+00   0.1161E+01   0.2062E+00  -0.7155E+00   0.3014E+00   0.1475E+01   0.5597E+00
 -0.9453E+00   0.2534E+00  -0.8172E+00   0.2808E+00   0.1261E+01   0.1845E+00   0.1776E+01   0.5202E+00
  0.1203E+01   0.1969E+00  -0.9558E+00   0.2511E+00  -0.1396E+01   0.1568E+00   0.2076E+01   0.4201E+00
 -0.1372E-01   0.3803E+00  -0.1753E+01   0.9408E-01  -0.1462E+01   0.1439E+00   0.2283E+01   0.3373E+00
 -0.6224E+00   0.3190E+00  -0.1231E+01   0.1909E+00  -0.4289E+00   0.3499E+00   0.1445E+01   0.5590E+00
 -0.5093E+00   0.3381E+00   0.2930E+00   0.3658E+00  -0.1134E+01   0.2120E+00   0.1277E+01   0.5375E+00
 -0.8627E+00   0.2712E+00  -0.7098E+00   0.3025E+00  -0.7470E+00   0.2952E+00   0.1344E+01   0.5496E+00
 -0.6672E+00   0.3107E+00   0.1172E+01   0.2036E+00   0.1588E+01   0.1209E+00   0.2084E+01   0.4173E+00
 -0.9475E+00   0.2529E+00   0.1715E+01   0.9991E-01  -0.8587E+00   0.2721E+00   0.2139E+01   0.3953E+00
  0.2820E-01   0.3802E+00  -0.1713E+01   0.1002E+00  -0.8188E+00   0.2804E+00   0.1899E+01   0.4843E+00
 -0.1479E+00   0.3766E+00   0.1006E+01   0.2400E+00   0.9411E+00   0.2543E+00   0.1386E+01   0.5548E+00
  0.5115E+00   0.3377E+00  -0.1725E+01   0.9837E-01   0.1231E-01   0.3804E+00   0.1799E+01   0.5140E+00
  0.1323E+01   0.1717E+00   0.1282E+00   0.3775E+00  -0.1498E+01   0.1372E+00   0.2003E+01   0.4481E+00
 -0.1496E+00   0.3765E+00  -0.1259E+01   0.1851E+00   0.1131E+01   0.2127E+00   0.1699E+01   0.5376E+00
 -0.1154E+01   0.2076E+00  -0.3783E+00   0.3564E+00   0.8234E+00   0.2795E+00   0.1467E+01   0.5596E+00
  0.6751E+00   0.3092E+00  -0.3328E+00   0.3617E+00   0.3149E+00   0.3636E+00   0.8159E+00   0.3402E+00
  0.8533E+00   0.2732E+00  -0.8351E+00   0.2770E+00   0.3503E+00   0.3597E+00   0.1244E+01   0.5297E+00
 -0.1500E+01   0.1368E+00  -0.3632E+00   0.3582E+00   0.1406E+01   0.1549E+00   0.2087E+01   0.4158E+00
  0.1077E+01   0.2244E+00   0.1404E+00   0.3770E+00   0.7167E+00   0.3012E+00   0.1302E+01   0.5425E+00
 -0.1437E+01   0.1488E+00  -0.4795E+00   0.3426E+00   0.7294E+00   0.2987E+00   0.1681E+01   0.5409E+00
 -0.4392E+00   0.3484E+00  -0.5775E+00   0.3269E+00  -0.6764E+00   0.3090E+00   0.9919E+00   0.4351E+00
 -0.1541E+01   0.1293E+00   0.1154E+01   0.2076E+00  -0.1062E+01   0.2277E+00   0.2199E+01   0.3713E+00
 -0.1205E+00   0.3779E+00  -0.4113E+00   0.3522E+00   0.4380E+00   0.3486E+00   0.6128E+00   0.2190E+00
  0.7238E+00   0.2998E+00   0.1032E+01   0.2345E+00  -0.1763E+01   0.9265E-01   0.2167E+01   0.3843E+00
  0.5565E+00   0.3304E+00  -0.8466E+00   0.2746E+00  -0.1615E+01   0.1162E+00   0.1907E+01   0.4816E+00
 -0.1805E+01   0.8656E-01   0.5560E+00   0.3305E+00   0.1400E+01   0.1561E+00   0.2350E+01   0.3101E+00
 -0.1651E+01   0.1102E+00  -0.1592E+01   0.1201E+00   0.1619E+00   0.3759E+00   0.2299E+01   0.3306E+00
  0.2558E+00   0.3692E+00   0.1699E+01   0.1024E+00  -0.1502E+01   0.1364E+00   0.2282E+01   0.3376E+00
  0.3063E+00   0.3645E+00   0.9743E+00   0.2471E+00  -0.1328E+01   0.1707E+00   0.1675E+01   0.5421E+00
 -0.1106E+01   0.2182E+00   0.2554E+00   0.3693E+00  -0.4046E+00   0.3531E+00   0.1205E+01   0.5190E+00
  0.1716E+01   0.9981E-01   0.1693E+01   0.1033E+00  -0.9883E+00   0.2440E+00   0.2605E+01   0.2146E+00
 -0.7156E+00   0.3014E+00  -0.5861E+00   0.3254E+00   0.2564E+00   0.3692E+00   0.9599E+00   0.4192E+00
  0.8701E+00   0.2696E+00  -0.4699E+00   0.3441E+00   0.8238E+00   0.2794E+00   0.1287E+01   0.5396E+00
 -0.8491E+00   0.2741E+00   0.1567E+01   0.1247E+00   0.1208E+01   0.1959E+00   0.2153E+01   0.3899E+00
  0.2097E+00   0.3728E+00  -0.1498E+01   0.1371E+00  -0.5601E+00   0.3298E+00   0.1613E+01   0.5514E+00
  0.1118E+01   0.2156E+00   0.1305E+01   0.1755E+00  -0.1442E+01   0.1478E+00   0.2243E+01   0.3535E+00
  0.5226E+00   0.3360E+00   0.6956E+00   0.3053E+00   0.1655E+01   0.1096E+00   0.1869E+01   0.4936E+00
  0.1227E+01   0.1919E+00   0.5319E-01   0.3799E+00  -0.7869E-01   0.3793E+00   0.1231E+01   0.5262E+00
 -0.1106E+01   0.2181E+00   0.1032E+01   0.2345E+00   0.4019E+00   0.3535E+00   0.1565E+01   0.5564E+00
  0.6321E+00   0.3172E+00   0.7001E+00   0.3044E+00   0.3618E-01   0.3802E+00   0.9439E+00   0.4110E+00
  0.1619E+01   0.1156E+00  -0.1100E+01   0.2196E+00   0.6630E-01   0.3796E+00   0.1958E+01   0.4642E+00
  0.1691E+01   0.1036E+00   0.4474E+00   0.3473E+00   0.1738E+00   0.3752E+00   0.1758E+01   0.5245E+00
 -0.9801E+00   0.2458E+00  -0.1550E+01   0.1277E+00  -0.1537E+01   0.1299E+00   0.2393E+01   0.2934E+00
 -0.1389E+01   0.1582E+00   0.8836E+00   0.2667E+00   0.1338E+01   0.1686E+00   0.2121E+01   0.4024E+00
 -0.8066E+00   0.2830E+00  -0.1604E+01   0.1180E+00  -0.1865E+01   0.7832E-01   0.2589E+01   0.2203E+00
 -0.7270E+00   0.2991E+00  -0.1480E+01   0.1406E+00   0.5075E-01   0.3799E+00   0.1649E+01   0.5463E+00
  0.1223E+01   0.1928E+00  -0.1670E+01   0.1071E+00  -0.4547E+00   0.3463E+00   0.2119E+01   0.4034E+00
 -0.6054E+00   0.3220E+00  -0.1216E+01   0.1942E+00  -0.1196E+01   0.1986E+00   0.1810E+01   0.5111E+00
 -0.1323E+01   0.1717E+00  -0.8375E+00   0.2765E+00   0.1036E+01   0.2335E+00   0.1877E+01   0.4912E+00
 -0.8939E+00   0.2645E+00   0.9666E+00   0.2487E+00  -0.9804E+00   0.2457E+00   0.1641E+01   0.5475E+00
 -0.3580E+00   0.3588E+00  -0.9830E+00   0.2452E+00  -0.1048E+01   0.2309E+00   0.1481E+01   0.5597E+00
  0.8685E+00   0.2700E+00   0.3255E+00   0.3625E+00  -0.5078E+00   0.3383E+00   0.1057E+01   0.4652E+00
  0.6245E+00   0.3186E+00  -0.2121E+00   0.3727E+00  -0.4145E+00   0.3518E+00   0.7789E+00   0.3185E+00
  0.1322E+01   0.1719E+00   0.5533E+00   0.3310E+00   0.1523E+01   0.1325E+00   0.2091E+01   0.4144E+00
  0.7119E-01   0.3795E+00  -0.9668E+00   0.2487E+00  -0.1116E+01   0.2159E+00   0.1479E+01   0.5597E+00
  0.1531E+00   0.3763E+00  -0.1157E+01   0.2069E+00   0.4200E+00   0.3511E+00   0.1241E+01   0.5288E+00
  0.6732E+00   0.3096E+00  -0.1087E+01   0.2222E+00  -0.1338E+01   0.1686E+00   0.1851E+01   0.4993E+00
 -0.5106E+00   0.3379E+00   0.6064E+00   0.3218E+00   0.1424E+01   0.1513E+00   0.1630E+01   0.5492E+00
  0.3031E+00   0.3648E+00   0.1018E+01   0.2375E+00  -0.1551E+01   0.1274E+00   0.1880E+01   0.4903E+00
  0.7080E+00   0.3029E+00   0.1115E+01   0.2162E+00   0.6388E+00   0.3160E+00   0.1467E+01   0.5596E+00
 -0.4699E-01   0.3800E+00   0.1191E+00   0.3779E+00  -0.1437E+01   0.1488E+00   0.1443E+01   0.5589E+00
  0.1268E+01   0.1831E+00  -0.4427E+00   0.3480E+00  -0.1625E-01   0.3803E+00   0.1343E+01   0.5495E+00
 -0.8159E-01   0.3792E+00  -0.1705E+01   0.1015E+00   0.1521E+01   0.1330E+00   0.2286E+01   0.3361E+00
  0.1569E+01   0.1243E+00  -0.1375E+01   0.1611E+00  -0.1288E+00   0.3775E+00   0.2090E+01   0.4149E+00
 -0.3022E+00   0.3649E+00   0.7646E+00   0.2916E+00   0.7311E+00   0.2983E+00   0.1100E+01   0.4829E+00
 -0.2176E+00   0.3723E+00  -0.6321E+00   0.3172E+00   0.1204E+01   0.1967E+00   0.1377E+01   0.5539E+00
 -0.8704E+00   0.2696E+00  -0.2280E+00   0.3715E+00   0.1276E+01   0.1814E+00   0.1562E+01   0.5567E+00
 -0.1091E+01   0.2214E+00  -0.1744E+01   0.9551E-01  -0.2507E+00   0.3697E+00   0.2072E+01   0.4218E+00
  0.9555E+00   0.2512E+00   0.4331E-01   0.3801E+00   0.1003E+01   0.2408E+00   0.1386E+01   0.5548E+00
  0.5113E+00   0.3378E+00  -0.1114E+01   0.2164E+00   0.1432E+01   0.1498E+00   0.1885E+01   0.4888E+00
  0.6240E+00   0.3187E+00  -0.9568E+00   0.2509E+00   0.5693E+00   0.3283E+00   0.1276E+01   0.5373E+00
 -0.4988E-01   0.3799E+00   0.1114E+01   0.2165E+00   0.6047E-01   0.3797E+00   0.1116E+01   0.4892E+00
  0.1271E+01   0.1825E+00  -0.7989E+00   0.2846E+00   0.3555E+00   0.3591E+00   0.1543E+01   0.5579E+00
 -0.8341E-01   0.3792E+00  -0.7974E+00   0.2849E+00  -0.1586E+01   0.1213E+00   0.1777E+01   0.5198E+00
 -0.5854E+00   0.3255E+00   0.7441E-01   0.3794E+00  -0.6833E+00   0.3076E+00   0.9029E+00   0.3892E+00
 -0.1216E+01   0.1941E+00   0.1158E+01   0.2067E+00  -0.1362E+01   0.1637E+00   0.2163E+01   0.3860E+00
 -0.1522E+01   0.1327E+00   0.1095E+01   0.2205E+00  -0.6281E+00   0.3179E+00   0.1977E+01   0.4572E+00
 -0.1132E+01   0.2123E+00   0.1092E+01   0.2213E+00  -0.5612E+00   0.3296E+00   0.1670E+01   0.5429E+00
  0.5762E-01   0.3798E+00   0.1117E+01   0.2158E+00   0.3066E+00   0.3645E+00   0.1159E+01   0.5046E+00
 -0.7614E+00   0.2923E+00  -0.1161E+01   0.2060E+00   0.1150E+01   0.2085E+00   0.1803E+01   0.5130E+00
 -0.5039E+00   0.3389E+00  -0.7495E+00   0.2947E+00  -0.4575E+00   0.3458E+00   0.1012E+01   0.4449E+00
  0.1332E+01   0.1699E+00   0.1480E+01   0.1406E+00  -0.1178E+01   0.2024E+00   0.2313E+01   0.3251E+00
 -0.4504E+00   0.3469E+00  -0.1208E+01   0.1961E+00  -0.1346E+01   0.1669E+00   0.1864E+01   0.4954E+00
 -0.9967E+00   0.2422E+00   0.1673E+01   0.1065E+00   0.9792E+00   0.2460E+00   0.2180E+01   0.3790E+00
  0.1435E+01   0.1493E+00   0.1675E+01   0.1062E+00   0.2731E+00   0.3677E+00   0.2222E+01   0.3618E+00
  0.2721E+00   0.3678E+00   0.6226E+00   0.3189E+00  -0.1508E+01   0.1353E+00   0.1654E+01   0.5456E+00
 -0.5692E+00   0.3283E+00  -0.1296E+00   0.3775E+00  -0.1199E+01   0.1978E+00   0.1334E+01   0.5481E+00
  0.1148E+01   0.2090E+00   0.1154E+01   0.2076E+00  -0.1479E+01   0.1407E+00   0.2199E+01   0.3712E+00
  0.1355E+01   0.1652E+00   0.5180E+00   0.3367E+00   0.1536E+01   0.1301E+00   0.2113E+01   0.4058E+00
 -0.1532E+00   0.3763E+00  -0.2524E+00   0.3695E+00  -0.5989E+00   0.3231E+00   0.6677E+00   0.2518E+00
 -0.1239E+01   0.1892E+00  -0.5905E+00   0.3246E+00  -0.1450E+01   0.1463E+00   0.1997E+01   0.4502E+00
  0.8438E+00   0.2752E+00  -0.4506E+00   0.3468E+00   0.7370E+00   0.2972E+00   0.1208E+01   0.5198E+00
 -0.5278E+00   0.3351E+00   0.1538E+01   0.1297E+00   0.6373E+00   0.3163E+00   0.1747E+01   0.5272E+00
  0.9483E+00   0.2528E+00  -0.1419E+01   0.1523E+00  -0.7895E+00   0.2865E+00   0.1881E+01   0.4901E+00
 -0.7279E+00   0.2990E+00   0.4808E+00   0.3424E+00  -0.7840E-01   0.3793E+00   0.8758E+00   0.3743E+00
